index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,scheme_cluster
0,ARI,2015,1546,0,33.3117723156533,0,1.4877102199223804,0.0,10.273264401772526,0.0,66.6882276843467,0.0,35.581061692969875,64.41893830703013,0.0,91.66666666666666,8.333333333333332,46.72727272727273,53.27272727272727,60.367454068241464,39.63254593175853,82.35294117647058,17.647058823529413,0.0,0
11,ATL,2015,1386,11,40.62049062049062,11,5.1226551226551225,0.0,7.309923664122137,0.0,59.37950937950938,0.0,38.36363636363637,61.63636363636363,0.0,84.4106463878327,15.5893536121673,50.5175983436853,49.4824016563147,61.69590643274854,38.30409356725146,80.26315789473685,19.73684210526316,0.0,1
22,BAL,2015,1417,22,38.038108680310515,22,7.5511644318983775,0.0,7.230440967283073,0.0,61.961891319689485,0.0,44.97444633730834,55.025553662691664,0.0,87.8,12.2,58.526315789473685,41.473684210526315,61.79775280898876,38.20224719101123,81.14035087719299,18.859649122807017,0.0,1
33,BUF,2015,1376,33,60.97383720930233,33,4.215116279069767,0.0,9.306483300589392,0.0,39.02616279069767,0.0,33.193277310924366,66.80672268907563,0.0,54.91698595146871,45.08301404853128,40.0,60.0,48.5207100591716,51.4792899408284,69.16299559471366,30.837004405286343,0.0,2
44,CAR,2015,1666,44,57.863145258103245,44,17.58703481392557,0.0,9.631496062992126,0.0,42.136854741896755,0.0,17.955801104972377,82.04419889502762,0.0,63.053097345132734,36.94690265486725,41.72413793103448,58.27586206896552,49.88290398126464,50.11709601873536,71.25506072874494,28.74493927125506,0.0,2
55,CHI,2015,1351,55,59.733530717986675,55,21.983715766099184,0.0,7.726785714285715,0.0,40.266469282013325,0.0,20.93862815884476,79.06137184115524,0.0,66.66666666666666,33.33333333333333,43.42984409799555,56.57015590200446,52.7536231884058,47.2463768115942,77.82805429864254,22.171945701357465,0.0,2
66,CIN,2015,1416,66,51.20056497175142,66,7.13276836158192,0.0,8.172117039586919,0.0,48.79943502824858,0.0,24.876847290640395,75.1231527093596,0.0,71.8562874251497,28.143712574850294,45.94594594594595,54.054054054054056,54.84764542936288,45.15235457063712,71.42857142857143,28.57142857142857,0.0,2
77,CLE,2015,1385,77,55.01805054151625,77,3.68231046931408,0.0,7.313813813813814,0.0,44.98194945848375,0.0,34.67048710601719,65.3295128939828,0.0,78.19225251076041,21.8077474892396,52.25225225225225,47.74774774774775,63.976945244956774,36.023054755043226,83.25991189427313,16.740088105726873,0.0,1
88,DAL,2015,1288,88,44.099378881987576,88,5.590062111801243,0.0,7.211743772241993,0.0,55.900621118012424,0.0,20.52980132450331,79.47019867549669,0.0,90.715667311412,9.284332688588009,45.84269662921348,54.157303370786515,58.67507886435332,41.32492113564668,84.29319371727748,15.706806282722512,0.0,0
99,DEN,2015,1641,99,49.90859232175503,99,8.348567946374162,0.0,8.552139037433156,0.0,50.09140767824497,0.0,33.54037267080745,66.45962732919256,0.0,76.30208333333333,23.697916666666664,50.45537340619308,49.544626593806925,56.038647342995176,43.96135265700483,83.7037037037037,16.296296296296298,0.0,1
110,DET,2015,1352,110,54.65976331360947,110,5.029585798816568,0.0,6.103397341211226,0.0,45.34023668639053,0.0,29.705882352941178,70.29411764705883,0.0,83.11688311688312,16.883116883116884,55.20169851380042,44.79830148619958,69.5906432748538,30.409356725146196,82.75862068965517,17.24137931034483,0.0,1
121,GB,2015,1598,121,58.82352941176471,121,31.351689612015026,0.0,7.8192090395480225,0.0,41.17647058823529,0.0,34.09742120343841,65.9025787965616,0.0,69.29411764705881,30.70588235294117,51.82341650671785,48.17658349328215,57.14285714285714,42.857142857142854,77.35042735042735,22.64957264957265,0.0,1
132,HOU,2015,1550,132,46.25806451612903,132,4.322580645161291,0.0,9.04178674351585,0.0,53.74193548387097,0.0,34.92366412213742,65.07633587786259,0.0,76.49700598802394,23.50299401197605,48.25581395348838,51.74418604651163,56.81233933161953,43.18766066838046,79.16666666666666,20.833333333333336,0.0,1
143,IND,2015,1399,143,47.39099356683345,143,7.719799857040743,0.0,8.03191489361702,0.0,52.60900643316655,0.0,37.29977116704806,62.70022883295194,0.0,80.22690437601297,19.773095623987032,53.94736842105263,46.05263157894737,63.793103448275865,36.206896551724135,75.74468085106383,24.25531914893617,0.0,1
154,JAX,2015,1344,154,48.214285714285715,154,3.7946428571428568,0.0,8.425339366515837,0.0,51.785714285714285,0.0,39.35643564356436,60.64356435643564,0.0,82.21859706362153,17.781402936378466,61.3882863340564,38.6117136659436,57.09969788519638,42.90030211480362,85.36585365853658,14.634146341463412,0.0,1
165,KC,2015,1457,165,52.43651338366506,165,2.127659574468085,0.0,6.240400667779633,0.0,47.56348661633494,0.0,31.67082294264339,68.3291770573566,0.0,67.14082503556187,32.859174964438125,45.807770961145195,54.19222903885481,55.67567567567567,44.32432432432433,69.1304347826087,30.869565217391305,0.0,2
176,LAR,2015,1261,176,32.83108643933386,176,4.123711340206185,0.0,7.735772357723577,0.0,67.16891356066614,0.0,28.096118299445465,71.90388170055454,0.0,89.23884514435696,10.761154855643044,37.03703703703704,62.96296296296296,56.00000000000001,44.0,79.70297029702971,20.2970297029703,0.0,0
187,LAC,2015,1458,187,71.87928669410151,187,17.21536351165981,0.0,6.814084507042254,0.0,28.12071330589849,0.0,19.014084507042252,80.98591549295774,0.0,71.07180020811654,28.928199791883458,52.94117647058824,47.05882352941176,66.4021164021164,33.5978835978836,82.68398268398268,17.316017316017316,0.0,3
198,LV,2015,1381,198,53.65677045619116,198,5.6480811006517015,0.0,7.399375975039002,0.0,46.34322954380884,0.0,25.0,75.0,0.0,81.51382823871907,18.486171761280936,58.78378378378378,41.21621621621622,56.19335347432024,43.80664652567976,82.72727272727273,17.272727272727273,0.0,1
209,MIA,2015,1320,209,60.378787878787875,209,6.59090909090909,0.0,8.116535433070867,0.0,39.621212121212125,0.0,38.197424892703864,61.80257510729614,0.0,73.09236947791165,26.90763052208835,57.17592592592593,42.82407407407408,60.252365930599375,39.74763406940063,85.92233009708737,14.07766990291262,0.0,1
220,MIN,2015,1352,220,36.16863905325444,220,2.5887573964497044,0.0,6.477186311787072,0.0,63.83136094674556,0.0,25.39130434782609,74.60869565217392,0.0,83.51648351648352,16.483516483516485,34.065934065934066,65.93406593406593,57.99999999999999,42.0,76.88679245283019,23.11320754716981,0.0,0
231,NE,2015,1573,231,47.99745708836618,231,9.218054672600127,0.0,7.364935064935065,0.0,52.00254291163382,0.0,30.624999999999996,69.375,0.0,88.49431818181819,11.505681818181818,57.25047080979285,42.74952919020715,67.0076726342711,32.992327365728904,77.68595041322314,22.31404958677686,0.0,1
242,NO,2015,1455,242,43.6426116838488,242,4.398625429553265,0.0,7.429386590584879,0.0,56.3573883161512,0.0,35.83815028901734,64.16184971098265,0.0,88.64027538726334,11.35972461273666,52.00803212851406,47.99196787148594,66.75824175824175,33.24175824175824,84.86238532110092,15.137614678899084,0.0,1
253,NYG,2015,1414,253,55.09193776520509,253,45.68599717114569,0.0,7.244615384615384,0.0,44.90806223479491,0.0,24.404761904761905,75.59523809523809,0.0,78.99860917941585,21.00139082058415,49.0280777537797,50.9719222462203,64.42577030812325,35.57422969187675,82.02764976958525,17.972350230414747,0.0,3
