index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate
7,ARI,2022,1487,7,74.04169468728985,7,27.034297242770677,0.0,6.421199442119944,0.0,25.958305312710152,0.0,8.549222797927461,23.316062176165804,0.0,62.12534059945504,31.42597638510445,48.74476987447699,51.25523012552301,70.1530612244898,29.846938775510207,74.67811158798283,25.321888412017167,0.0,ARI,0.09,4.98,64.07,24.56,1.84,1.66,1.84,0.44,0.0
18,ATL,2022,1322,18,59.68229954614221,18,12.859304084720122,0.0,8.883259911894273,0.0,40.31770045385779,0.0,11.819887429643527,37.71106941838649,0.0,49.556400506970846,45.50063371356147,32.0,68.0,48.99135446685879,51.008645533141205,65.81632653061224,34.183673469387756,0.0,ATL,0.0,0.0,25.62,1.88,0.2,8.9,32.94,7.32,11.57
29,BAL,2022,1442,29,71.70596393897365,29,3.883495145631067,0.0,7.53584229390681,0.0,28.294036061026347,0.0,12.009803921568627,23.52941176470588,0.0,49.22630560928433,45.06769825918762,43.16831683168317,56.83168316831683,53.73961218836565,46.26038781163435,60.26200873362445,39.737991266375545,0.0,BAL,0.0,0.0,12.17,22.62,2.66,0.76,24.52,33.94,0.0
40,BUF,2022,1505,40,61.06312292358804,40,8.637873754152823,0.0,9.004304160688665,0.0,38.93687707641196,0.0,17.576791808873722,35.665529010238906,0.0,64.6354733405876,29.16213275299238,54.73098330241187,45.26901669758813,59.49367088607595,40.50632911392405,70.13574660633483,29.86425339366516,0.0,BUF,0.1,0.68,68.37,3.66,0.19,0.19,13.98,3.09,0.0
51,CAR,2022,1304,51,43.25153374233129,51,7.05521472392638,0.0,6.722672064777328,0.0,56.74846625766871,0.0,17.972972972972972,42.83783783783784,0.0,64.00709219858156,29.9645390070922,46.22641509433962,53.77358490566038,46.504559270516715,53.49544072948328,65.34653465346535,34.65346534653465,0.0,CAR,0.1,0.2,64.86,18.44,4.3,0.0,2.15,0.0,0.0
62,CHI,2022,1303,62,53.49194167306216,62,4.604758250191865,0.0,7.786363636363636,0.0,46.50805832693784,0.0,13.366336633663368,43.39933993399339,0.0,51.50645624103299,42.32424677187948,39.85680190930787,60.14319809069213,37.99392097264438,62.00607902735562,58.18181818181818,41.81818181818181,0.0,CHI,0.0,0.0,40.58,19.64,6.14,0.2,20.04,9.26,1.31
73,CIN,2022,1618,73,63.90605686032138,73,3.2756489493201486,0.0,6.315789473684211,0.0,36.09394313967862,0.0,10.102739726027398,36.81506849315068,0.0,69.63249516441006,24.564796905222437,54.54545454545454,45.45454545454545,63.443396226415096,36.556603773584904,78.18930041152264,21.81069958847737,0.0,CIN,0.28,1.14,82.43,6.36,0.19,0.09,0.0,2.37,0.0
84,CLE,2022,1434,84,48.60529986052999,84,10.529986052998606,0.0,7.598976109215017,0.0,51.39470013947001,0.0,16.28222523744912,47.218453188602446,0.0,66.85796269727403,26.54232424677188,39.91769547325103,60.08230452674898,56.17977528089888,43.82022471910113,71.98275862068965,28.01724137931034,0.0,CLE,0.0,0.09,57.26,15.14,6.81,0.36,6.54,1.43,0.0
95,DAL,2022,1605,95,45.794392523364486,95,10.965732087227414,0.0,7.684451219512195,0.0,54.205607476635514,0.0,18.50574712643678,44.71264367816091,0.0,67.3469387755102,27.2108843537415,41.85185185185185,58.14814814814815,56.294536817102134,43.705463182897866,70.27027027027027,29.72972972972973,0.0,DAL,0.18,0.18,60.95,22.44,7.0,0.09,2.6,2.24,0.0
106,DEN,2022,1436,106,52.78551532033426,106,7.311977715877438,0.0,7.870866141732283,0.0,47.21448467966574,0.0,18.436578171091444,37.02064896755162,0.0,67.28232189973615,25.593667546174142,51.49572649572649,48.504273504273506,56.33802816901409,43.66197183098591,77.48917748917748,22.51082251082251,0.0,DEN,0.0,0.0,55.47,19.2,4.55,1.58,14.56,4.17,0.0
117,DET,2022,1421,117,42.646023926812106,117,4.081632653061225,0.0,6.745513866231648,0.0,57.353976073187894,0.0,22.085889570552148,43.68098159509202,0.0,71.45214521452145,21.12211221122112,47.83505154639175,52.164948453608254,55.865921787709496,44.134078212290504,73.11320754716981,26.88679245283019,0.0,DET,0.73,1.92,62.73,11.26,3.39,0.73,7.14,2.2,0.27
128,GB,2022,1354,128,56.20384047267356,128,4.283604135893649,0.0,7.488294314381271,0.0,43.79615952732644,0.0,19.73018549747049,36.08768971332209,0.0,63.20630749014454,31.80026281208936,46.137339055793994,53.862660944206006,58.19209039548022,41.80790960451977,77.0,23.0,0.0,GB,0.1,0.57,56.71,29.88,2.38,0.48,9.23,0.0,0.0
139,HOU,2022,1335,139,49.51310861423221,139,7.715355805243446,0.0,7.017713365539453,0.0,50.48689138576779,0.0,23.44213649851632,35.90504451038576,0.0,70.04538577912254,23.751891074130103,52.41379310344828,47.58620689655172,60.66066066066066,39.33933933933934,76.92307692307693,23.076923076923077,0.0,HOU,0.2,1.08,53.2,19.8,7.29,0.0,10.44,5.02,0.0
150,IND,2022,1427,150,62.1583742116328,150,11.422564821303434,0.0,5.744011976047904,0.0,37.8416257883672,0.0,12.592592592592592,38.333333333333336,0.0,67.64374295377678,26.268320180383313,47.89915966386555,52.10084033613446,63.53887399463807,36.46112600536193,80.26315789473685,19.73684210526316,0.0,IND,0.0,0.09,76.97,14.51,1.81,0.0,3.54,0.82,0.0
161,JAX,2022,1556,161,62.01799485861182,161,5.784061696658098,0.0,6.945908460471567,0.0,37.98200514138818,0.0,15.397631133671744,35.70219966159052,0.0,65.28497409326425,28.911917098445596,48.23091247672253,51.76908752327747,64.48362720403023,35.51637279596977,76.05042016806722,23.949579831932773,0.0,JAX,0.47,0.56,65.11,22.39,7.74,0.28,1.49,0.93,0.0
172,KC,2022,1652,172,64.64891041162227,172,0.665859564164649,0.0,6.7873417721518985,0.0,35.35108958837773,0.0,12.5,34.58904109589041,0.0,67.13483146067416,27.43445692883895,52.587646076794655,47.412353923205345,65.3061224489796,34.69387755102041,77.09251101321586,22.90748898678414,0.0,KC,0.09,0.0,55.85,28.15,9.6,0.0,2.29,2.74,0.0
183,LAR,2022,1311,183,42.79176201372998,183,9.305873379099925,0.0,6.291525423728814,0.0,57.20823798627002,0.0,23.066666666666663,40.666666666666664,0.0,74.33155080213903,18.89483065953654,48.49884526558891,51.50115473441108,63.798219584569736,36.20178041543027,73.58490566037736,26.41509433962264,0.0,LAR,0.1,1.0,90.71,7.39,0.0,0.0,0.0,0.0,0.0
194,LAC,2022,1573,194,53.14685314685315,194,5.975842339478703,0.0,5.964912280701754,0.0,46.85314685314685,0.0,23.066485753052916,35.549525101763905,0.0,75.11961722488039,19.73684210526316,52.69230769230769,47.30769230769231,72.0,28.000000000000004,78.46715328467153,21.532846715328464,0.0,LAC,0.0,0.17,67.68,18.11,2.95,0.43,5.81,3.12,0.0
205,LV,2022,1380,205,42.89855072463768,205,3.6231884057971016,0.0,8.588141025641026,0.0,57.10144927536232,0.0,20.17766497461929,43.2741116751269,0.0,78.5472972972973,14.864864864864863,47.32334047109208,52.67665952890792,61.60458452722063,38.39541547277937,80.86124401913875,19.138755980861244,0.0,LV,0.0,0.0,63.2,4.96,0.1,0.29,20.21,2.67,0.0
216,MIA,2022,1422,216,53.44585091420534,216,4.0787623066104075,0.0,8.669150521609538,0.0,46.55414908579466,0.0,17.673716012084594,38.51963746223565,0.0,72.89473684210527,20.394736842105264,50.101832993890014,49.89816700610998,64.36781609195403,35.63218390804598,85.91549295774648,14.084507042253522,0.0,MIA,1.39,1.88,44.4,10.01,0.0,2.78,35.58,3.87,0.0
227,MIN,2022,1561,227,43.49775784753363,227,12.812299807815505,0.0,6.916120576671036,0.0,56.50224215246637,0.0,25.736961451247165,37.188208616780045,0.0,78.93961708394698,13.549337260677468,52.96296296296297,47.03703703703704,66.49214659685863,33.50785340314136,86.01694915254238,13.983050847457626,0.0,MIN,0.0,0.0,73.46,11.93,0.0,0.0,9.26,4.54,0.0
238,NE,2022,1330,238,53.383458646616546,238,5.112781954887218,0.0,7.027350427350427,0.0,46.616541353383454,0.0,15.0,41.4516129032258,0.0,69.29577464788733,23.661971830985916,47.74774774774775,52.25225225225225,60.47904191616767,39.52095808383233,72.09302325581395,27.906976744186046,0.0,NE,1.49,0.2,73.36,16.2,0.0,0.0,0.99,1.19,0.0
249,NO,2022,1333,249,53.11327831957989,249,4.951237809452363,0.0,8.242753623188406,0.0,46.88672168042011,0.0,14.4,42.88,0.0,65.2542372881356,28.10734463276836,45.089285714285715,54.91071428571429,52.22551928783383,47.774480712166174,75.34246575342466,24.65753424657534,0.0,NO,0.0,0.0,48.08,25.02,9.06,0.3,4.53,2.56,0.0
260,NYG,2022,1581,260,53.25743200506009,260,12.903225806451612,0.0,5.821428571428571,0.0,46.74256799493991,0.0,16.914749661705006,41.5426251691475,0.0,61.63895486935868,31.353919239904982,43.177570093457945,56.82242990654206,53.41463414634147,46.58536585365854,73.94957983193278,26.05042016806723,0.0,NYG,0.0,0.37,64.46,18.09,5.51,0.28,5.33,0.28,0.28
271,NYJ,2022,1404,271,55.05698005698005,271,6.766381766381767,0.0,7.732436472346786,0.0,44.94301994301995,0.0,17.74960380348653,37.87638668779715,0.0,72.0569210866753,21.47477360931436,49.01098901098901,50.989010989010985,64.95726495726495,35.04273504273504,80.0,20.0,0.0,NYJ,0.0,0.0,68.25,21.51,3.54,0.0,3.54,1.4,0.0
282,PHI,2022,1723,282,73.59257109692396,282,15.786419036564132,0.0,7.787202380952381,0.0,26.40742890307604,0.0,3.296703296703297,29.230769230769234,0.0,51.813880126182966,42.19242902208202,44.68802698145025,55.31197301854974,54.58715596330275,45.41284403669725,56.877323420074354,43.12267657992565,0.0,PHI,0.0,0.36,71.44,20.28,6.94,0.0,0.44,0.0,0.0
293,PIT,2022,1438,293,55.63282336578581,293,9.457579972183588,0.0,7.69281045751634,0.0,44.36717663421419,0.0,10.18808777429467,47.17868338557994,0.0,68.375,24.875,46.09053497942387,53.90946502057613,52.1505376344086,47.8494623655914,77.54237288135593,22.45762711864407,0.0,PIT,0.0,0.0,67.72,21.1,1.44,0.0,4.15,2.34,0.0
304,SEA,2022,1474,304,54.681139755766615,304,16.21438263229308,0.0,7.037878787878788,0.0,45.318860244233385,0.0,17.065868263473057,37.5748502994012,0.0,67.74193548387096,24.68982630272953,51.976284584980235,48.023715415019765,59.45205479452055,40.54794520547945,76.16822429906543,23.83177570093458,0.0,SEA,0.0,0.0,53.74,29.69,11.11,0.19,2.97,0.77,0.0
315,SF,2022,1587,315,49.65343415248897,315,2.835538752362949,0.0,6.738437001594896,0.0,50.34656584751103,0.0,13.391739674593245,46.05757196495619,0.0,65.98984771573603,28.553299492385783,41.66666666666667,58.333333333333336,51.73267326732673,48.26732673267327,72.54098360655738,27.459016393442624,0.0,SF,0.0,0.0,42.22,15.85,0.86,0.0,32.28,7.64,0.0
326,TB,2022,1593,326,57.75266792215945,326,16.38418079096045,0.0,6.504122497055359,0.0,42.24733207784055,0.0,20.356612184249627,36.40416047548291,0.0,77.39130434782608,16.73913043478261,57.16981132075472,42.83018867924528,73.42995169082126,26.570048309178745,81.43939393939394,18.560606060606062,0.0,TB,0.52,1.98,67.56,5.09,0.17,4.66,12.42,4.23,0.0
