index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate
0,ARI,2015,1546,0,33.3117723156533,0,1.4877102199223804,0.0,10.273264401772526,0.0,66.6882276843467,0.0,24.05431619786615,43.549951503394766,0.0,83.30097087378641,7.572815533980583,46.72727272727273,53.27272727272727,60.367454068241464,39.63254593175853,82.35294117647058,17.647058823529413,0.0
1,ARI,2016,1448,1,39.9171270718232,1,3.7292817679558015,0.0,8.978292329956584,0.0,60.0828729281768,0.0,24.597701149425287,39.88505747126437,0.0,82.52595155709342,8.996539792387544,53.400000000000006,46.6,63.1578947368421,36.84210526315789,86.04651162790698,13.953488372093023,0.0
2,ARI,2017,1408,2,35.653409090909086,2,3.5511363636363638,0.0,8.906441717791411,0.0,64.3465909090909,0.0,25.275938189845476,40.397350993377486,0.0,84.26294820717132,8.565737051792828,49.787234042553195,50.212765957446805,57.94117647058824,42.05882352941177,89.27038626609442,10.72961373390558,0.0
3,ARI,2018,1216,3,45.3125,3,5.756578947368421,0.0,7.247723132969035,0.0,54.6875,0.0,19.248120300751882,39.3984962406015,0.0,76.40653357531761,17.05989110707804,52.307692307692314,47.69230769230769,56.41891891891891,43.58108108108108,82.0,18.0,0.0
4,ARI,2019,1329,4,70.27840481565086,4,23.100075244544772,0.0,6.911037891268534,0.0,29.72159518434914,0.0,10.379746835443038,21.772151898734176,0.0,60.599571734475376,33.190578158458244,51.67785234899329,48.322147651006716,58.63095238095239,41.36904761904761,82.23350253807106,17.766497461928935,0.0
5,ARI,2020,1407,5,75.62189054726367,5,31.627576403695805,0.0,7.384488448844884,0.0,24.378109452736325,0.0,10.495626822157435,18.658892128279884,0.0,53.57142857142857,39.097744360902254,45.12922465208747,54.87077534791253,61.93181818181818,38.06818181818182,72.41379310344827,27.586206896551722,0.0
6,ARI,2021,1526,6,74.83617300131061,6,29.81651376146789,0.0,7.020895522388059,0.0,25.163826998689387,0.0,8.072916666666668,22.395833333333336,0.0,55.954465849387034,37.478108581436075,44.834307992202724,55.165692007797276,64.5320197044335,35.467980295566505,68.69565217391305,31.30434782608696,0.0
7,ARI,2022,1487,7,74.04169468728985,7,27.034297242770677,0.0,6.421199442119944,0.0,25.958305312710152,0.0,8.549222797927461,23.316062176165804,0.0,62.125340599455036,31.42597638510445,48.74476987447699,51.25523012552301,70.1530612244898,29.846938775510207,74.67811158798283,25.321888412017167,0.0
8,ARI,2023,1413,8,58.03255484784147,8,8.280254777070063,0.0,6.930463576158941,0.0,41.96744515215853,0.0,14.67116357504216,39.46037099494098,0.0,63.048780487804876,29.634146341463413,48.283261802575105,51.716738197424895,52.76967930029155,47.23032069970846,74.22222222222223,25.77777777777778,0.0
9,ARI,2024,1369,9,58.436815193571945,9,8.254200146092037,0.0,6.452006980802793,0.0,41.563184806428055,0.0,16.695957820738137,36.7311072056239,0.0,59.75,32.375,48.541666666666664,51.45833333333333,59.130434782608695,40.869565217391305,65.28497409326425,34.715025906735754,0.0
10,ARI,2025,1416,10,58.333333333333336,10,9.745762711864407,0.0,6.554149085794656,0.0,41.666666666666664,0.0,20.16949152542373,32.54237288135593,0.0,71.67070217917676,21.1864406779661,58.31533477321814,41.68466522678186,69.08077994428969,30.919220055710305,75.44642857142857,24.553571428571427,0.0
11,ATL,2015,1386,11,40.62049062049062,11,5.1226551226551225,0.0,7.309923664122137,0.0,59.37950937950938,0.0,25.637910085054678,41.19076549210207,0.0,78.86323268206039,14.564831261101244,50.5175983436853,49.4824016563147,61.69590643274854,38.30409356725146,80.26315789473685,19.736842105263158,0.0
12,ATL,2016,1565,12,32.52396166134186,12,6.645367412140575,0.0,8.150584795321638,0.0,67.47603833865814,0.0,26.799242424242426,40.246212121212125,0.0,78.7819253438114,14.734774066797643,47.487001733102254,52.512998266897746,59.57446808510638,40.42553191489361,82.46445497630332,17.535545023696685,0.0
13,ATL,2017,1440,13,34.166666666666664,13,5.694444444444445,0.0,8.308306709265176,0.0,65.83333333333334,0.0,24.578059071729957,43.77637130801688,0.0,79.8780487804878,15.24390243902439,47.151277013752456,52.848722986247544,54.269972451790636,45.73002754820937,79.29515418502203,20.704845814977972,0.0
14,ATL,2018,1327,14,41.220798794272795,14,5.87792012057272,0.0,7.924812030075188,0.0,58.779201205727205,0.0,28.589743589743588,35.64102564102564,0.0,80.80438756855575,13.345521023765997,61.24197002141327,38.75802997858672,57.943925233644855,42.05607476635514,84.72906403940887,15.270935960591133,0.0
15,ATL,2019,1441,15,48.230395558639835,15,7.425399028452463,0.0,7.459568733153639,0.0,51.769604441360165,0.0,27.211796246648795,35.924932975871315,0.0,77.55395683453237,13.66906474820144,57.84313725490197,42.15686274509804,69.83240223463687,30.16759776536313,83.57487922705315,16.425120772946862,0.0
16,ATL,2020,1390,16,44.100719424460436,16,6.762589928057554,0.0,8.061011904761905,0.0,55.899280575539564,0.0,26.76962676962677,38.095238095238095,0.0,75.69331158238172,18.43393148450245,52.98969072164949,47.01030927835051,63.005780346820806,36.99421965317919,77.82805429864254,22.171945701357465,0.0
17,ATL,2021,1339,17,42.1209858103062,17,10.604929051530993,0.0,6.736585365853658,0.0,57.8790141896938,0.0,20.0,41.80645161290323,0.0,81.56028368794325,12.411347517730496,44.74885844748858,55.25114155251142,67.26726726726727,32.732732732732735,83.88625592417061,16.113744075829384,0.0
18,ATL,2022,1322,18,59.682299546142204,18,12.859304084720122,0.0,8.883259911894273,0.0,40.317700453857796,0.0,11.819887429643527,37.71106941838649,0.0,49.556400506970846,45.50063371356147,32.0,68.0,48.99135446685879,51.008645533141205,65.81632653061224,34.183673469387756,0.0
19,ATL,2023,1424,19,62.00842696629213,19,11.025280898876405,0.0,7.5828970331588135,0.0,37.99157303370787,0.0,14.048059149722736,34.011090573012936,0.0,56.28539071347678,38.39184597961495,41.90871369294606,58.09128630705395,53.6986301369863,46.3013698630137,71.23893805309734,28.761061946902654,0.0
20,ATL,2024,1421,20,66.85432793807178,20,12.31527093596059,0.0,7.5311973018549745,0.0,33.145672061928224,0.0,11.464968152866243,33.54564755838641,0.0,56.736842105263165,35.68421052631579,40.123456790123456,59.876543209876544,60.0,40.0,75.11961722488039,24.880382775119617,0.0
21,ATL,2025,1389,21,64.72282217422605,21,9.359251259899208,0.0,7.264808362369338,0.0,35.27717782577395,0.0,13.877551020408163,30.612244897959183,0.0,56.284760845383765,36.48498331479422,42.94871794871795,57.05128205128205,56.231884057971016,43.768115942028984,76.32850241545893,23.67149758454106,0.0
22,BAL,2015,1417,22,38.038108680310515,22,7.5511644318983775,0.0,7.230440967283073,0.0,61.961891319689485,0.0,30.068337129840543,36.78815489749431,0.0,81.44712430426716,11.317254174397032,58.526315789473685,41.473684210526315,61.79775280898876,38.20224719101123,81.14035087719299,18.859649122807017,0.0
23,BAL,2016,1413,23,48.33687190375088,23,14.508138711960367,0.0,7.032078103207811,0.0,51.66312809624912,0.0,25.34246575342466,35.61643835616438,0.0,77.89165446559298,15.666178623718888,55.88865096359743,44.11134903640257,66.38888888888889,33.611111111111114,86.69527896995707,13.304721030042918,0.0
24,BAL,2017,1385,24,38.98916967509025,24,4.693140794223827,0.0,6.446308724832215,0.0,61.01083032490975,0.0,23.076923076923077,40.828402366863905,0.0,74.25925925925925,21.48148148148148,46.73913043478261,53.2608695652174,54.80225988700565,45.19774011299435,79.01785714285714,20.982142857142858,0.0
25,BAL,2018,1535,25,66.51465798045602,25,5.0162866449511405,0.0,8.071884984025559,0.0,33.48534201954398,0.0,17.315175097276263,30.739299610894943,0.0,52.59549461312438,40.54848188050931,43.07692307692308,56.92307692307692,54.95049504950495,45.04950495049505,66.66666666666666,33.33333333333333,0.0
26,BAL,2019,1483,26,77.20836142953472,26,2.6972353337828725,0.0,8.414634146341463,0.0,22.79163857046528,0.0,6.21301775147929,18.04733727810651,0.0,44.71615720524017,49.606986899563324,38.21292775665399,61.78707224334601,47.103274559193956,52.896725440806044,61.46341463414634,38.53658536585366,0.0
27,BAL,2020,1455,27,78.55670103092784,27,2.6804123711340204,0.0,7.923379174852652,0.0,21.44329896907216,0.0,2.8846153846153846,14.102564102564102,0.0,43.74453193350831,50.65616797900262,36.693548387096776,63.306451612903224,49.73262032085562,50.26737967914438,54.39330543933054,45.60669456066946,0.0
28,BAL,2021,1524,28,78.28083989501312,28,5.708661417322835,0.0,7.751111111111111,0.0,21.719160104986884,0.0,7.250755287009064,13.897280966767372,0.0,54.568315171835714,39.56412405699916,50.278293135435995,49.721706864564005,57.61421319796954,42.38578680203046,69.33333333333334,30.666666666666664,0.0
29,BAL,2022,1442,29,71.70596393897365,29,3.8834951456310676,0.0,7.53584229390681,0.0,28.294036061026347,0.0,12.009803921568627,23.52941176470588,0.0,49.22630560928433,45.06769825918762,43.16831683168317,56.83168316831683,53.73961218836565,46.26038781163435,60.26200873362445,39.737991266375545,0.0
30,BAL,2023,1568,30,68.55867346938776,30,5.7397959183673475,0.0,7.6395348837209305,0.0,31.441326530612244,0.0,7.099391480730223,32.454361054766736,0.0,52.74418604651163,40.93023255813954,42.230347349177336,57.769652650822664,51.85185185185185,48.148148148148145,66.95652173913044,33.04347826086956,0.0
31,BAL,2024,1558,31,56.033376123234916,31,4.7496790757381255,0.0,8.19494584837545,0.0,43.966623876765084,0.0,12.262773722627736,42.627737226277375,0.0,53.83734249713631,39.289805269186715,38.859180035650624,61.14081996434938,46.80306905370844,53.196930946291566,65.74074074074075,34.25925925925926,0.0
32,BAL,2025,1303,32,51.34305448963929,32,2.762854950115119,0.0,7.29637526652452,0.0,48.65694551036071,0.0,12.302839116719243,43.84858044164038,0.0,58.445440956651716,34.23019431988042,40.229885057471265,59.77011494252874,43.87096774193549,56.12903225806451,67.15686274509804,32.84313725490196,0.0
33,BUF,2015,1376,33,60.97383720930233,33,4.215116279069767,0.0,9.306483300589392,0.0,39.02616279069767,0.0,14.711359404096836,29.608938547486037,0.0,51.25148986889154,42.07389749702026,40.0,60.0,48.5207100591716,51.4792899408284,69.16299559471366,30.837004405286343,0.0
34,BUF,2016,1371,34,64.69730123997083,34,4.011670313639679,0.0,8.582375478927203,0.0,35.30269876002917,0.0,13.223140495867769,26.033057851239672,0.0,51.634723788049605,41.48816234498309,41.42538975501114,58.57461024498887,54.142011834319526,45.857988165680474,69.52380952380952,30.476190476190478,0.2188183807439825
35,BUF,2017,1434,35,40.2370990237099,35,3.556485355648536,0.0,7.75886524822695,0.0,59.7629009762901,0.0,19.1365227537923,43.40723453908985,0.0,69.32409012131716,25.64991334488735,44.567627494456765,55.432372505543235,48.882681564245814,51.117318435754186,68.21705426356588,31.782945736434108,0.0
36,BUF,2018,1348,36,45.919881305637986,36,6.083086053412463,0.0,9.119926199261993,0.0,54.080118694362014,0.0,18.244170096021946,41.70096021947874,0.0,66.07431340872375,26.494345718901453,48.17351598173516,51.82648401826484,45.535714285714285,54.46428571428571,77.20930232558139,22.790697674418606,0.0
37,BUF,2019,1449,37,49.4824016563147,37,11.180124223602485,0.0,8.432343234323433,0.0,50.5175983436853,0.0,16.666666666666664,42.349726775956285,0.0,67.50348675034867,25.94142259414226,48.6815415821501,51.3184584178499,52.124645892351275,47.875354107648725,73.07692307692307,26.923076923076923,0.0
38,BUF,2020,1602,38,58.239700374531836,38,6.242197253433209,0.0,8.253652058432936,0.0,41.760299625468164,0.0,16.591928251121075,36.771300448430495,0.0,68.81028938906752,23.579849946409432,62.06896551724138,37.93103448275862,57.2139303482587,42.78606965174129,69.50672645739911,30.493273542600896,0.18726591760299627
39,BUF,2021,1608,39,60.01243781094527,39,9.328358208955224,0.0,7.833555259653795,0.0,39.98756218905473,0.0,17.729393468118197,38.10264385692068,0.0,66.01036269430051,28.082901554404145,58.08695652173913,41.91304347826087,53.36538461538461,46.63461538461539,72.0164609053498,27.983539094650205,0.0
40,BUF,2022,1505,40,61.06312292358804,40,8.637873754152823,0.0,9.004304160688665,0.0,38.93687707641196,0.0,17.576791808873722,35.665529010238906,0.0,64.6354733405876,29.16213275299238,54.73098330241187,45.26901669758813,59.49367088607595,40.50632911392405,70.13574660633483,29.86425339366516,0.0
