index_x,team_abbr,season,n_plays,index_y,index,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,motion_rate,play_action_rate,air_yards_per_att,shotgun_rate,no_huddle_rate,under_center_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate
10,ARI,2025,1416,10,10,0.0,20.16949152542373,32.54237288135593,0.0,71.67070217917676,21.1864406779661,58.31533477321814,41.68466522678186,69.08077994428969,30.919220055710305,75.44642857142857,24.553571428571427,0.0,43.9,18.3,7.2,71.6,12.2,28.40000000000001,ARI,0.19,0.0,46.37,29.05,10.52,0.0,0.0,0.19,0.0
21,ATL,2025,1389,21,21,0.0,13.877551020408164,30.612244897959183,0.0,56.284760845383765,36.48498331479422,42.94871794871795,57.05128205128205,56.231884057971016,43.768115942028984,76.32850241545893,23.67149758454106,0.0,67.2,12.0,7.7,79.7,11.1,20.299999999999997,ATL,0.0,0.0,45.13,38.17,6.68,0.0,9.16,0.48,0.0
32,BAL,2025,1303,32,32,0.0,12.302839116719245,43.84858044164038,0.0,58.44544095665171,34.23019431988042,40.229885057471265,59.77011494252874,43.87096774193549,56.12903225806451,67.15686274509804,32.84313725490196,0.0,52.1,13.6,8.1,63.7,3.2,36.3,BAL,0.0,0.0,29.88,35.93,5.34,0.1,18.58,8.32,0.31
43,BUF,2025,1559,43,43,0.0,17.750826901874312,51.15766262403528,0.0,70.70552147239265,22.23926380368098,36.715867158671585,63.284132841328415,58.3743842364532,41.6256157635468,64.85355648535564,35.146443514644346,0.0,57.1,17.7,7.3,48.9,6.0,51.1,BUF,0.09,0.0,60.81,11.18,4.62,0.0,7.67,13.31,0.0
54,CAR,2025,1401,54,54,0.0,13.700787401574804,44.881889763779526,0.0,66.31853785900783,26.109660574412537,42.02586206896552,57.97413793103448,60.11396011396012,39.88603988603989,72.81105990783409,27.188940092165897,0.0,50.2,14.6,6.7,65.9,6.0,34.099999999999994,CAR,0.69,0.3,65.38,19.98,7.62,0.1,1.88,2.87,0.0
65,CHI,2025,1637,65,65,0.0,21.52852529601722,43.91819160387514,0.0,69.77401129943502,23.44632768361582,49.357798165137616,50.64220183486239,52.567237163814184,47.43276283618582,65.41353383458647,34.58646616541353,0.0,60.6,19.9,8.6,51.7,5.1,48.3,CHI,1.72,0.0,51.59,32.64,8.52,0.0,0.0,0.0,0.0
76,CIN,2025,1405,76,76,0.0,12.368972746331238,29.979035639413,0.0,66.91810344827587,25.754310344827587,56.929637526652456,43.070362473347544,64.26512968299711,35.73487031700288,77.82805429864254,22.171945701357465,0.0,50.1,11.2,7.4,81.6,2.9,18.40000000000001,CIN,0.38,0.66,64.05,29.04,0.85,0.38,1.89,0.76,0.0
87,CLE,2025,1371,87,87,0.0,15.235008103727717,40.19448946515397,0.0,68.56763925729443,23.20954907161804,48.94613583138173,51.05386416861827,60.766961651917406,39.233038348082594,75.74468085106383,24.25531914893617,0.0,50.6,14.2,6.8,67.2,9.0,32.8,CLE,0.1,0.49,43.98,41.17,4.17,0.0,1.26,0.1,0.0
98,DAL,2025,1488,98,98,0.0,19.047619047619047,39.86394557823129,0.0,68.79150066401063,22.84196547144754,46.57534246575342,53.42465753424658,60.0,40.0,81.81818181818183,18.181818181818183,0.0,56.6,17.1,8.1,61.6,9.4,38.4,DAL,0.8,0.0,66.43,16.96,1.61,0.27,7.86,4.91,0.0
109,DEN,2025,1587,109,109,0.0,14.555256064690028,43.261455525606465,0.0,72.54437869822485,21.53846153846154,49.80988593155893,50.19011406844106,57.49385749385749,42.50614250614251,78.70722433460075,21.292775665399237,0.0,40.4,17.4,7.3,64.3,12.2,35.7,DEN,1.83,0.0,63.0,10.26,1.92,0.37,5.04,8.7,0.0
120,DET,2025,1394,120,120,0.0,20.685434516523863,43.329253365973074,0.0,78.33622183708839,15.424610051993067,50.21186440677966,49.78813559322034,56.358381502890175,43.641618497109825,77.57009345794393,22.429906542056074,0.0,52.2,16.8,6.4,51.0,6.3,49.0,DET,0.0,0.47,58.14,22.67,5.46,2.07,3.29,0.09,0.0
131,GB,2025,1408,131,131,0.0,19.565217391304348,39.27536231884058,0.0,60.16713091922006,33.98328690807799,42.10526315789473,57.89473684210527,53.65168539325843,46.348314606741575,69.68325791855203,30.316742081447963,0.0,59.0,14.8,8.8,61.8,8.5,38.2,GB,0.0,0.0,55.64,33.76,1.39,0.0,3.07,0.0,0.0
142,HOU,2025,1612,142,142,0.0,17.2029702970297,42.698019801980195,0.0,70.1492537313433,22.885572139303484,43.320610687022906,56.6793893129771,62.67942583732058,37.32057416267943,75.2851711026616,24.714828897338403,0.0,54.0,14.8,8.2,61.1,3.7,38.9,HOU,0.09,0.0,65.99,7.72,1.47,0.55,4.6,1.29,0.0
