index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate,scheme_cluster
9,ARI,2024,1369,9,58.436815193571945,9,8.254200146092037,0.0,6.452006980802793,0.0,41.563184806428055,0.0,31.25,68.75,0.0,64.85753052917232,35.14246947082768,48.541666666666664,51.45833333333333,59.130434782608695,40.869565217391305,65.28497409326425,34.715025906735754,0.0,ARI,0.29,0.0,50.77,28.86,15.64,0.0,0.58,0.1,0.0,2
20,ATL,2024,1421,20,66.85432793807178,20,12.31527093596059,0.0,7.5311973018549745,0.0,33.145672061928224,0.0,25.471698113207548,74.52830188679245,0.0,61.38952164009112,38.61047835990888,40.123456790123456,59.876543209876544,60.0,40.0,75.11961722488039,24.880382775119617,0.0,ATL,0.0,0.0,86.19,10.41,0.28,0.0,2.49,0.55,0.0,1
31,BAL,2024,1558,31,56.03337612323491,31,4.7496790757381255,0.0,8.19494584837545,0.0,43.96662387676509,0.0,22.340425531914892,77.65957446808511,0.0,57.81057810578106,42.189421894218945,38.859180035650624,61.14081996434938,46.80306905370844,53.196930946291566,65.74074074074075,34.25925925925926,0.0,BAL,0.0,0.0,28.06,31.09,0.47,4.17,20.57,12.7,0.09,2
42,BUF,2024,1633,42,52.112676056338024,42,6.184935701163503,0.0,7.910256410256411,0.0,47.887323943661976,0.0,20.13274336283186,79.86725663716814,0.0,68.68556701030928,31.314432989690715,39.14656771799629,60.85343228200371,55.09708737864077,44.90291262135923,69.83471074380165,30.165289256198346,0.0,BUF,0.88,0.0,55.8,13.85,2.15,0.49,7.8,2.83,0.0,2
53,CAR,2024,1353,53,54.32372505543237,53,5.543237250554324,0.0,7.630769230769231,0.0,45.67627494456763,0.0,26.234567901234563,73.76543209876543,0.0,74.40476190476191,25.595238095238095,46.04651162790698,53.95348837209303,60.55900621118012,39.44099378881988,79.14691943127961,20.85308056872038,0.0,CAR,0.3,0.4,73.41,14.8,1.31,0.6,2.42,0.1,0.0,3
64,CHI,2024,1427,64,57.67344078486335,64,20.672740014015417,0.0,7.040372670807454,0.0,42.32655921513665,0.0,29.10216718266253,70.89783281733746,0.0,73.13829787234043,26.861702127659576,48.63013698630137,51.369863013698634,60.33519553072626,39.66480446927375,76.62337662337663,23.376623376623375,0.0,CHI,0.94,0.75,72.02,19.34,3.85,0.09,1.03,0.47,0.09,0
75,CIN,2024,1426,75,67.53155680224404,75,2.4544179523141656,0.0,6.572649572649572,0.0,32.46844319775596,0.0,22.16216216216217,77.83783783783782,0.0,73.60801781737194,26.39198218262806,52.04081632653062,47.95918367346938,71.34831460674157,28.651685393258425,80.93023255813954,19.069767441860467,0.0,CIN,0.0,0.09,59.44,29.07,1.2,0.0,0.46,1.2,0.0,0
86,CLE,2024,1471,86,63.90210740992522,86,12.168592794017677,0.0,6.9918367346938775,0.0,36.09789259007478,0.0,43.30708661417324,56.69291338582677,0.0,71.67431192660551,28.325688073394495,59.488272921108745,40.511727078891255,63.858695652173914,36.141304347826086,79.74683544303798,20.253164556962027,0.0,CLE,0.54,2.59,72.54,16.55,1.61,0.0,0.36,0.09,0.0,0
97,DAL,2024,1478,97,58.72801082543978,97,7.713125845737483,0.0,6.911504424778761,0.0,41.27198917456022,0.0,29.354838709677423,70.64516129032258,0.0,73.65119196988708,26.34880803011293,53.23590814196242,46.764091858037574,60.70460704607046,39.295392953929536,76.31578947368422,23.684210526315788,0.0,DAL,1.63,2.26,70.65,10.87,1.18,0.63,8.24,3.26,0.0,0
108,DEN,2024,1446,108,51.45228215767634,108,11.479944674965422,0.0,7.104838709677419,0.0,48.54771784232366,0.0,22.88557213930348,77.11442786069652,0.0,75.86206896551724,24.13793103448276,46.186440677966104,53.813559322033896,55.833333333333336,44.166666666666664,76.25,23.75,0.0,DEN,3.03,0.47,57.91,13.84,3.41,0.76,7.2,4.83,0.0,2
119,DET,2024,1510,119,36.95364238410596,119,3.774834437086093,0.0,6.092063492063492,0.0,63.04635761589404,0.0,37.08206686930093,62.91793313069907,0.0,72.83018867924528,27.16981132075471,44.927536231884055,55.072463768115945,54.427083333333336,45.57291666666667,71.16279069767441,28.837209302325583,0.0,DET,0.09,0.0,54.56,29.25,3.94,0.09,4.74,0.63,0.0,2
130,GB,2024,1443,130,60.91476091476091,130,7.830907830907831,0.0,8.266666666666667,0.0,39.08523908523909,0.0,28.158844765342963,71.84115523465704,0.0,56.61764705882353,43.38235294117647,37.142857142857146,62.857142857142854,51.46666666666667,48.53333333333333,75.0,25.0,0.0,GB,0.29,0.1,67.28,25.32,0.49,0.0,6.33,0.0,0.0,1
141,HOU,2024,1581,141,48.070841239721695,141,4.490828589500316,0.0,7.528735632183908,0.0,51.929158760278305,0.0,29.97987927565392,70.02012072434609,0.0,78.36676217765043,21.63323782234957,47.5,52.5,56.15384615384615,43.84615384615385,82.82442748091603,17.17557251908397,0.0,HOU,0.0,0.47,62.57,31.47,2.46,0.0,1.61,0.0,0.0,0
152,IND,2024,1376,152,70.20348837209302,152,9.156976744186046,0.0,9.93235831809872,0.0,29.79651162790698,0.0,22.30215827338129,77.6978417266187,0.0,56.89084895259096,43.10915104740904,43.53448275862069,56.46551724137932,56.060606060606055,43.93939393939394,64.38356164383562,35.61643835616438,0.0,IND,0.0,0.19,70.7,25.17,3.36,0.0,0.1,0.0,0.0,1
163,JAX,2024,1305,163,57.1647509578544,163,10.49808429118774,0.0,7.839316239316239,0.0,42.8352490421456,0.0,25.589225589225585,74.41077441077442,0.0,72.5071225071225,27.492877492877493,45.74712643678161,54.252873563218394,65.74923547400611,34.25076452599388,74.01960784313727,25.98039215686275,0.0,JAX,0.2,0.6,65.22,26.01,4.13,0.0,0.5,0.81,0.0,0
174,KC,2024,1622,174,63.316892725030826,174,1.3563501849568431,0.0,5.9298245614035086,0.0,36.683107274969174,0.0,31.41891891891892,68.58108108108108,0.0,67.28971962616824,32.71028037383177,49.26739926739927,50.73260073260073,62.20657276995305,37.79342723004695,74.61538461538461,25.384615384615383,0.0,KC,0.0,0.0,48.21,34.19,10.08,0.09,0.64,3.12,0.0,0
185,LAR,2024,1516,185,44.45910290237467,185,7.519788918205805,0.0,7.102831594634873,0.0,55.54089709762533,0.0,37.61638733705772,62.38361266294227,0.0,74.68152866242038,25.318471337579624,51.53256704980843,48.46743295019157,56.47668393782384,43.52331606217616,73.568281938326,26.431718061674008,0.0,LAR,0.0,1.73,82.4,15.58,0.29,0.0,0.0,0.0,0.0,0
196,LAC,2024,1424,196,53.72191011235955,196,3.300561797752809,0.0,8.040472175379426,0.0,46.27808988764045,0.0,32.425068119891,67.57493188010899,0.0,66.85472496473906,33.14527503526094,43.34763948497854,56.65236051502146,62.64044943820225,37.359550561797754,66.37931034482759,33.62068965517241,0.0,LAC,1.38,0.0,57.33,5.9,0.49,4.03,16.52,11.5,0.49,2
207,LV,2024,1403,207,59.08766928011404,207,9.194583036350677,0.0,6.475290697674419,0.0,40.91233071988596,0.0,31.058020477815695,68.94197952218431,0.0,76.83397683397683,23.16602316602317,58.924731182795696,41.075268817204304,62.96296296296296,37.03703703703704,76.78571428571429,23.214285714285715,0.0,LV,0.09,0.0,51.83,33.52,5.45,0.47,2.16,1.22,0.0,0
218,MIA,2024,1408,218,64.3465909090909,218,5.113636363636364,0.0,5.807511737089202,0.0,35.65340909090909,0.0,22.633744855967073,77.36625514403292,0.0,69.19431279620852,30.80568720379147,46.09053497942387,53.90946502057613,63.73937677053825,36.26062322946176,76.41509433962264,23.58490566037736,0.0,MIA,0.0,0.0,38.17,21.16,3.23,0.09,29.67,7.3,0.09,2
