index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate,scheme_cluster
7,ARI,2022,1487,7,74.04169468728985,7,27.034297242770677,0.0,6.421199442119944,0.0,25.958305312710152,0.0,26.82926829268292,73.17073170731709,0.0,66.40776699029126,33.592233009708735,48.74476987447699,51.25523012552301,70.1530612244898,29.846938775510207,74.67811158798283,25.321888412017167,0.0,ARI,0.09,4.98,64.07,24.56,1.84,1.66,1.84,0.44,0.0,0
18,ATL,2022,1322,18,59.68229954614221,18,12.859304084720122,0.0,8.883259911894273,0.0,40.31770045385779,0.0,23.863636363636363,76.13636363636364,0.0,52.13333333333333,47.86666666666667,32.0,68.0,48.99135446685879,51.008645533141205,65.81632653061224,34.183673469387756,0.0,ATL,0.0,0.0,25.62,1.88,0.2,8.9,32.94,7.32,11.57,2
29,BAL,2022,1442,29,71.70596393897365,29,3.883495145631067,0.0,7.53584229390681,0.0,28.294036061026347,0.0,33.793103448275865,66.20689655172414,0.0,52.20512820512822,47.79487179487179,43.16831683168317,56.83168316831683,53.73961218836565,46.26038781163435,60.26200873362445,39.737991266375545,0.0,BAL,0.0,0.0,12.17,22.62,2.66,0.76,24.52,33.94,0.0,2
40,BUF,2022,1505,40,61.06312292358804,40,8.637873754152823,0.0,9.004304160688665,0.0,38.93687707641196,0.0,33.01282051282052,66.98717948717949,0.0,68.90951276102089,31.090487238979115,54.73098330241187,45.26901669758813,59.49367088607595,40.50632911392405,70.13574660633483,29.86425339366516,0.0,BUF,0.1,0.68,68.37,3.66,0.19,0.19,13.98,3.09,0.0,3
51,CAR,2022,1304,51,43.25153374233129,51,7.05521472392638,0.0,6.722672064777328,0.0,56.74846625766871,0.0,29.55555555555555,70.44444444444444,0.0,68.11320754716981,31.886792452830186,46.22641509433962,53.77358490566038,46.504559270516715,53.49544072948328,65.34653465346535,34.65346534653465,0.0,CAR,0.1,0.2,64.86,18.44,4.3,0.0,2.15,0.0,0.0,1
62,CHI,2022,1303,62,53.49194167306216,62,4.604758250191865,0.0,7.786363636363636,0.0,46.50805832693784,0.0,23.546511627906984,76.45348837209302,0.0,54.89296636085626,45.10703363914373,39.85680190930787,60.14319809069213,37.99392097264438,62.00607902735562,58.18181818181818,41.81818181818181,0.0,CHI,0.0,0.0,40.58,19.64,6.14,0.2,20.04,9.26,1.31,2
73,CIN,2022,1618,73,63.90605686032138,73,3.2756489493201486,0.0,6.315789473684211,0.0,36.09394313967862,0.0,21.532846715328468,78.46715328467153,0.0,73.92197125256673,26.07802874743326,54.54545454545454,45.45454545454545,63.443396226415096,36.556603773584904,78.18930041152264,21.81069958847737,0.0,CIN,0.28,1.14,82.43,6.36,0.19,0.09,0.0,2.37,0.0,3
84,CLE,2022,1434,84,48.60529986052999,84,10.529986052998606,0.0,7.598976109215017,0.0,51.39470013947001,0.0,25.64102564102564,74.35897435897436,0.0,71.5821812596006,28.41781874039939,39.91769547325103,60.08230452674898,56.17977528089888,43.82022471910113,71.98275862068965,28.01724137931034,0.0,CLE,0.0,0.09,57.26,15.14,6.81,0.36,6.54,1.43,0.0,1
95,DAL,2022,1605,95,45.794392523364486,95,10.965732087227414,0.0,7.684451219512195,0.0,54.205607476635514,0.0,29.272727272727273,70.72727272727273,0.0,71.22302158273382,28.776978417266193,41.85185185185185,58.14814814814815,56.294536817102134,43.705463182897866,70.27027027027027,29.72972972972973,0.0,DAL,0.18,0.18,60.95,22.44,7.0,0.09,2.6,2.24,0.0,1
106,DEN,2022,1436,106,52.78551532033426,106,7.311977715877438,0.0,7.870866141732283,0.0,47.21448467966574,0.0,33.244680851063826,66.75531914893618,0.0,72.44318181818181,27.556818181818183,51.49572649572649,48.504273504273506,56.33802816901409,43.66197183098591,77.48917748917748,22.51082251082251,0.0,DEN,0.0,0.0,55.47,19.2,4.55,1.58,14.56,4.17,0.0,3
