index_x,team_abbr,season,n_plays,index_y,index,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,motion_rate,play_action_rate,air_yards_per_att,shotgun_rate,no_huddle_rate,under_center_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate,scheme_cluster
10,ARI,2025,1416,10,10,0.0,38.263665594855304,61.73633440514469,0.0,77.18383311603651,22.816166883963493,58.31533477321814,41.68466522678186,69.08077994428969,30.919220055710305,75.44642857142857,24.553571428571427,0.0,43.9,18.3,7.2,71.6,12.2,28.40000000000001,ARI,0.19,0.0,46.37,29.05,10.52,0.0,0.0,0.19,0.0,1
21,ATL,2025,1389,21,21,0.0,31.19266055045872,68.80733944954129,0.0,60.671462829736214,39.32853717026379,42.94871794871795,57.05128205128205,56.231884057971016,43.768115942028984,76.32850241545893,23.67149758454106,0.0,67.2,12.0,7.7,79.7,11.1,20.299999999999997,ATL,0.0,0.0,45.13,38.17,6.68,0.0,9.16,0.48,0.0,0
32,BAL,2025,1303,32,32,0.0,21.910112359550567,78.08988764044943,0.0,63.064516129032256,36.93548387096775,40.229885057471265,59.77011494252874,43.87096774193549,56.12903225806451,67.15686274509804,32.84313725490196,0.0,52.1,13.6,8.1,63.7,3.2,36.3,BAL,0.0,0.0,29.88,35.93,5.34,0.1,18.58,8.32,0.31,0
43,BUF,2025,1559,43,43,0.0,25.76,74.24,0.0,76.07260726072607,23.927392739273923,36.715867158671585,63.284132841328415,58.3743842364532,41.6256157635468,64.85355648535564,35.146443514644346,0.0,57.1,17.7,7.3,48.9,6.0,51.1,BUF,0.09,0.0,60.81,11.18,4.62,0.0,7.67,13.31,0.0,3
54,CAR,2025,1401,54,54,0.0,23.38709677419355,76.61290322580645,0.0,71.75141242937853,28.24858757062147,42.02586206896552,57.97413793103448,60.11396011396012,39.88603988603989,72.81105990783409,27.188940092165897,0.0,50.2,14.6,6.7,65.9,6.0,34.099999999999994,CAR,0.69,0.3,65.38,19.98,7.62,0.1,1.88,2.87,0.0,2
65,CHI,2025,1637,65,65,0.0,32.89473684210527,67.10526315789474,0.0,74.84848484848484,25.151515151515152,49.357798165137616,50.64220183486239,52.567237163814184,47.43276283618582,65.41353383458647,34.58646616541353,0.0,60.6,19.9,8.6,51.7,5.1,48.3,CHI,1.72,0.0,51.59,32.64,8.52,0.0,0.0,0.0,0.0,1
76,CIN,2025,1405,76,76,0.0,29.20792079207921,70.79207920792079,0.0,72.20930232558139,27.790697674418603,56.929637526652456,43.070362473347544,64.26512968299711,35.73487031700288,77.82805429864254,22.171945701357465,0.0,50.1,11.2,7.4,81.6,2.9,18.40000000000001,CIN,0.38,0.66,64.05,29.04,0.85,0.38,1.89,0.76,0.0,2
87,CLE,2025,1371,87,87,0.0,27.485380116959067,72.51461988304094,0.0,74.71098265895954,25.289017341040463,48.94613583138173,51.05386416861827,60.766961651917406,39.233038348082594,75.74468085106383,24.25531914893617,0.0,50.6,14.2,6.8,67.2,9.0,32.8,CLE,0.1,0.49,43.98,41.17,4.17,0.0,1.26,0.1,0.0,2
98,DAL,2025,1488,98,98,0.0,32.33256351039262,67.6674364896074,0.0,75.07246376811595,24.927536231884055,46.57534246575342,53.42465753424658,60.0,40.0,81.81818181818183,18.181818181818183,0.0,56.6,17.1,8.1,61.6,9.4,38.4,DAL,0.8,0.0,66.43,16.96,1.61,0.27,7.86,4.91,0.0,1
109,DEN,2025,1587,109,109,0.0,25.174825174825177,74.82517482517483,0.0,77.10691823899371,22.893081761006293,49.80988593155893,50.19011406844106,57.49385749385749,42.50614250614251,78.70722433460075,21.292775665399237,0.0,40.4,17.4,7.3,64.3,12.2,35.7,DEN,1.83,0.0,63.0,10.26,1.92,0.37,5.04,8.7,0.0,1
120,DET,2025,1394,120,120,0.0,32.31357552581262,67.68642447418739,0.0,83.54898336414048,16.45101663585952,50.21186440677966,49.78813559322034,56.358381502890175,43.641618497109825,77.57009345794393,22.429906542056074,0.0,52.2,16.8,6.4,51.0,6.3,49.0,DET,0.0,0.47,58.14,22.67,5.46,2.07,3.29,0.09,0.0,1
131,GB,2025,1408,131,131,0.0,33.2512315270936,66.7487684729064,0.0,63.905325443786985,36.09467455621302,42.10526315789473,57.89473684210527,53.65168539325843,46.348314606741575,69.68325791855203,30.316742081447963,0.0,59.0,14.8,8.8,61.8,8.5,38.2,GB,0.0,0.0,55.64,33.76,1.39,0.0,3.07,0.0,0.0,0
142,HOU,2025,1612,142,142,0.0,28.719008264462808,71.28099173553719,0.0,75.40106951871658,24.59893048128342,43.320610687022906,56.6793893129771,62.67942583732058,37.32057416267943,75.2851711026616,24.714828897338403,0.0,54.0,14.8,8.2,61.1,3.7,38.9,HOU,0.09,0.0,65.99,7.72,1.47,0.55,4.6,1.29,0.0,2
153,IND,2025,1340,153,153,0.0,33.33333333333333,66.66666666666666,0.0,66.48275862068965,33.51724137931035,49.35064935064935,50.64935064935064,58.98203592814371,41.01796407185629,72.3076923076923,27.692307692307693,0.0,57.6,19.0,8.0,71.4,5.2,28.59999999999999,IND,0.0,0.1,62.67,25.54,9.82,0.0,0.69,0.1,0.0,1
164,JAX,2025,1512,164,164,0.0,27.48917748917749,72.5108225108225,0.0,74.02031930333817,25.979680696661827,46.33663366336634,53.663366336633665,61.398963730569946,38.60103626943005,68.14159292035397,31.858407079646017,0.0,60.6,14.6,8.7,59.5,7.0,40.5,JAX,0.09,0.46,65.23,18.48,2.84,0.0,3.39,0.0,0.0,2
175,KC,2025,1379,175,175,0.0,22.018348623853218,77.98165137614679,0.0,69.26713947990544,30.73286052009456,49.78165938864629,50.21834061135371,65.52706552706553,34.472934472934476,70.45454545454545,29.545454545454547,0.0,49.5,15.3,7.8,80.0,2.7,20.0,KC,0.0,0.19,56.08,27.99,6.22,0.0,4.24,1.32,0.0,2
186,LAR,2025,1674,186,186,0.0,37.071240105540895,62.9287598944591,0.0,86.91588785046729,13.08411214953271,48.57142857142857,51.42857142857142,60.64814814814815,39.351851851851855,76.52173913043478,23.47826086956522,0.0,62.8,21.3,9.1,39.9,6.4,60.1,LAR,0.0,0.09,58.66,9.58,30.48,0.0,0.0,0.0,0.0,1
197,LAC,2025,1500,197,197,0.0,29.117647058823533,70.88235294117648,0.0,69.57055214723925,30.42944785276073,44.398340248962654,55.601659751037346,64.85788113695091,35.14211886304909,71.26436781609196,28.735632183908045,0.0,50.6,15.7,8.0,70.3,4.1,29.700000000000003,LAC,0.91,4.57,56.8,5.84,1.92,5.11,10.96,7.95,0.0,2
208,LV,2025,1263,208,208,0.0,30.182926829268297,69.8170731707317,0.0,77.36757624398074,22.63242375601926,54.613466334164585,45.38653366583541,58.27814569536424,41.72185430463576,76.99530516431925,23.004694835680752,0.0,48.3,16.5,6.2,65.7,8.9,34.3,LV,0.0,0.0,56.96,33.97,5.91,0.0,0.32,0.21,0.0,1
219,MIA,2025,1255,219,219,0.0,34.40860215053764,65.59139784946237,0.0,63.00148588410104,36.99851411589896,43.75,56.25,55.66037735849056,44.33962264150944,73.4375,26.5625,0.0,67.5,18.0,7.0,71.1,3.7,28.90000000000001,MIA,0.0,0.74,39.3,10.01,0.84,0.74,24.66,8.85,0.32,3
230,MIN,2025,1271,230,230,0.0,30.2540415704388,69.7459584295612,0.0,79.42857142857143,20.571428571428573,46.57210401891253,53.42789598108747,59.29487179487179,40.70512820512821,75.38461538461539,24.615384615384617,0.0,48.4,16.4,7.8,55.2,7.4,44.8,MIN,0.0,0.0,63.84,21.17,3.04,0.0,7.76,3.77,0.0,1
241,NE,2025,1694,241,241,0.0,24.958123953098827,75.04187604690117,0.0,76.76056338028168,23.23943661971831,42.41379310344828,57.58620689655173,54.337899543378995,45.662100456621005,74.21875,25.78125,0.0,50.0,14.8,9.2,53.5,2.4,46.5,NE,0.1,0.57,48.95,19.35,0.0,0.19,15.33,6.99,0.0,3
252,NO,2025,1399,252,252,0.0,27.083333333333336,72.91666666666666,0.0,68.73508353221958,31.264916467780424,48.69565217391305,51.30434782608696,64.52513966480447,35.47486033519553,73.99103139013454,26.00896860986547,0.0,62.5,12.7,8.1,78.0,22.8,22.0,NO,0.0,0.19,66.7,16.84,8.28,0.09,0.37,1.02,0.0,2
263,NYG,2025,1434,263,263,0.0,27.969348659003828,72.03065134099617,0.0,60.86956521739131,39.130434782608695,47.17391304347826,52.826086956521735,46.81440443213297,53.18559556786704,71.55555555555554,28.444444444444443,0.0,38.7,14.2,8.5,76.5,20.8,23.5,NYG,0.18,0.0,60.46,32.53,5.07,0.0,0.65,0.18,0.0,2
274,NYJ,2025,1336,274,274,0.0,31.428571428571427,68.57142857142857,0.0,63.82113821138211,36.17886178861788,48.92601431980907,51.07398568019092,51.4018691588785,48.598130841121495,67.68558951965066,32.314410480349345,0.0,58.7,12.4,6.9,73.2,9.9,26.799999999999997,NYJ,0.0,0.0,67.13,17.03,0.3,0.0,6.24,2.57,0.2,0
285,PHI,2025,1429,285,285,0.0,20.61068702290077,79.38931297709924,0.0,62.69744835965978,37.302551640340226,43.412526997840175,56.587473002159825,54.223433242506815,45.776566757493185,68.58407079646017,31.41592920353982,0.0,44.0,13.7,9.0,76.3,18.5,23.700000000000003,PHI,0.2,0.0,59.21,25.84,7.92,0.0,0.89,0.3,0.0,2
296,PIT,2025,1382,296,296,0.0,28.169014084507047,71.83098591549295,0.0,75.39797395079594,24.602026049204053,48.775055679287306,51.224944320712694,60.28985507246377,39.710144927536234,79.46428571428571,20.535714285714285,0.0,52.1,13.1,6.0,65.8,11.3,34.2,PIT,0.0,0.0,38.66,24.7,14.17,0.0,2.33,0.91,0.0,2
307,SEA,2025,1581,307,307,0.0,30.992366412213745,69.00763358778626,0.0,73.32123411978222,26.678765880217785,43.884892086330936,56.11510791366906,49.48717948717949,50.51282051282051,65.71428571428571,34.285714285714285,0.0,54.1,14.5,7.8,45.2,7.6,54.8,SEA,0.79,0.2,41.38,29.85,5.42,0.1,11.43,6.8,0.0,3
318,SF,2025,1527,318,318,0.0,31.438721136767324,68.56127886323267,0.0,77.10280373831776,22.897196261682243,47.8021978021978,52.19780219780221,56.74300254452926,43.25699745547074,71.1864406779661,28.8135593220339,0.0,66.8,14.6,7.5,53.0,3.8,47.0,SF,0.0,0.0,42.61,11.46,0.46,0.0,36.32,8.23,0.0,0
329,TB,2025,1420,329,329,0.0,24.08376963350785,75.91623036649214,0.0,73.48703170028818,26.51296829971182,44.251626898047725,55.748373101952275,62.28571428571429,37.714285714285715,68.42105263157895,31.57894736842105,0.0,58.9,12.8,8.1,64.7,6.3,35.3,TB,0.0,1.22,68.73,18.63,2.25,0.09,5.9,1.5,0.0,2
340,TEN,2025,1347,340,340,0.0,27.95698924731183,72.04301075268818,0.0,75.58620689655172,24.41379310344828,49.63325183374083,50.36674816625917,65.95092024539878,34.04907975460122,77.35042735042735,22.64957264957265,0.0,43.3,15.9,7.0,72.4,10.3,27.59999999999999,TEN,0.0,0.0,69.82,16.53,1.29,0.0,2.29,0.0,0.0,2
351,WAS,2025,1329,351,351,0.0,19.70802919708029,80.2919708029197,0.0,56.16279069767442,43.837209302325576,37.41496598639456,62.58503401360544,55.98802395209581,44.01197604790419,69.84126984126983,30.15873015873016,0.0,49.3,17.3,8.5,86.9,60.0,13.099999999999994,WAS,0.91,0.81,56.77,23.23,5.15,0.3,1.92,0.51,0.0,2
