Year,Team,Net EPA,Offensive EPA per play,EPA/Play,Total EPA,Success Rate,EPA/Pass,EPA/Rush
2011,Chiefs ,-0.1,,,,,,
2011,Bills,-0.06,,,,,,
2012,Cardinals,-0.15,,,,,,
2012,Bears,0.09,,,,,,
2012,Texans ,0.17,,,,,,
2012,Broncos,0.19,,,,,,
2012,49ers,0.19,,,,,,
2012,Seahawks,0.18,,,,,,
2012,Patriots,0.22,,,,,,
2012,Falcons,0.12,,,,,,
2012,Packers,0.1,,,,,,
2012,Bengals,0.06,,,,,,
2012,Steelers,0.05,,,,,,
2012,Chargers,-0.02,,,,,,
2012,Ravens,0.02,,,,,,
2012,Jets,-0.11,,,,,,
2012,Rams,-0.03,,,,,,
2012,Browns,-0.06,,,,,,
2012,Vikings,-0.01,,,,,,
2012,Panthers,0.05,,,,,,
2012,Dolphins,-0.08,,,,,,
2012,Lions,-0.03,,,,,,
2012,Buccaneers,0.01,,,,,,
2012,Commanders,0.09,,,,,,
2012,Cowboys,0.0,,,,,,
2012,Giants,0.02,,,,,,
2012,Titans,-0.15,,,,,,
2012,Saints,-0.02,,,,,,
2012,Eagles,-0.16,,,,,,
2012,Colts,-0.08,,,,,,
2012,Raiders,-0.12,,,,,,
2012,Jaguars,-0.19,,,,,,
2012,Chiefs ,-0.26,,,,,,
2012,Bills,-0.09,,,,,,
2013,Cardinals,0.07,,,,,,
2013,Bears,0.0,,,,,,
2013,Texans ,-0.13,,,,,,
2013,Broncos,0.21,,,,,,
2013,49ers,0.09,,,,,,
2013,Seahawks,0.22,,,,,,
2013,Patriots,0.02,,,,,,
2013,Falcons,-0.1,,,,,,
2013,Packers,-0.04,,,,,,
2013,Bengals,0.14,,,,,,
2013,Steelers,-0.01,,,,,,
2013,Chargers,0.05,,,,,,
2013,Ravens,-0.09,,,,,,
2013,Jets,-0.1,,,,,,
2013,Rams,-0.05,,,,,,
2013,Browns,-0.06,,,,,,
2013,Vikings,-0.11,,,,,,
2013,Panthers,0.15,,,,,,
2013,Dolphins,-0.06,,,,,,
2013,Lions,0.03,,,,,,
2013,Buccaneers,-0.1,,,,,,
2013,Commanders,-0.09,,,,,,
2013,Cowboys,0.0,,,,,,
2013,Giants,-0.09,,,,,,
2013,Titans,0.03,,,,,,
2013,Saints,0.16,,,,,,
2013,Eagles,0.11,,,,,,
2013,Colts,0.02,,,,,,
2013,Raiders,-0.13,,,,,,
2013,Jaguars,-0.24,,,,,,
2013,Chiefs ,0.07,,,,,,
2013,Bills,0.02,,,,,,
2014,Cardinals,0.01,,,,,,
2014,Bears,-0.15,,,,,,
2014,Texans ,0.11,,,,,,
2014,Broncos,0.18,,,,,,
2014,49ers,-0.03,,,,,,
2014,Seahawks,0.21,,,,,,
2014,Patriots,0.11,,,,,,
2014,Falcons,-0.05,,,,,,
2014,Packers,0.17,,,,,,
2014,Bengals,0.01,,,,,,
2014,Steelers,0.05,,,,,,
2014,Chargers,0.02,,,,,,
2014,Ravens,0.07,,,,,,
2014,Jets,-0.12,,,,,,
2014,Rams,-0.05,,,,,,
2014,Browns,-0.02,,,,,,
2014,Vikings,-0.04,,,,,,
2014,Panthers,-0.01,,,,,,
2014,Dolphins,0.01,,,,,,
2014,Lions,0.1,,,,,,
2014,Buccaneers,-0.12,,,,,,
2014,Commanders,-0.16,,,,,,
2014,Cowboys,0.13,,,,,,
2014,Giants,-0.02,,,,,,
2014,Titans,-0.16,,,,,,
2014,Saints,-0.04,,,,,,
2014,Eagles,0.0,,,,,,
2014,Colts,0.08,,,,,,
2014,Raiders,-0.21,,,,,,
2014,Jaguars,-0.19,,,,,,
2014,Chiefs ,0.05,,,,,,
2014,Bills,0.05,,,,,,
2015,Cardinals,0.22,,,,,,
2015,Bears,-0.07,,,,,,
2015,Texans ,0.06,,,,,,
2015,Broncos,0.1,,,,,,
2015,49ers,-0.15,,,,,,
2015,Seahawks,0.19,,,,,,
2015,Patriots,0.16,,,,,,
2015,Falcons,0.0,,,,,,
2015,Packers,0.02,,,,,,
2015,Bengals,0.12,,,,,,
2015,Steelers,0.08,,,,,,
2015,Chargers,-0.06,,,,,,
2015,Ravens,-0.08,,,,,,
2015,Jets,0.12,,,,,,
2015,Rams,-0.08,,,,,,
2015,Browns,-0.14,,,,,,
2015,Vikings,0.04,,,,,,
2015,Panthers,0.21,,,,,,
2015,Dolphins,-0.1,,,,,,
2015,Lions,-0.05,,,,,,
2015,Buccaneers,-0.03,,,,,,
2015,Commanders,0.01,,,,,,
2015,Cowboys,-0.12,,,,,,
2015,Giants,-0.05,,,,,,
2015,Titans,-0.16,,,,,,
2015,Saints,-0.08,,,,,,
2015,Eagles,-0.07,,,,,,
2015,Colts,-0.11,,,,,,
2015,Raiders,-0.03,,,,,,
2015,Jaguars,-0.09,,,,,,
2015,Chiefs ,0.12,,,,,,
2015,Bills,0.02,,,,,,
2016,Cardinals,0.1,,,,,,
2016,Falcons,0.12,,,,,,
2016,Ravens,-0.01,,,,,,
2016,Bills,0.03,,,,,,
2016,Panthers,-0.05,,,,,,
2016,Bears,-0.11,,,,,,
2016,Bengals,0.04,,,,,,
2016,Browns,-0.21,,,,,,
2016,Cowboys,0.12,,,,,,
2016,Broncos,0.06,,,,,,
2016,Lions,-0.06,,,,,,
