player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0027010,2019,Patriots,2.3074962805526034,,32.0,33.7139116587218,0.227,70.60%,Patrick Chung,S,642.0,13.0,10.0,1.0,0.0,19.0,0.0,56.0,54.9,84.8,62.3,0.0,0.0,10.3,6.0,3.0,1.0,99.4,31.0,28.0,326.0,379.0,128.0,17.0,42.0,1.0,44.0,1.0,328.0,35245.799999999996,68.88225742574257
00-0030170,2019,Jets,1.0132837407013815,,30.0,0.0,-0.133,43.80%,Rontez Miles,S,19.0,5.0,0.0,0.0,0.0,22.0,0.0,70.8,72.4,71.9,77.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1375.6,MISSING
00-0033892,2019,Jets,0.949768862911796,,26.0,229.9595959133068,-0.133,43.80%,Marcus Maye,S,1089.0,16.0,6.0,0.0,0.0,22.0,0.0,77.4,74.5,88.3,52.7,1.0,0.0,13.5,10.0,6.0,0.0,76.0,9.0,721.0,218.0,691.0,131.0,10.0,58.0,1.0,20.0,1.0,195.0,81130.5,MISSING
00-0030538,2019,Falcons,0.1731886291179596,,29.0,0.0,-0.03,43.80%,Johnathan Cyprien,S,39.0,5.0,0.0,0.0,0.0,2.0,0.0,41.3,43.2,73.9,79.0,0.0,0.0,0.0,0.0,0.0,1.0,39.6,0.0,13.0,22.0,26.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,1684.8000000000002,MISSING
00-0032382,2019,Falcons,1.8153682252922425,,24.0,0.0,-0.03,43.80%,Keanu Neal,S,166.0,3.0,3.0,0.0,0.0,2.0,0.0,42.0,43.1,2.7,65.2,0.0,0.0,11.8,2.0,0.0,3.0,96.7,7.0,39.0,74.0,91.0,37.0,1.0,12.0,0.0,10.0,0.0,87.0,7154.6,MISSING
00-0032592,2019,Falcons,0.3825717321997874,,27.0,0.0,-0.03,43.80%,Sharrod Neasman,S,11.0,7.0,0.0,0.0,0.0,2.0,0.0,51.2,49.1,69.9,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,118.8,1.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,540.1,MISSING
00-0034362,2019,Giants,0.0356312433581296,,24.0,128.62900069213163,-0.137,25.00%,Rashaan Gaulden,S,18.0,2.0,0.0,0.0,0.0,21.0,0.0,67.2,49.6,73.6,26.8,0.0,0.0,50.0,1.0,0.0,0.0,87.5,2.0,1.0,4.0,7.0,9.0,0.0,1.0,0.0,2.0,0.0,10.0,892.8000000000001,MISSING
00-0024421,2019,Giants,1.926142401700319,,35.0,1.2900077721284613,-0.137,25.00%,Antoine Bethea,S,1107.0,16.0,15.0,0.0,0.0,21.0,2.0,62.4,69.3,86.8,70.3,1.0,0.0,11.4,13.0,5.0,1.0,135.4,18.0,804.0,239.0,650.0,51.0,18.0,86.0,3.0,26.0,5.0,340.0,76715.09999999999,52.958153580673
00-0033883,2019,Giants,0.7466424017003188,,23.0,0.0,-0.137,25.00%,Jabrill Peppers,S,705.0,11.0,11.0,1.0,3.0,21.0,0.0,66.7,64.3,57.1,54.4,1.0,1.0,14.5,12.0,3.0,3.0,78.8,24.0,118.0,447.0,372.0,92.0,27.0,60.0,6.0,35.0,0.0,264.0,45331.5,MISSING
00-0032496,2019,Jets,0.3905419766206164,,27.0,0.0,-0.133,43.80%,Matthias Farley,S,4.0,2.0,0.0,0.0,0.0,22.0,0.0,60.0,26.2,92.7,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.8,MISSING
00-0034496,2019,Giants,0.0712630180658873,,23.0,0.0,-0.137,25.00%,Sean Chandler,S,30.0,9.0,3.0,1.0,0.0,21.0,1.0,31.1,44.4,72.5,43.0,0.0,0.0,20.0,1.0,0.0,1.0,118.8,2.0,2.0,21.0,15.0,6.0,0.0,1.0,0.0,2.0,0.0,26.0,1332.0,MISSING
00-0034779,2019,Jaguars,0.4347810839532412,,22.0,115.92668878360382,-0.125,37.50%,Ronnie Harrison,S,833.0,14.0,20.0,0.0,0.0,15.0,1.0,68.5,60.9,41.7,71.7,2.0,0.0,9.6,7.0,5.0,5.0,90.5,17.0,402.0,257.0,485.0,57.0,17.0,46.0,1.0,27.0,2.0,273.0,50729.7,MISSING
00-0032697,2019,Jaguars,0.0356312433581296,,25.0,0.0,-0.125,37.50%,Doug Middleton,S,16.0,1.0,0.0,0.0,0.0,15.0,0.0,62.8,53.2,71.2,23.8,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.2,MISSING
00-0032525,2019,Jaguars,1.1069782146652498,,25.0,0.0,-0.125,37.50%,Jarrod Wilson,S,1052.0,16.0,15.0,0.0,1.0,15.0,0.0,79.6,73.7,86.5,67.2,2.0,0.0,11.0,9.0,4.0,0.0,85.0,28.0,476.0,299.0,601.0,192.0,18.0,58.0,5.0,40.0,2.0,276.0,77532.40000000001,MISSING
00-0035378,2019,Jaguars,0.2639032943676939,,22.0,0.0,-0.125,37.50%,Andrew Wingard,S,185.0,10.0,7.0,0.0,1.0,15.0,0.0,50.1,54.1,78.8,39.3,0.0,0.0,22.7,5.0,0.0,1.0,158.3,3.0,97.0,57.0,70.0,10.0,4.0,10.0,0.0,3.0,1.0,47.0,10008.5,MISSING
00-0029764,2019,Jaguars,1.3947927736450585,,30.0,0.0,-0.125,37.50%,Cody Davis,S,67.0,8.0,2.0,0.0,0.0,15.0,0.0,67.9,71.7,79.2,85.0,0.0,0.0,0.0,0.0,1.0,0.0,39.6,0.0,60.0,3.0,60.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,4803.900000000001,MISSING
00-0033872,2019,Jets,3.2255929861849095,,23.0,520.1800255135677,-0.133,43.80%,Jamal Adams,S,959.0,14.0,10.0,0.0,2.0,22.0,1.0,87.5,87.9,0.3,90.0,1.0,1.0,5.4,4.0,4.0,6.0,79.1,20.0,297.0,400.0,517.0,131.0,36.0,60.0,6.0,33.0,2.0,150.0,84296.1,MISSING
00-0028908,2019,Giants,1.0626992561105209,,29.0,0.0,-0.137,25.00%,Michael Thomas,S,302.0,16.0,7.0,0.0,0.0,21.0,0.0,65.7,56.4,34.7,65.5,0.0,0.0,9.8,4.0,3.0,1.0,130.1,19.0,49.0,128.0,192.0,77.0,11.0,30.0,2.0,23.0,2.0,190.0,17032.8,MISSING
00-0033819,2019,Falcons,0.2494213602550478,,25.0,0.0,-0.03,43.80%,Jamal Carter,S,105.0,8.0,2.0,0.0,0.0,2.0,0.0,53.5,47.1,77.8,56.8,0.0,0.0,11.1,1.0,1.0,0.0,78.0,5.0,16.0,61.0,71.0,19.0,0.0,6.0,0.0,9.0,0.0,64.0,4945.5,MISSING
00-0029570,2019,Patriots,1.497741764080765,,30.0,9.408713212351982,0.227,70.60%,Nate Ebner,S,1.0,1.0,0.0,0.0,0.0,19.0,0.0,60.0,62.4,61.5,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,MISSING
00-0032320,2019,Raiders,1.3283740701381508,,29.0,0.0,-0.081,43.80%,Erik Harris,S,900.0,15.0,4.0,0.0,0.0,23.0,0.0,66.7,66.7,67.4,51.2,3.0,2.0,13.2,10.0,5.0,3.0,88.1,16.0,587.0,206.0,547.0,63.0,14.0,62.0,2.0,26.0,3.0,224.0,60030.0,MISSING
00-0030566,2019,Saints,0.0503214665249734,,27.0,77.59389344557198,0.12,76.50%,D.J. Swearinger Sr.,S,484.0,9.0,6.0,0.0,0.0,20.0,0.0,42.0,52.1,81.9,60.7,0.0,0.0,13.2,7.0,2.0,0.0,146.3,17.0,202.0,173.0,261.0,57.0,8.0,40.0,1.0,25.0,4.0,288.0,25216.4,MISSING
00-0035288,2019,Saints,0.2889489904357067,,23.0,0.0,0.12,76.50%,Saquan Hampton,S,34.0,2.0,0.0,0.0,0.0,20.0,0.0,31.8,29.9,78.1,71.4,0.0,0.0,0.0,0.0,0.0,1.0,91.7,3.0,12.0,5.0,28.0,6.0,1.0,1.0,1.0,4.0,0.0,26.0,1016.6,MISSING
