player_id,Year,Team,player,position,age,franchise_id,player_game_count,grades_defense,snap_counts_defense,assists,forced_fumbles,grades_coverage_defense,grades_pass_rush_defense,grades_run_defense,hits,hurries,missed_tackle_rate,sacks,stops,tackles,tackles_for_loss,total_pressures,grades_defense_penalty,grades_tackle,interceptions,pass_break_ups,penalties,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,targets,fumble_recoveries,declined_penalties,missed_tackles,Cap_Space,adjusted_value,Net EPA,Win %,weighted_grade,weighted_average_grade
00-0036276,2022,Browns,Jacob Phillips,LB,23.0,8.0,7.0,36.7,320.0,12.0,0.0,46.5,67.6,33.5,1.0,0.0,12.0,2.0,17.0,32.0,0.0,3.0,84.0,55.8,0.0,1.0,0.0,295.0,312.0,11.0,151.0,18.0,0.0,0.0,6.0,0.5720816522574448,99.994451850774,-0.016,41.2,11744.0,
00-0033058,2022,Browns,Reggie Ragland,LB,28.0,8.0,4.0,86.4,68.0,6.0,0.0,57.3,,86.3,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,76.9,84.9,0.0,0.0,0.0,67.0,68.0,0.0,56.0,1.0,0.0,0.0,0.0,0.1194092219020173,99.98840910555808,-0.016,41.2,5875.200000000001,
00-0032388,2022,Browns,Deion Jones,LB,27.0,8.0,11.0,48.3,422.0,11.0,0.0,54.4,68.6,39.1,1.0,4.0,14.9,3.0,16.0,29.0,3.0,8.0,83.8,44.7,1.0,2.0,0.0,364.0,404.0,19.0,158.0,28.0,0.0,0.0,7.0,0.6214798270893371,83.73196359209291,-0.016,41.2,20382.6,
00-0036634,2022,Browns,Tony Fields II,LB,23.0,8.0,11.0,50.0,276.0,10.0,1.0,54.7,63.7,50.1,0.0,2.0,6.1,0.0,14.0,36.0,1.0,2.0,39.0,75.8,1.0,0.0,2.0,155.0,193.0,16.0,169.0,11.0,0.0,0.0,3.0,0.435850144092219,57.24150064712397,-0.016,41.2,13800.0,
00-0034396,2022,Browns,Jermaine Carter,LB,27.0,8.0,4.0,51.5,93.0,3.0,0.0,50.8,62.1,53.5,1.0,0.0,7.7,0.0,5.0,9.0,0.0,1.0,77.9,71.3,0.0,0.0,0.0,57.0,62.0,8.0,64.0,2.0,0.0,0.0,1.0,0.1194092219020173,38.20931514293273,-0.016,41.2,4789.5,
00-0033570,2022,Browns,Anthony Walker Jr.,LB,27.0,8.0,3.0,82.7,120.0,3.0,0.0,90.0,55.1,56.2,0.0,8.0,13.3,0.0,9.0,10.0,5.0,8.0,82.3,59.7,0.0,1.0,0.0,106.0,115.0,9.0,39.0,10.0,0.0,0.0,2.0,0.8737636887608069,28.306156857654443,-0.016,41.2,9924.0,
00-0035444,2022,Browns,Jordan Kunaszyk,LB,25.0,8.0,9.0,52.4,101.0,5.0,0.0,72.0,56.9,38.1,0.0,0.0,18.8,0.0,3.0,8.0,1.0,0.0,77.6,37.8,0.0,1.0,0.0,86.0,94.0,2.0,56.0,6.0,0.0,0.0,3.0,0.4119961575408261,0.0,-0.016,41.2,5292.4,
00-0035646,2022,Browns,Sione Takitaki,LB,27.0,8.0,12.0,66.5,498.0,22.0,1.0,64.3,69.6,65.0,1.0,4.0,8.5,1.0,21.0,43.0,3.0,6.0,52.5,66.8,0.0,1.0,2.0,374.0,426.0,37.0,252.0,30.0,0.0,1.0,6.0,0.5788756003842459,112.66388785777104,-0.016,41.2,33117.0,
00-0036915,2022,Browns,Jeremiah Owusu-Koramoah,LB,22.0,8.0,11.0,65.5,535.0,15.0,2.0,73.4,48.5,58.8,1.0,5.0,14.9,0.0,36.0,59.0,7.0,6.0,54.3,42.9,0.0,2.0,1.0,433.0,460.0,31.0,235.0,34.0,0.0,0.0,13.0,0.7069486071085495,205.94739815439215,-0.016,41.2,35042.5,
00-0024249,2013,Browns,D'Qwell Jackson,LB,29.0,8.0,16.0,60.1,1147.0,17.0,1.0,65.8,57.1,51.7,1.0,12.0,7.0,2.0,39.0,89.0,1.0,15.0,89.4,76.9,1.0,2.0,1.0,1001.0,1025.0,109.0,449.0,60.0,1.0,0.0,8.0,5.177993527508091,82.92284200506268,-0.06,25.0,68934.7,
