player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0022050,29.0,MISSING,71.54765619367551,2010,Bears,0.02,66.70%,Pisa Tinoisamoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0019456,32.0,MISSING,61.8940805497906,2010,Bears,0.02,66.70%,Brian Urlacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022128,29.0,MISSING,48.56753411379562,2010,Bears,0.02,66.70%,Lance Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021983,29.0,MISSING,14.551633939754648,2010,Bears,0.02,66.70%,Hunter Hillenmeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023652,28.0,MISSING,11.492386076250558,2010,Bears,0.02,66.70%,Rod Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024100,26.0,MISSING,0.0,2010,Bears,0.02,66.70%,Brian Iwuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024750,25.0,MISSING,0.0,2010,Bears,0.02,66.70%,Nick Roach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027662,21.0,5579.0,220.73201307156256,2010,Bengals,-0.06,25.00%,Carlos Dunlap,ED,281.0,12.0,2.0,3.0,0.0,0.0,7.0,1.0,72.3,59.0,71.0,55.8,50.4,3.0,9.0,7.1,1.0,1.0,10.0,216.0,54.0,279.0,0.0,273.0,18.0,11.0,1.0,22.0,20316.3,MISSING
00-0026217,24.0,MISSING,129.20562137292168,2010,Bengals,-0.06,25.00%,Pat Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027720,22.0,5643.0,91.22753062904772,2010,Bengals,-0.06,25.00%,Geno Atkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022696,28.0,MISSING,90.71045147886922,2010,Bengals,-0.06,25.00%,Tank Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024306,26.0,3036.0,88.39327117131042,2010,Bengals,-0.06,25.00%,Frostee Rucker,ED,283.0,9.0,6.0,1.0,0.0,0.0,7.0,0.0,63.9,82.0,68.8,53.1,76.2,6.0,9.0,0.0,0.0,0.0,1.0,136.0,143.0,283.0,0.0,273.0,8.0,10.0,1.0,16.0,18083.7,MISSING
00-0022918,28.0,MISSING,77.59389344557198,2010,Bengals,-0.06,25.00%,Antwan Odom,ED,158.0,4.0,2.0,1.0,0.0,0.0,7.0,0.0,61.8,80.2,55.9,66.3,45.4,0.0,7.0,28.6,2.0,0.0,0.0,109.0,47.0,158.0,0.0,111.0,2.0,3.0,0.0,7.0,9764.4,MISSING
00-0024328,27.0,MISSING,66.77398831123945,2010,Bengals,-0.06,25.00%,Victor Adeyanju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024338,25.0,3068.0,59.246002745318634,2010,Bengals,-0.06,25.00%,Domata Peko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022867,27.0,MISSING,34.87104351587171,2010,Bengals,-0.06,25.00%,Robert Geathers,ED,796.0,16.0,7.0,2.0,0.0,1.0,7.0,1.0,53.1,48.4,55.8,57.5,77.8,4.0,21.0,9.4,3.0,3.0,1.0,450.0,337.0,787.0,1.0,633.0,16.0,22.0,0.0,26.0,42267.6,MISSING
00-0026964,23.0,5173.0,13.560632297941556,2010,Bengals,-0.06,25.00%,Clinton McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023665,28.0,MISSING,9.006565467264338,2010,Bengals,-0.06,25.00%,Jonathan Fanene,ED,32.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,61.5,74.2,63.3,58.0,69.9,0.0,2.0,0.0,0.0,0.0,0.0,17.0,15.0,32.0,0.0,26.0,1.0,2.0,0.0,2.0,1968.0,MISSING
00-0026149,24.0,MISSING,457.33883337413505,2010,Bengals,-0.06,25.00%,Keith Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027014,23.0,MISSING,257.90773919552834,2010,Bengals,-0.06,25.00%,Rey Maualuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027044,23.0,4993.0,156.85018541682646,2010,Bengals,-0.06,25.00%,Michael Johnson,ED,666.0,16.0,4.0,4.0,0.0,0.0,7.0,0.0,60.8,71.6,57.6,59.4,80.3,5.0,22.0,3.0,1.0,1.0,3.0,413.0,236.0,651.0,0.0,647.0,23.0,28.0,2.0,30.0,40492.8,MISSING
00-0027731,23.0,MISSING,81.04727498663136,2010,Bengals,-0.06,25.00%,Roddrick Muckelroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024356,27.0,MISSING,47.750685078100446,2010,Bengals,-0.06,25.00%,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0019635,32.0,MISSING,5.10495108066649,2010,Bengals,-0.06,25.00%,Dhani Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027245,22.0,5811.0,0.0,2010,Bengals,-0.06,25.00%,Vincent Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026725,24.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Dan Skuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027655,22.0,MISSING,271.7966755281675,2010,Bills,-0.19,25.00%,Torell Troup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024241,27.0,MISSING,237.2273204359716,2010,Bills,-0.19,25.00%,John McCargo,ED,19.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,37.8,74.2,55.3,40.5,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,10.0,9.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,718.1999999999999,MISSING
00-0027677,23.0,MISSING,169.08987043874615,2010,Bills,-0.19,25.00%,Alex Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022750,29.0,MISSING,85.1852565968352,2010,Bills,-0.19,25.00%,Dwan Edwards,ED,558.0,11.0,11.0,1.0,0.0,1.0,4.0,0.0,60.2,85.2,64.3,49.2,80.8,3.0,14.0,2.2,1.0,0.0,1.0,257.0,300.0,558.0,1.0,360.0,20.0,33.0,1.0,18.0,33591.6,MISSING
