Unnamed: 0_x,season,team,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year,Team,Net EPA,Win %,Unnamed: 0_y,Player,Cap_Space,year
,,,,,,,,,,,,,,,,,,49ers,,,4586.0,Brian Jennings,0.9502487562189056,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,5568.0,Darius Fleming,0.3575456053067993,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,4141.0,David Akers,2.9988946932006635,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,5496.0,John Matthews,0.3855721393034826,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,6020.0,Kenny Wiggins,0.0803482587064676,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,6025.0,Michael Thomas,0.0803482587064676,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,4251.0,Parys Haralson,2.1144278606965177,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,5954.0,Ricardo Lockette,0.1606965174129353,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,4740.0,Ryan Pontbriand,0.6849087893864013,2012.0
4058.0,2012.0,49ers,Ted Ginn,00-0025396,5.0,2007.0,2007.0,Dolphins,27.0,9.0,0.847,20.6,1350.0,387.01,1843.0,277.3900243186203,2012.0,49ers,0.19,72.20%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,4504.0,Ted Ginn Jr.,1.1401326699834162,2012.0
,,,,,,,,,,,,,,,,,,49ers,,,7885.0,Alex Debniak,0.2343576051779935,2013.0
,,,,,,,,,,,,,,,,,,49ers,,,6297.0,Andy Lee,3.2969255663430417,2013.0
6054.0,2013.0,49ers,B.J. Daniels,00-0030120,0.0,2013.0,2013.0,49ers,23.0,237.0,0.051,0.0,0.0,1.71,121.0,17.39545080763583,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,7898.0,Brandon Carswell,0.233009708737864,2013.0
,,,,,,,,,,,,,,,,,,49ers,,,6996.0,Chris Culliver,0.570161003236246,2013.0
6070.0,2013.0,49ers,Chris Harper,00-0030077,0.0,2013.0,2013.0,Seahawks,23.0,123.0,0.151,4.0,49.0,21.61,466.0,88.38465013198883,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,8102.0,D'Aundre Reed,0.0485436893203883,2013.0
,,,,,,,,,,,,,,,,,,49ers,,,7815.0,Darius Fleming,0.2784789644012945,2013.0
6027.0,2013.0,49ers,Jermaine Cunningham,00-0027661,3.0,2010.0,2010.0,Patriots,25.0,53.0,0.363,9.3,370.0,106.31,909.0,166.12896737855115,2013.0,49ers,0.09,73.70%,,,,
6053.0,2013.0,49ers,John Skelton,00-0027754,3.0,2010.0,2010.0,Cardinals,25.0,155.0,0.114,2.5,29.0,10.6,344.0,45.57931474036618,2013.0,49ers,0.09,73.70%,,,,
6069.0,2013.0,49ers,Jon Baldwin,00-0027964,2.0,2011.0,2011.0,Chiefs,24.0,26.0,0.549,13.9,700.0,222.74,1284.0,289.75010349144213,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,6806.0,Jonathan Baldwin,0.8588268608414239,2013.0
,,,,,,,,,,,,,,,,,,49ers,,,7705.0,Kevin McDermott,0.3290177993527508,2013.0
6074.0,2013.0,49ers,Kyle Williams,00-0027608,3.0,2010.0,2010.0,49ers,25.0,206.0,0.064,0.7,9.0,3.4,194.0,21.881628642767748,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,7892.0,Lawrence Okoye,0.2338187702265372,2013.0
,,,,,,,,,,,,,,,,,,49ers,,,7887.0,Luke Marquardt,0.2343576051779935,2013.0
,,,,,,,,,,,,,,,,,,49ers,,,7514.0,Marcus Lattimore,0.3884676375404531,2013.0
6076.0,2013.0,49ers,Marlon Moore,00-0027356,3.0,2010.0,2010.0,MISSING,25.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2013.0,49ers,0.09,73.70%,,,,
6055.0,2013.0,49ers,McLeod Bethel-Thompson,00-0028359,2.0,2011.0,2011.0,MISSING,25.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,8067.0,Michael Thomas,0.0679611650485436,2013.0
