Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1145.0,1145.0,2010.0,Jaguars,TE,Marcedes Lewis,00-0024243,4.0,2006.0,2006.0,Jaguars,26.0,28.0,0.533,13.4,660.0,209.11,1245.0,228.0424454579345,2010.0,Jaguars,-0.1,50.00%,marcedes lewis,marcedes lewis,marcedes lewis,10,Marcedes Lewis,JAX,TE,7.9,9,67.4,MISSING,0,0,0,7.9,5,39,15,2,63.0,25.8,89.9,73.7,78.8,65.6,301,4,42,24.8,114,459,4,58,71.5,328,27.5,126,111.6,86,10,5.0,23,700,271,4.7,12.1,2.13,114,453,450,2010,40455.0,MISSING,marcedes lewis
1830.0,1830.0,2010.0,Steelers,TE,Heath Miller,00-0023465,5.0,2005.0,2005.0,Steelers,27.0,30.0,0.518,12.9,620.0,196.31,1209.0,162.402930185118,2010.0,Steelers,0.18,73.70%,heath miller,heath miller,heath miller,11,Heath Miller,PIT,TE,9.2,5,64.6,MISSING,0,0,0,1.9,1,31,25,1,88.1,39.6,80.8,69.7,74.9,65.7,345,2,36,19.0,100,525,2,51,78.1,410,19.8,104,89.7,79,3,3.0,16,601,278,5.5,11.8,1.47,100,486,465,2010,37572.0,MISSING,heath miller
1645.0,1645.0,2010.0,Ravens,TE,Todd Heap,00-0020516,9.0,2001.0,2001.0,Ravens,30.0,31.0,0.51,12.7,600.0,190.21,1192.0,47.97965559732606,2010.0,Ravens,0.06,72.20%,todd heap,todd heap,todd heap,12,Todd Heap,BLT,TE,10.0,3,68.8,MISSING,0,0,0,5.4,3,41,3,1,74.5,79.8,78.7,57.1,81.0,43.3,210,2,65,19.6,95,485,5,53,76.1,369,37.1,180,115.2,77,6,8.7,42,750,301,5.7,14.2,2.03,95,343,432,2010,33998.4,MISSING,todd heap
966.0,966.0,2010.0,Eagles,TE,Brent Celek,00-0025549,3.0,2007.0,2007.0,Eagles,25.0,162.0,0.107,2.2,27.0,9.07,321.0,41.91948686696637,2010.0,Eagles,0.01,58.80%,brent celek,brent celek,brent celek,13,Brent Celek,PHI,TE,9.2,9,57.1,MISSING,0,0,0,12.0,6,25,24,0,50.3,79.3,64.5,70.1,59.5,78.5,453,2,65,22.9,132,577,7,44,73.3,423,15.8,91,85.2,77,4,4.0,23,536,252,5.7,12.2,1.27,132,338,567,2010,36571.5,MISSING,brent celek
167.0,167.0,2010.0,Bengals,TE,Jermaine Gresham,00-0027873,0.0,2010.0,2010.0,Bengals,22.0,21.0,0.594,15.2,800.0,260.82,1397.0,391.1615418671963,2010.0,Bengals,-0.06,25.00%,jermaine gresham,jermaine gresham,jermaine gresham,14,Jermaine Gresham,CIN,TE,4.0,11,68.4,MISSING,0,0,1,13.3,8,26,7,2,40.3,25.0,64.6,61.9,59.8,69.1,327,3,27,14.8,70,473,6,52,79.9,378,12.7,60,86.0,76,4,3.0,14,471,381,7.3,9.1,1.25,70,322,401,2010,25904.6,MISSING,jermaine gresham
2015.0,2015.0,2010.0,Vikings,TE,Visanthe Shiancoe,00-0022054,7.0,2003.0,2003.0,Giants,30.0,91.0,0.217,5.9,136.0,43.96,625.0,35.93802218347819,2010.0,Vikings,-0.07,37.50%,visanthe shiancoe,visanthe shiancoe,visanthe shiancoe,15,Visanthe Shiancoe,MIN,TE,9.3,2,62.7,MISSING,0,0,0,7.8,4,21,18,0,64.9,79.3,57.8,65.7,62.1,74.6,320,4,33,7.7,33,429,12,47,86.2,370,14.7,63,70.4,75,2,10.3,44,530,179,3.8,11.3,1.43,33,275,427,2010,24680.6,MISSING,visanthe shiancoe
106.0,106.0,2010.0,Bears,TE,Greg Olsen,00-0025418,3.0,2007.0,2007.0,Bears,25.0,31.0,0.51,12.7,600.0,190.21,1192.0,237.64478988486655,2010.0,Bears,0.02,66.70%,greg olsen,greg olsen,greg olsen,16,Greg Olsen,CHI,TE,10.1,2,64.4,MISSING,0,0,0,6.0,3,27,6,2,65.1,26.2,69.5,67.4,66.5,44.7,249,3,58,15.8,88,557,4,47,79.5,443,35.7,199,97.6,73,6,3.8,21,554,243,5.2,11.8,1.25,88,370,469,2010,32595.5,MISSING,greg olsen
626.0,626.0,2010.0,Chiefs,TE,Tony Moeaki,00-0027695,0.0,2010.0,2010.0,Chiefs,23.0,93.0,0.212,5.7,128.0,42.07,613.0,128.11880507244533,2010.0,Chiefs,0.05,58.80%,tony moeaki,tony moeaki,tony moeaki,17,Tony Moeaki,KC,TE,9.1,2,69.6,MISSING,0,0,1,9.4,5,32,16,0,57.2,79.2,83.0,69.2,74.1,60.0,290,3,34,22.6,109,483,4,48,74.3,359,31.5,152,91.3,69,3,6.0,29,578,223,4.6,12.0,1.61,109,464,471,2010,39093.0,MISSING,tony moeaki
1275.0,1275.0,2010.0,Lions,TE,Tony Scheffler,00-0024276,4.0,2006.0,2006.0,Broncos,27.0,61.0,0.322,8.4,292.0,86.21,835.0,132.50238787867983,2010.0,Lions,-0.01,37.50%,tony scheffler,tony scheffler,tony scheffler,18,Tony Scheffler,DET,TE,7.3,1,68.2,MISSING,0,0,0,6.3,3,24,11,1,77.3,34.9,67.7,58.1,67.6,44.8,139,4,25,3.5,11,310,2,45,92.3,286,43.9,136,62.6,66,1,8.7,27,378,166,3.7,8.4,1.32,11,99,302,2010,20445.4,MISSING,tony scheffler
1075.0,1075.0,2010.0,Giants,TE,Kevin Boss,00-0025540,3.0,2007.0,2007.0,Giants,26.0,153.0,0.117,2.6,30.0,11.08,351.0,46.8653769321336,2010.0,Giants,0.09,62.50%,kevin boss,kevin boss,kevin boss,19,Kevin Boss,NYG,TE,9.1,7,53.0,MISSING,0,0,0,23.9,11,23,21,1,27.2,77.3,70.1,71.0,56.0,78.9,397,2,54,28.2,142,503,2,35,68.2,343,15.7,79,92.4,66,5,3.8,19,531,241,6.9,15.2,1.55,142,407,495,2010,34699.5,MISSING,kevin boss
