player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,weighted_grade,weighted_average_grade
00-0034167,2018,Vikings,0.2841986455981941,22.0,20.004296622613804,0.03,53.30%,Devante Downs,LB,1.0,1.0,0.0,0.0,0.0,18.0,0.0,MISSING,60.0,60.0,MISSING,60.0,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,MISSING
00-0033336,2018,Vikings,0.3150863431151242,23.0,0.0,0.03,53.30%,Eric Wilson,LB,336.0,14.0,3.0,0.0,0.0,18.0,0.0,54.3,62.7,37.1,74.4,69.2,50.5,3.0,1.0,0.0,17.1,6.0,0.0,1.0,2.0,274.0,299.0,31.0,126.0,16.0,26.0,3.0,26.0,6.0,21067.2,MISSING
00-0034815,2019,49ers,0.486548352816153,22.0,156.85018541682646,0.216,79.00%,Fred Warner,LB,985.0,16.0,16.0,1.0,3.0,28.0,0.0,76.4,66.9,46.0,68.6,52.1,47.1,2.0,6.0,1.0,16.0,20.0,7.0,2.0,3.0,903.0,959.0,51.0,370.0,42.0,89.0,3.0,78.0,11.0,65896.5,MISSING
00-0034982,2019,49ers,0.3057539851222104,22.0,66.82543512176075,0.216,79.00%,Dre Greenlaw,LB,725.0,16.0,14.0,0.0,0.0,28.0,0.0,66.1,64.0,59.8,58.3,60.7,84.2,1.0,3.0,1.0,4.7,4.0,1.0,2.0,1.0,562.0,666.0,45.0,274.0,29.0,68.0,2.0,59.0,5.0,46400.0,MISSING
00-0032109,2019,49ers,6.035443676939426,25.0,58.452625701065294,0.216,79.00%,Kwon Alexander,LB,357.0,8.0,9.0,0.0,1.0,28.0,0.0,81.3,61.3,25.4,56.1,37.5,29.9,0.0,2.0,1.0,21.1,8.0,3.0,1.0,1.0,321.0,351.0,19.0,137.0,16.0,21.0,3.0,24.0,3.0,21884.1,MISSING
00-0033973,2019,49ers,0.161279489904357,23.0,15.01961205847217,0.216,79.00%,Elijah Lee,LB,41.0,3.0,2.0,0.0,0.0,28.0,0.0,76.3,74.3,73.9,MISSING,63.7,46.4,0.0,0.0,0.0,16.7,1.0,0.0,0.0,0.0,28.0,38.0,0.0,24.0,2.0,3.0,1.0,4.0,0.0,3046.3,MISSING
00-0031256,2018,Vikings,6.944695259593679,26.0,374.4373674602113,0.03,53.30%,Anthony Barr,LB,810.0,13.0,7.0,0.0,1.0,18.0,0.0,60.6,70.9,42.8,79.7,72.8,81.1,1.0,19.0,0.0,7.1,4.0,0.0,2.0,3.0,646.0,711.0,103.0,333.0,20.0,45.0,5.0,30.0,23.0,57429.00000000001,MISSING
00-0028932,2018,Steelers,0.3978555304740406,28.0,0.0,0.07,60.00%,L.J. Fort,LB,305.0,12.0,6.0,0.0,0.0,25.0,1.0,64.0,72.4,83.7,66.0,76.8,74.1,2.0,8.0,0.0,8.7,4.0,0.0,0.0,1.0,233.0,278.0,56.0,87.0,24.0,36.0,2.0,26.0,11.0,22082.0,MISSING
00-0032366,2018,Steelers,0.3644255079006772,25.0,12.811248756621469,0.07,60.00%,Tyler Matakevich,LB,54.0,3.0,3.0,0.0,0.0,25.0,0.0,69.8,72.6,76.1,55.7,69.0,66.5,0.0,0.0,0.0,12.5,1.0,0.0,0.0,0.0,42.0,48.0,4.0,25.0,1.0,4.0,0.0,4.0,0.0,3920.4,MISSING
00-0030434,2018,Steelers,1.805869074492099,28.0,14.66769431915484,0.07,60.00%,Vince Williams,LB,744.0,14.0,11.0,0.0,0.0,25.0,0.0,55.3,65.0,86.6,80.3,61.9,74.1,6.0,8.0,1.0,8.3,6.0,1.0,0.0,5.0,584.0,664.0,119.0,276.0,33.0,55.0,4.0,44.0,19.0,48360.0,MISSING
