Team,Year,Position,Value_cap_space,Value_draft_data,Current_AV,Current_PFF,Total DVOA,win-loss-pct,Net EPA,snap_counts_defense,weighted_avg_player,weighted_avg_player_id,weighted_avg_player_game_count,weighted_avg_assists,weighted_avg_batted_passes,weighted_avg_declined_penalties,weighted_avg_forced_fumbles,weighted_avg_franchise_id,weighted_avg_fumble_recoveries,weighted_avg_fumble_recovery_touchdowns,weighted_avg_grades_coverage_defense,weighted_avg_grades_defense_penalty,weighted_avg_grades_pass_rush_defense,weighted_avg_grades_run_defense,weighted_avg_grades_tackle,weighted_avg_hits,weighted_avg_hurries,weighted_avg_interception_touchdowns,weighted_avg_interceptions,weighted_avg_missed_tackle_rate,weighted_avg_missed_tackles,weighted_avg_pass_break_ups,weighted_avg_penalties,weighted_avg_qb_rating_against,weighted_avg_receptions,weighted_avg_sacks,weighted_avg_safeties,weighted_avg_snap_counts_box,weighted_avg_snap_counts_corner,weighted_avg_snap_counts_coverage,weighted_avg_snap_counts_dl,weighted_avg_snap_counts_dl_a_gap,weighted_avg_snap_counts_dl_b_gap,weighted_avg_snap_counts_dl_outside_t,weighted_avg_snap_counts_dl_over_t,weighted_avg_snap_counts_fs,weighted_avg_snap_counts_offball,weighted_avg_snap_counts_pass_rush,weighted_avg_snap_counts_run_defense,weighted_avg_snap_counts_slot,weighted_avg_stops,weighted_avg_tackles,weighted_avg_tackles_for_loss,weighted_avg_targets,weighted_avg_total_pressures,weighted_avg_touchdowns,weighted_avg_yards,Previous_AV,Previous_PFF,Previous_player,Previous_player_id,Previous_player_game_count,Previous_assists,Previous_batted_passes,Previous_declined_penalties,Previous_forced_fumbles,Previous_franchise_id,Previous_fumble_recoveries,Previous_fumble_recovery_touchdowns,Previous_grades_coverage_defense,Previous_PFF,Previous_grades_defense_penalty,Previous_grades_pass_rush_defense,Previous_grades_run_defense,Previous_grades_tackle,Previous_hits,Previous_hurries,Previous_interception_touchdowns,Previous_interceptions,Previous_missed_tackle_rate,Previous_missed_tackles,Previous_pass_break_ups,Previous_penalties,Previous_qb_rating_against,Previous_receptions,Previous_sacks,Previous_safeties,Previous_snap_counts_box,Previous_snap_counts_corner,Previous_snap_counts_coverage,Previous_snap_counts_dl,Previous_snap_counts_dl_a_gap,Previous_snap_counts_dl_b_gap,Previous_snap_counts_dl_outside_t,Previous_snap_counts_dl_over_t,Previous_snap_counts_fs,Previous_snap_counts_offball,Previous_snap_counts_pass_rush,Previous_snap_counts_run_defense,Previous_snap_counts_slot,Previous_stops,Previous_tackles,Previous_tackles_for_loss,Previous_targets,Previous_total_pressures,Previous_touchdowns,Previous_yards
Buccaneers,2019,DL,16.780021253985122,387.7875691504766,25.0,71.57661306737228,1.50%,0.4375,0.072,4913,0.0,15466.35334825972,14.54996946875636,7.269489110523102,1.4026053327905557,0.4526765723590474,1.491349480968858,30.0,0.8994504376144922,0.3557907592102585,59.417178913087724,41.07028292285772,68.55686952981885,72.71536739263179,50.772908609810706,8.73905963769591,27.551394260126195,0.0,0.18094850396906167,14.119926725015269,5.022796661917362,0.17789537960512924,5.021778953796051,44.83730917972725,1.633625076328109,6.6979442295949525,0.0,8.31447180948504,0.18094850396906167,19.648687156523508,647.8725829432119,65.01424791369836,185.67697944229596,313.76205984123754,83.41929574598005,0.0,11.957052717280684,434.1093018522288,206.07164665174028,2.7956442092407903,22.648687156523508,22.438225117036435,4.117036433950743,2.457154488092815,42.98839812741706,0.18094850396906167,17.176063504986768,32.0,61.82824482019529,0.0,12468.699691895696,13.928027552556623,3.8541468482650374,0.5311381141837945,0.8212851568334785,0.48716329164130695,30.0,0.21349147538813495,0.0,61.302041982040656,61.82562523341206,48.542234942677695,61.168597900878424,62.860972468042306,48.382431197137244,6.259239867228146,17.32341830792407,0.0,0.0,15.852668772325986,5.447031327645591,0.13683590812658597,4.03312432464665,29.56667011376932,0.31531752742213287,5.451371464534448,0.0,4.701437790007902,0.0,7.495215662937779,593.3019596217283,36.689281187033174,205.04543832227608,289.44011807174724,62.12712204067188,0.0,4.701437790007902,345.4610494863764,245.04713226242205,0.0,19.977748386947543,21.389319959024927,3.562443080857774,0.5539794875827169,29.03402963968666,0.0,1.7704003698585211
Packers,2019,DL,13.16684378320935,528.7973142850892,32.0,70.44638489594509,7.70%,0.8125,0.089,4661,0.0,15881.691697060716,15.602231280841021,8.83694486161768,0.776871915897876,0.2688264320961166,0.6419223342630337,12.0,0.31087749409997856,0.0,53.51960952585282,56.51031967388973,71.46560823857541,65.77599227633556,51.660738039047416,7.429092469427162,30.768075520274618,0.0,0.32332117571336616,13.392748337266683,5.79038832868483,0.0,2.990559965672603,31.48792104698563,3.2435099763999147,7.320961167131518,0.0,18.47693627976829,0.5599656726024458,36.84488307230209,645.4263033683759,68.78051920188801,168.07530572838448,344.3883286848316,64.18214975327183,0.0,20.70864621325896,369.09354215833514,260.19652435099766,1.6717442608882214,25.53743831795752,27.989487234499034,2.7234499034541946,4.407208753486376,45.5181291568333,0.1413859686762497,31.125080454838017,27.0,70.35909560189964,0.0,11116.51671505157,13.965324761580431,5.926422815336766,1.4174171914287048,0.16403914441017128,0.570181967028266,12.0,0.4942597888078414,0.0,60.985803969890995,69.4606135001958,66.30759276258765,66.39682319322374,67.8743747344731,52.57736005737604,3.5150101761225954,17.23826032601343,0.0,0.0,12.42458135504773,4.906783570729253,0.0,1.9917670291256144,63.42324163252392,2.983045016859816,4.399642366942053,0.0,11.51752536260636,0.5231417909481649,44.83967018432892,538.2625088990734,50.587391377939255,140.97358575514792,311.39594087615694,35.30559088982927,0.0,16.48803737358844,278.17168991403423,231.73918617429868,3.6199062933990422,23.58101112275474,25.969524749948885,2.2108436012796084,3.7489167688091873,25.152912869078076,0.0,31.512616277190965
Giants,2019,DL,4.659936238044633,643.5651124049159,24.0,69.50867040033188,-17.50%,0.25,-0.137,4821,0.0,27341.49325866003,15.459655673096865,12.157643642397844,0.8531425015556938,0.4013690105787181,0.4187927815805849,21.0,0.1900020742584526,0.1900020742584526,62.54260526861648,63.25882596971582,62.410226094171335,70.87023439120513,56.8056627255756,9.013897531632441,21.01265297656088,0.0,0.0,10.824019912881145,5.002903961833645,0.14996888612321094,2.8054345571458206,54.75695913710848,1.4200373366521466,5.0344326903132135,0.0,10.90976975731176,0.1900020742584526,19.892138560464634,659.548226509023,80.79838207840697,194.40448039825762,330.7203899605891,53.624974071769344,0.0,13.908525202240199,378.8224434764572,274.7421696743414,2.8087533706699856,24.392034847542003,26.9105994606928,3.8290811035054966,1.8241028832192492,35.060983198506534,0.0,15.907280647168637,15.0,69.16974143955277,0.0,20768.72996390397,14.369553564420231,8.016850734362025,1.2628233680830288,0.2844215581424847,0.34190273910087327,21.0,0.12609355744316816,0.0,60.03875993196029,69.40780187020911,49.214896649621764,63.64566814896019,68.7733771532149,65.25140240851523,3.935276128081934,15.61080257020352,0.0,0.0,6.443798528248587,2.235924325674517,0.0838095524659855,3.1962789169446473,54.9299655322959,1.4198755901751337,3.099055532186789,0.0,3.6234316685144066,0.11566476697794376,11.065123659610075,502.63387826050086,49.77678558191748,197.46814781476783,213.51079523444074,41.87814962937478,0.0,4.697786700804617,284.0846836651976,212.1818576364978,0.874880712846283,20.107135654735824,23.819335059122302,3.2861855146602075,1.5584836961765711,22.645134230472244,0.0,14.043065575600659
Commanders,2019,DL,6.785334750265674,498.6115337588118,21.0,63.84854349154614,-25.70%,0.1875,-0.213,4909,0.0,21317.320635567325,14.49297209207578,8.57221430026482,1.0741495212874312,0.5060093705438989,0.9547769403137095,32.0,0.4257486249745366,0.0,53.69486657160317,58.48932572825424,65.3686494194337,62.14231004277857,58.578590344265635,4.418822570788348,20.93440619270727,0.0,0.0,10.712548380525565,4.510898349969444,0.1138724791199837,3.0393155428804235,73.20753717661438,3.7288653493583213,5.611529843145243,0.0,10.945406396414748,0.1138724791199837,27.26054186188633,625.9476471786514,74.5237319209615,145.21307801996332,258.58362191892445,147.62721531880223,0.0,18.3075982888572,329.53208392748013,287.4626196781422,7.248319413322469,26.2664493786922,31.081482990425748,2.3281727439397026,4.5125280097779585,30.964758606640864,0.5862701161132613,38.03931554288042,19.0,71.15602094240838,0.0,18264.272292438927,14.994370707713141,8.890057117786682,0.9743586940519235,0.0,0.853754367931494,32.0,0.6916931516678358,0.17621780229972736,67.91103461861985,70.86194686995844,73.76484106109831,65.04017050837714,66.95923761277021,70.88006600126886,5.396792162309419,24.84207770580362,0.0,0.17621780229972736,7.784630017356847,2.881738450599353,0.0,1.3134509393310108,26.750454007619528,2.541001547309978,6.9121264240939855,0.0,4.175867176107793,0.5685876570606311,18.112628731497093,651.382030203886,67.79043030466316,180.28344386665964,299.2707115896878,104.03744444287543,0.0,9.49667172323522,385.36568678384015,257.4003864117839,4.129708568283179,24.50032118857417,27.416626983555528,2.679958082211788,3.4558973314320633,37.150996292207026,0.0,14.680591011732682
Patriots,2019,DL,5.324123273113709,183.0554489205968,52.0,72.10298837852795,29.90%,0.75,0.227,3614,0.0,12870.70337576093,15.431654676258994,9.37797454344217,1.5976757055893747,0.06336469286109572,1.0819037078029883,19.0,0.740453790813503,0.22523519645821802,68.28489208633094,66.36001660210293,66.10619811842832,71.23176535694522,64.06278361925844,4.298837852794687,20.462091864969562,0.0,0.27808522412838954,10.651051466519094,3.31737686773658,0.13309352517985606,1.5711123408965135,47.819424460431655,1.8707802988378528,4.692030990592142,0.0,16.28666297731046,0.7562257885998893,25.677365799667957,483.8317653569452,76.18179302711677,79.0863309352518,275.54178195904814,53.0218594355285,0.0,26.682899833978972,291.23851687880466,193.59878251245158,9.640011068068622,21.69037078029884,27.28666297731046,1.5733259546209186,2.7531820697288323,29.452960708356393,0.35832872163807417,20.87216380741561,39.0,71.4875274122807,0.0,10069.95189738965,14.029532949676046,7.319931788037435,0.6200376091207935,0.3399362041019274,0.9620827429184271,19.0,0.11527281338035832,0.0,65.1755460251986,71.55193307999068,74.40541277305664,64.11493840416541,71.50650525055245,64.65136786217327,6.379174199723537,18.998333781330413,0.0,0.0,7.920448441232494,1.7146764097965215,0.0,1.0033670572383573,40.11153674795423,0.39401032083353227,3.3846883406003436,0.0,3.4651762385670044,0.30690714901721733,7.1265304503756655,439.9808256736804,63.46061324357763,150.3908131732443,182.96045209186101,43.168947164997455,0.0,5.770744975980406,283.72285375601075,154.9021864432743,1.6496989990982613,18.33419357902221,21.853346321894865,1.9526605029911284,0.39401032083353227,28.762196321654294,0.0,4.79681259287767
Vikings,2019,DL,19.798087141339003,86.38374542143808,43.0,70.2590314436539,15.40%,0.625,0.123,4357,0.0,10792.742712875832,14.644250631168235,7.902226302501721,0.29400963966031674,0.21666284140463618,0.9501950883635529,18.0,0.5276566444801469,0.0844617856323158,65.03355519853109,67.09368831764975,67.53139775074592,63.86986458572412,60.158113380766586,6.737204498508148,26.224236860224927,0.0,0.1948588478310764,10.543057149414736,3.6639889832453525,0.3509295386733991,2.526279550149185,10.152145971999081,0.1948588478310764,6.7163185678218955,0.0,2.0362634840486575,0.0,6.761303649299976,605.9352765664448,70.59398668808814,128.16639889832453,343.87743860454447,63.29745237548772,0.0,2.8875372963047967,381.11774156529725,220.9437686481524,0.0,20.951572182694516,23.062198760615104,2.0828551755795273,0.1948588478310764,39.67775992655497,0.0,1.1691530869864586,52.0,69.12968189428366,0.0,9165.477944718918,14.435299038735973,8.191761373632794,0.16132473106804193,0.16132473106804193,0.3330342374662949,18.0,0.532277893806992,0.37813526731373415,62.05987507440183,69.50776793800875,63.16785005501143,63.77118856701344,68.19736578239493,64.58380072044675,4.862978982245765,24.63545807895234,0.0,0.0,8.611092635212744,3.9557011489016656,0.0,2.591672048452314,48.75503626271863,0.6452989242721678,6.526011220427808,0.0,1.46180156563379,0.0,7.13725591497548,622.1319764707764,67.48736395791815,152.40224159744707,362.50987781520774,39.73249310020343,0.0,2.0372365528587326,363.1411802232855,253.89077688537415,0.0,26.00426770397947,30.403392311723547,3.7768687293803564,0.9511264913738066,36.02444828162591,0.0,9.159935499412104
Broncos,2019,DL,16.7375132837407,568.5788367968329,29.0,69.04712176332121,-9.00%,0.4375,-0.053,4673,0.0,19442.159426492617,12.671303231328912,7.493901134175048,1.605820671945217,0.17825807832227689,0.29788144660817456,10.0,0.16905628076182325,0.0,58.42493045153007,52.12249090520008,62.78384335544619,71.71155574577361,55.323218489193245,3.493045153006634,19.148726728011983,0.0,0.06056066766531135,12.097838647549754,3.657179542050075,0.10014979670447247,2.7902846137384976,62.126984806334264,1.6710892360368073,4.317783008773807,0.0,2.7778728867964904,0.24716456237962764,18.012839717526216,461.36186603894714,38.84891932377487,141.45645195805693,240.81960196875664,40.23689278835866,0.0,11.714744275625936,258.9340894500321,196.12968114701476,8.321848919323775,18.671731221913117,21.014123689278836,2.81617804408303,2.132463085812112,26.95955488979243,0.11384549539910122,18.63000213995292,27.0,74.80964730290457,0.0,14904.433309233204,15.38086571456278,8.619528026191643,2.1748798158981018,0.15044824969963513,1.2940161771273981,10.0,0.947188544551483,0.0,63.673988893999514,74.79170615486926,53.32217813724048,68.92342417881768,74.09331361215213,58.22398107169741,5.288987871339162,19.344351072873756,0.0,0.4041973012966197,10.14194476534924,4.176385702482982,0.05588560649549304,3.6087959926030053,51.914164714478574,2.65152904731334,6.3327014968912305,0.0,7.860046665166441,1.1930362082298738,19.563816174555054,591.2999425213529,52.997408996657256,158.55105278986045,325.36602724101283,54.38545349382243,0.0,11.87315231197764,341.75995597721806,241.84932268155745,2.3113557903842517,24.358130124617603,26.10631315524183,2.960066272912632,3.2759899546760236,30.96604044110415,0.22678217128605882,35.45172292629315
Falcons,2019,DL,19.218916046758768,390.5249964871011,41.0,68.60832380516808,-5.00%,0.4375,-0.03,4373,0.0,12642.834209924536,14.914932540589987,7.121426938028815,0.29453464440887256,0.8765149782757832,0.9579236222273039,2.0,0.12805854104733594,0.0,60.13039103590213,59.5302080951292,67.64404299108165,65.23533043677111,51.04287674365424,4.537388520466499,19.645780928424422,0.0,0.0,14.770981019894808,5.546306883146581,0.3702263892064944,2.8470157786416648,59.17253601646467,1.5316716213126,4.297964783901212,0.0,6.772238737708666,0.17310770638005946,20.723530756917448,567.907614909673,58.07294763320375,176.39629544934826,247.2330208095129,86.20535101760805,0.17310770638005946,7.878115710038875,324.5378458723988,230.5243539903956,0.6940315572833295,21.454379144751886,24.84998856620169,3.737937342785273,1.804939400868969,28.481134232792133,0.17470843814315115,13.884975989023554,33.0,64.48072727272728,0.0,12141.14029759425,14.525566813891565,8.025853046795625,0.3868615556914862,0.6447692594858104,0.6827767292028412,2.0,0.12895385189716208,0.12895385189716208,51.866579133537115,65.67163335167062,59.31784202282158,65.8660501458085,65.43209067607837,47.067723493954546,4.593150366617999,20.43774129327301,0.0,0.15603781922219223,17.732277743600697,5.267788826578029,0.0,2.900508731422402,44.72198572620242,1.4394335946811425,4.656959903054449,0.0,4.246924260461223,0.3868615556914862,11.423732743287491,536.811378365544,57.621258595633314,173.6262996837379,233.61280647562901,71.95101361054373,0.0,5.297048130811782,339.10678955533706,191.57790419773124,0.08652031943527538,16.32330917187673,16.9948730518336,2.112661239268406,1.6549077660135798,29.687851562945458,0.0841322851408835,15.496689316091867
Bengals,2019,DL,15.22316684378321,109.92381844206696,39.0,71.25951695103036,-25.20%,0.125,-0.193,4513,0.0,19772.44360735653,14.472856193219588,11.326612009749612,1.0325725681364946,0.35364502548194104,0.6193219587857302,7.0,0.0,0.0,53.051318413472195,69.47117216928872,66.51526700642589,72.56102370928429,56.14710835364503,6.563704852647906,23.89674274318635,0.0,0.0,10.143385774429426,4.520939508087746,0.0,1.958785730113007,52.556569909151335,2.9789497008641703,5.039220031021492,0.0,6.569244405052072,0.1887879459339685,23.79370706846887,631.7203633946377,69.60558386882339,220.97119432749835,303.56215377797474,37.58143142034124,0.0,9.113450033237314,326.4407267892754,290.59937957013074,2.3554176822512742,24.797917128296035,29.632616884555727,3.7117216928872145,3.2690006647462884,35.49966762685575,0.0,33.96210946155551,29.0,70.71383373336242,0.0,12985.222513842258,13.987548547922485,6.391914782768981,1.6257834233557154,0.6265777406997277,0.4321452533384721,7.0,0.4321452533384721,0.10042533792129173,55.2522870582323,71.14736393808097,65.4766063473342,66.9397896531311,69.49392483182135,51.024033783844644,6.127483000503048,21.11335856636826,0.09232014332528199,0.09232014332528199,13.322539307647407,4.5271909219924025,0.0,2.25848798735647,31.715073492163995,0.5961338390464227,4.599264940688081,0.0,2.302283962400037,0.0,5.3655880995410845,567.8196801310395,69.33460049312724,206.9139760988474,253.52623941904918,38.044864120015575,0.2008506758425835,3.1725050992691832,332.730717208473,232.8958799222945,0.6693704610265628,19.52137729572409,21.913403279663232,3.2368857020549036,0.6965591769677144,31.840106507559383,0.0,5.03183759524729
Colts,2019,DL,19.059511158342183,208.00613963520144,32.0,65.73174447174448,-5.00%,0.4375,0.009,4070,0.0,12455.011793611793,14.432923832923835,5.864373464373465,0.5255528255528256,0.0,0.6889434889434889,14.0,0.4968058968058968,0.0,63.500098280098285,76.44621621621621,63.09820638820639,61.051056511056515,46.50923832923832,4.625061425061425,20.655528255528257,0.0,0.0,15.085233415233418,3.63980343980344,0.1398034398034398,0.8488943488943489,73.62461916461915,0.957985257985258,4.188452088452088,0.1398034398034398,0.7882063882063882,0.8872235872235872,8.558722358722358,520.7366093366094,17.81056511056511,169.58771498771497,248.55970515970515,84.77862407862408,0.0,2.1257985257985257,326.9289926289926,187.37469287469287,0.0,17.457493857493862,16.805896805896804,2.3371007371007373,1.0977886977886977,29.469041769041777,0.0,9.614496314496314,30.0,67.51518135959645,0.0,14293.403044595363,13.487551679189398,5.144633201972661,1.2842500162447286,0.570536993613874,0.47724865327734584,14.0,0.374521485252205,0.0,59.93894636604906,67.24893028275685,50.38962524072689,62.1681196342457,70.46453597171198,56.807350505012884,4.293798312851197,20.388748485424614,0.0,0.0,11.683658461009939,3.1465202132916423,0.0,3.603005871472978,43.841016890725065,1.1050740083952941,3.8776133909893074,0.0,0.2575250973394825,0.0,10.228854450341403,526.8556259151359,30.130376545432426,128.40166646456808,298.46975491502127,69.85382799011403,0.0,0.9203224998272188,319.37211772417,198.17497624045166,0.0,17.5765640998375,18.650229864332157,5.2524240285532935,1.1050740083952941,28.560160189265115,0.0,8.939585062044644
