player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0033909,2017,Vikings,0.418688622754491,23.0,173.34626341744968,0.15,77.80%,Pat Elflein,C,100.0,2.0,18.0,66.6,67.6,64.3,7.0,15.0,556.0,100.0,100.0,97.3,3.0,26.0,4.0,1081.0,1081.0,0.0,0.0,1081.0,600.0,600.0,0.0,0.0,481.0,0.0,71994.59999999999,MISSING
00-0034142,2022,Steelers,0.4298751200768492,26.0,0.0,-0.009,52.90%,J.C. Hassenauer,C,100.0,0.0,25.0,64.0,56.7,66.2,0.0,1.0,34.0,100.0,100.0,98.5,1.0,1.0,0.0,46.0,46.0,0.0,0.0,46.0,35.0,35.0,0.0,0.0,11.0,0.0,2944.0,MISSING
00-0027870,2017,Steelers,6.617365269461079,28.0,114.75245535921876,0.09,76.50%,Maurkice Pouncey,C,100.0,2.0,25.0,72.8,82.3,68.6,4.0,17.0,650.0,100.0,100.0,98.2,6.0,22.0,1.0,1114.0,1114.0,0.0,0.0,1114.0,697.0,697.0,0.0,0.0,417.0,0.0,81099.2,63.10000000000001
00-0030869,2017,Panthers,0.3233532934131736,26.0,0.0,0.03,64.70%,Tyler Larsen,C,100.0,0.0,5.0,67.2,70.0,63.2,3.0,14.0,396.0,100.0,100.0,97.1,0.0,20.0,3.0,720.0,719.0,0.0,0.0,720.0,425.0,425.0,0.0,0.0,295.0,1.0,48384.0,MISSING
00-0025446,2017,Panthers,4.837724550898203,32.0,22.59437270074448,0.03,64.70%,Ryan Kalil,C,100.0,0.0,5.0,56.7,59.4,53.3,2.0,6.0,213.0,100.0,100.0,96.7,0.0,11.0,3.0,412.0,412.0,0.0,0.0,412.0,223.0,223.0,0.0,0.0,189.0,0.0,23360.4,MISSING
00-0031019,2017,Packers,2.305209580838324,26.0,42.22782389555671,-0.06,43.80%,Corey Linsley,C,100.0,3.0,12.0,67.7,73.6,63.7,3.0,21.0,651.0,100.0,100.0,97.8,5.0,26.0,2.0,1047.0,1047.0,0.0,0.0,1047.0,699.0,699.0,0.0,0.0,348.0,0.0,70881.90000000001,MISSING
00-0032911,2017,Chargers,0.3237520958083832,24.0,0.0,0.15,56.30%,Spencer Pulley,C,100.0,1.0,27.0,53.6,52.8,53.0,9.0,28.0,600.0,100.0,100.0,96.7,2.0,38.0,1.0,1054.0,1054.0,0.0,0.0,1054.0,640.0,640.0,0.0,0.0,414.0,0.0,56494.4,MISSING
00-0031936,2017,Chiefs,0.7631586826347305,25.0,0.0,0.08,58.80%,Mitch Morse,C,100.0,0.0,16.0,61.9,70.4,57.9,0.0,7.0,245.0,100.0,100.0,98.6,1.0,7.0,0.0,383.0,383.0,0.0,0.0,383.0,255.0,255.0,0.0,0.0,128.0,0.0,23707.7,MISSING
00-0032383,2017,Colts,1.4222892215568863,24.0,0.0,-0.18,25.00%,Ryan Kelly,C,100.0,0.0,14.0,60.4,50.2,62.7,2.0,9.0,230.0,100.0,100.0,97.6,0.0,11.0,0.0,394.0,394.0,0.0,0.0,394.0,244.0,244.0,0.0,0.0,150.0,0.0,23797.6,MISSING
00-0031936,2023,Bills,5.080071174377224,31.0,48.184205142629445,0.19,63.20%,Mitch Morse,C,100.0,1.0,4.0,63.9,72.5,61.5,2.0,27.0,728.0,100.0,100.0,97.9,5.0,30.0,1.0,1272.0,1272.0,0.0,0.0,1272.0,773.0,773.0,0.0,0.0,499.0,0.0,81280.8,56.520484010371646
00-0033529,2017,Commanders,0.300474251497006,24.0,33.15690244709837,-0.03,43.80%,Chase Roullier,C,100.0,0.0,32.0,64.4,70.6,59.1,2.0,4.0,289.0,100.0,100.0,99.0,0.0,6.0,0.0,457.0,434.0,0.0,0.0,457.0,297.0,297.0,23.0,0.0,160.0,0.0,29430.800000000003,MISSING
00-0032445,2023,Bengals,2.478021352313167,30.0,6.092390700250776,-0.04,52.90%,Ted Karras,C,100.0,0.0,7.0,67.4,69.6,64.2,3.0,12.0,689.0,100.0,100.0,98.0,1.0,21.0,6.0,1075.0,1075.0,0.0,0.0,1075.0,725.0,725.0,0.0,0.0,350.0,0.0,72455.0,MISSING
00-0031047,2017,Commanders,1.1679341317365268,26.0,0.0,-0.03,43.80%,Spencer Long,C,100.0,0.0,32.0,61.2,75.0,54.3,2.0,2.0,223.0,100.0,100.0,98.7,0.0,5.0,1.0,397.0,397.0,0.0,0.0,397.0,234.0,234.0,0.0,0.0,163.0,0.0,24296.4,MISSING
00-0030546,2017,Cowboys,2.71317365269461,26.0,215.0298980891208,0.0,56.30%,Travis Frederick,C,100.0,0.0,9.0,86.2,82.6,84.7,3.0,9.0,555.0,100.0,100.0,98.9,4.0,12.0,0.0,1065.0,1065.0,0.0,0.0,1065.0,609.0,609.0,0.0,0.0,456.0,0.0,91803.0,MISSING
00-0027953,2017,Dolphins,5.374251497005988,28.0,168.3026735871218,-0.15,37.50%,Mike Pouncey,C,100.0,1.0,17.0,62.1,77.0,58.7,3.0,8.0,608.0,100.0,100.0,98.9,11.0,12.0,1.0,971.0,971.0,0.0,0.0,971.0,637.0,637.0,0.0,0.0,334.0,0.0,60299.1,MISSING
00-0037088,2023,Bears,0.0427046263345195,25.0,25.91049873828526,0.0,41.20%,Doug Kramer,C,100.0,0.0,6.0,60.0,MISSING,60.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,120.0,MISSING
00-0028129,2017,Eagles,3.7125748502994016,29.0,13.999541079546468,0.16,84.20%,Jason Kelce,C,100.0,0.0,24.0,94.1,75.3,94.8,5.0,15.0,719.0,100.0,100.0,98.3,6.0,22.0,2.0,1281.0,1281.0,0.0,0.0,1281.0,765.0,765.0,0.0,0.0,516.0,0.0,120542.1,70.9
00-0032701,2023,49ers,1.0106761565836295,30.0,0.0,0.26,70.00%,Jake Brendel,C,100.0,0.0,28.0,66.3,45.3,72.6,5.0,26.0,657.0,100.0,100.0,97.3,1.0,33.0,2.0,1229.0,1229.0,0.0,0.0,1229.0,694.0,694.0,0.0,0.0,535.0,0.0,81482.7,88.8
00-0026997,2017,Falcons,4.970059880239521,31.0,78.97415327640756,0.06,61.10%,Alex Mack,C,100.0,1.0,2.0,91.5,81.8,90.8,1.0,12.0,642.0,100.0,100.0,98.7,2.0,15.0,2.0,1158.0,1158.0,0.0,0.0,1158.0,675.0,675.0,0.0,0.0,483.0,0.0,105957.0,86.2
00-0031489,2017,Giants,0.3682634730538922,26.0,0.0,-0.14,18.80%,Brett Jones,C,100.0,0.0,21.0,70.2,82.1,62.3,1.0,7.0,571.0,100.0,100.0,98.9,2.0,10.0,2.0,966.0,842.0,124.0,0.0,966.0,605.0,605.0,0.0,0.0,361.0,0.0,67813.2,MISSING
00-0031238,2017,Giants,0.929271856287425,26.0,0.0,-0.14,18.80%,Weston Richburg,C,100.0,0.0,21.0,72.7,74.6,73.8,2.0,1.0,162.0,100.0,100.0,99.1,1.0,3.0,0.0,241.0,241.0,0.0,0.0,241.0,173.0,173.0,0.0,0.0,68.0,0.0,17520.7,MISSING
00-0031369,2017,Jaguars,6.629281437125749,25.0,94.9127452096368,0.2,63.20%,Brandon Linder,C,99.9,0.0,15.0,82.7,82.7,80.7,3.0,7.0,580.0,100.0,99.8,99.1,3.0,10.0,0.0,1118.0,1038.0,0.0,0.0,1119.0,613.0,614.0,80.0,0.0,505.0,0.0,92541.3,72.3
00-0031314,2017,Jets,1.644311377245509,26.0,36.37272686665966,-0.09,31.30%,Wesley Johnson,C,100.0,0.0,22.0,51.7,53.7,52.6,6.0,15.0,519.0,100.0,100.0,97.6,5.0,23.0,2.0,938.0,938.0,0.0,0.0,938.0,556.0,556.0,0.0,0.0,382.0,0.0,48494.600000000006,MISSING
00-0030649,2017,Jets,0.497754491017964,26.0,0.0,-0.09,31.30%,Jonotthan Harrison,C,100.0,0.0,22.0,37.2,20.6,45.6,0.0,7.0,58.0,100.0,100.0,94.0,0.0,7.0,0.0,102.0,97.0,0.0,0.0,102.0,61.0,61.0,0.0,0.0,41.0,5.0,3794.4,MISSING
00-0031284,2017,Lions,1.168783233532934,26.0,118.4702457722259,0.02,56.30%,Travis Swanson,C,100.0,0.0,11.0,58.3,67.5,53.2,1.0,14.0,425.0,100.0,100.0,98.2,3.0,15.0,0.0,710.0,709.0,0.0,0.0,710.0,455.0,455.0,0.0,0.0,255.0,0.0,41393.0,MISSING
00-0034785,2022,Steelers,1.227985590778098,26.0,81.86853286740421,-0.009,52.90%,Mason Cole,C,100.0,1.0,25.0,67.1,63.8,66.5,4.0,15.0,605.0,100.0,100.0,98.1,1.0,21.0,2.0,1114.0,1114.0,0.0,0.0,1114.0,651.0,651.0,0.0,0.0,463.0,0.0,74749.4,74.7
00-0032192,2017,Cardinals,0.2454712574850299,25.0,0.0,-0.06,50.00%,Daniel Munyer,C,100.0,0.0,1.0,63.0,68.3,MISSING,0.0,1.0,8.0,100.0,100.0,93.7,0.0,1.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,630.0,MISSING
00-0031238,2018,49ers,5.3809255079006775,27.0,175.9788377699521,-0.09,25.00%,Weston Richburg,C,100.0,0.0,28.0,56.6,61.6,56.7,6.0,23.0,548.0,100.0,100.0,96.6,6.0,33.0,4.0,968.0,968.0,0.0,0.0,968.0,593.0,593.0,0.0,0.0,375.0,0.0,54788.8,MISSING
00-0032768,2018,Bears,0.6501997742663657,26.0,175.3359632923575,0.17,70.60%,Cody Whitehair,C,100.0,1.0,6.0,75.2,77.2,71.6,0.0,11.0,585.0,100.0,100.0,99.1,3.0,11.0,0.0,1075.0,1075.0,0.0,0.0,1075.0,635.0,635.0,0.0,0.0,440.0,0.0,80840.0,54.69871677360219
00-0031284,2018,Dolphins,0.4514672686230248,27.0,107.19631129862644,-0.15,43.80%,Travis Swanson,C,100.0,0.0,17.0,65.8,52.1,69.3,2.0,22.0,378.0,100.0,100.0,95.8,0.0,28.0,4.0,644.0,644.0,0.0,0.0,644.0,400.0,400.0,0.0,0.0,244.0,0.0,42375.2,MISSING
00-0031852,2022,Patriots,2.2934678194044187,30.0,0.0,0.038,47.10%,David Andrews,C,100.0,4.0,19.0,74.5,65.0,76.9,1.0,10.0,449.0,100.0,100.0,98.3,6.0,13.0,2.0,799.0,799.0,0.0,0.0,799.0,485.0,485.0,0.0,0.0,314.0,0.0,59525.5,MISSING
00-0028101,2018,Dolphins,2.8216704288939054,30.0,0.0,-0.15,43.80%,Daniel Kilgore,C,100.0,0.0,17.0,54.7,56.9,52.9,1.0,3.0,95.0,100.0,100.0,97.9,2.0,4.0,0.0,182.0,182.0,0.0,0.0,182.0,107.0,107.0,0.0,0.0,75.0,0.0,9955.4,MISSING
00-0032701,2018,Dolphins,0.355530474040632,25.0,0.0,-0.15,43.80%,Jake Brendel,C,100.0,1.0,17.0,58.8,77.4,54.6,1.0,1.0,96.0,100.0,100.0,99.0,2.0,2.0,0.0,176.0,94.0,82.0,0.0,176.0,104.0,104.0,0.0,0.0,72.0,0.0,10348.8,MISSING
00-0028129,2018,Eagles,4.063205417607223,30.0,10.371115112910234,0.01,55.60%,Jason Kelce,C,100.0,0.0,24.0,88.8,87.7,88.2,2.0,8.0,617.0,100.0,100.0,99.2,6.0,10.0,0.0,1037.0,1037.0,0.0,0.0,1037.0,657.0,657.0,0.0,0.0,380.0,0.0,92085.6,MISSING
00-0026997,2018,Falcons,6.235891647855531,32.0,58.5054917100735,-0.03,43.80%,Alex Mack,C,100.0,0.0,2.0,80.0,79.6,80.2,4.0,7.0,676.0,100.0,100.0,98.7,3.0,14.0,3.0,1057.0,1057.0,0.0,0.0,1057.0,715.0,715.0,0.0,0.0,342.0,0.0,84560.0,MISSING
00-0026205,2018,Giants,0.4063205417607223,33.0,20.61002518041249,-0.04,31.30%,John Greco,C,100.0,0.0,21.0,60.6,54.0,65.7,2.0,12.0,330.0,100.0,100.0,97.0,4.0,17.0,3.0,488.0,354.0,0.0,0.0,488.0,343.0,343.0,134.0,0.0,145.0,0.0,29572.8,MISSING
00-0032911,2018,Giants,0.355530474040632,25.0,0.0,-0.04,31.30%,Spencer Pulley,C,99.8,0.0,21.0,58.3,70.2,52.6,3.0,7.0,330.0,99.7,99.7,97.9,1.0,12.0,2.0,566.0,557.0,0.0,0.0,567.0,345.0,346.0,0.0,0.0,221.0,10.0,33056.1,MISSING
00-0031039,2022,Patriots,0.4298751200768492,33.0,0.0,0.038,47.10%,James Ferentz,C,100.0,0.0,19.0,53.4,74.5,43.8,0.0,2.0,161.0,100.0,100.0,98.1,1.0,4.0,2.0,268.0,251.0,8.0,0.0,268.0,165.0,165.0,6.0,0.0,103.0,3.0,14311.2,MISSING
00-0031185,2018,Giants,0.3132054176072235,27.0,0.0,-0.04,31.30%,Jon Halapio,C,100.0,0.0,21.0,76.4,87.5,70.3,0.0,0.0,71.0,100.0,100.0,100.0,0.0,0.0,0.0,116.0,116.0,0.0,0.0,116.0,78.0,78.0,0.0,0.0,38.0,0.0,8862.400000000001,MISSING
00-0031047,2018,Jets,3.9150677200902937,27.0,104.71838159031286,-0.15,25.00%,Spencer Long,C,100.0,1.0,22.0,47.1,43.7,48.2,3.0,20.0,460.0,100.0,100.0,96.6,5.0,27.0,4.0,805.0,496.0,309.0,0.0,805.0,480.0,480.0,0.0,0.0,325.0,0.0,37915.5,MISSING
00-0030649,2018,Jets,0.4063205417607223,27.0,0.0,-0.15,25.00%,Jonotthan Harrison,C,100.0,1.0,22.0,56.7,63.6,59.0,2.0,11.0,312.0,100.0,100.0,97.9,5.0,13.0,0.0,506.0,505.0,0.0,0.0,506.0,321.0,321.0,0.0,0.0,185.0,0.0,28690.2,MISSING
00-0032395,2018,Lions,0.4570287810383747,26.0,102.36676282221002,-0.06,37.50%,Graham Glasgow,C,100.0,6.0,11.0,71.1,73.8,70.4,5.0,15.0,628.0,100.0,100.0,98.2,9.0,21.0,1.0,1076.0,1074.0,0.0,0.0,1076.0,673.0,673.0,0.0,0.0,403.0,0.0,76503.59999999999,81.9
00-0031019,2018,Packers,2.737020316027088,27.0,38.20931514293273,0.0,40.00%,Corey Linsley,C,100.0,1.0,12.0,78.6,85.0,72.5,2.0,12.0,728.0,100.0,100.0,98.5,1.0,18.0,4.0,1074.0,1074.0,0.0,0.0,1074.0,774.0,774.0,0.0,0.0,300.0,0.0,84416.4,64.5
00-0025446,2018,Panthers,7.070541760722347,33.0,16.738322981585103,0.01,43.80%,Ryan Kalil,C,100.0,0.0,5.0,66.6,63.2,65.4,4.0,23.0,611.0,100.0,100.0,97.5,2.0,29.0,2.0,1028.0,1028.0,0.0,0.0,1028.0,651.0,651.0,0.0,0.0,377.0,0.0,68464.79999999999,MISSING
00-0031852,2018,Patriots,1.3544018058690743,26.0,0.0,0.11,73.70%,David Andrews,C,100.0,0.0,19.0,73.3,79.9,69.9,3.0,11.0,597.0,100.0,100.0,98.5,4.0,16.0,2.0,1104.0,1103.0,1.0,0.0,1104.0,628.0,628.0,0.0,0.0,476.0,0.0,80923.2,71.04285714285714
00-0031039,2018,Patriots,0.1882229119638826,29.0,0.0,0.11,73.70%,James Ferentz,C,100.0,0.0,19.0,59.9,66.0,59.4,0.0,0.0,1.0,100.0,100.0,100.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,479.2,MISSING
00-0030486,2018,Patriots,0.355530474040632,27.0,0.0,0.11,73.70%,Brian Schwenke,C,100.0,0.0,19.0,60.0,MISSING,60.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,240.0,MISSING
00-0031369,2018,Jaguars,5.237725733634312,26.0,0.0,-0.1,31.30%,Brandon Linder,C,100.0,0.0,15.0,79.6,83.9,74.3,3.0,3.0,357.0,100.0,100.0,98.9,0.0,7.0,1.0,507.0,507.0,0.0,0.0,507.0,364.0,364.0,0.0,0.0,143.0,0.0,40357.2,MISSING
