team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year,weighted_grade,weighted_average_grade,merge_player_y
Vikings,00-0009323,15.721675176195616,Vikings,-0.1,18.80%,Jim Kleinsasser,TE,2.4922118380062304,2011.0,jim kleinsasser,jim kleinsasser,jim kleinsasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027761,46.32819778602527,Bears,0.09,62.50%,Brody Eldridge,TE,0.4477611940298507,2012.0,brody eldridge,brody eldridge,brody eldridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0027040,139.3327309780732,Bengals,0.06,58.80%,Richard Quinn,TE,0.5099502487562189,2012.0,richard quinn,richard quinn,richard quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027819,15.94457823631518,Bills,-0.09,37.50%,Dorin Dickerson,TE,0.3855721393034826,2012.0,dorin dickerson,dorin dickerson,dorin dickerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0028067,74.92994783744359,Broncos,0.19,76.50%,Julius Thomas,TE,0.4651741293532338,2012.0,julius thomas,julius thomas,julius thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0029183,0.0,Buccaneers,0.01,43.80%,Danny Noble,TE,0.3233830845771144,2012.0,danny noble,danny noble,danny noble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0026757,0.0,Cardinals,-0.15,31.30%,Kory Sperry,TE,0.5099502487562189,2012.0,kory sperry,kory sperry,kory sperry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0029694,156.22146795345165,Dolphins,-0.08,43.80%,Michael Egnew,TE,0.445471807628524,2012.0,michael egnew,michael egnew,michael egnew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0028415,0.0,Dolphins,-0.08,43.80%,Kyle Miller,TE,0.2021144278606965,2012.0,kyle miller,heath miller,heath miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027445,0.0,Dolphins,-0.08,43.80%,Jeron Mastrud,TE,0.4477611940298507,2012.0,jeron mastrud,jeron mastrud,jeron mastrud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
