,Year,Team,Position,weighted_avg_snap_counts_offense,weighted_avg_block_percent,weighted_avg_declined_penalties,weighted_avg_franchise_id,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_run_block,weighted_avg_hits_allowed,weighted_avg_hurries_allowed,weighted_avg_non_spike_pass_block,weighted_avg_non_spike_pass_block_percentage,weighted_avg_pass_block_percent,weighted_avg_pbe,weighted_avg_penalties,weighted_avg_pressures_allowed,weighted_avg_sacks_allowed,weighted_avg_snap_counts_block,weighted_avg_snap_counts_ce,weighted_avg_snap_counts_lg,weighted_avg_snap_counts_lt,weighted_avg_snap_counts_pass_block,weighted_avg_snap_counts_pass_play,weighted_avg_snap_counts_rg,weighted_avg_snap_counts_rt,weighted_avg_snap_counts_run_block,weighted_avg_snap_counts_te,Unnamed: 0,Value_cap_space,Value_draft_data,Previous_AV,Current_AV,Previous_PFF,Current_PFF,Total DVOA,win-loss-pct,Net EPA
0,2019,49ers,OL,662.4586910735543,96.13913489527832,0.17090046043731255,28.0,63.01745565135577,68.19047485137514,59.97689970849636,1.736719532073753,11.241210977355427,308.5740910950261,86.67587537544064,90.99264821194195,93.14921019339646,2.984887768824681,14.494883115354387,1.5169526059252056,646.7907735936456,321.986812634921,112.65518495353909,40.68294405242489,334.6660416325353,350.20206816278323,104.71856649413255,40.68547658660667,312.1247319611102,31.129356346858685,145,14.22422954303932,434.8776982486688,36.0,46.0,70.5010584010584,65.12037664783428,27.90%,0.8125,0.216
1,2019,Bears,OL,759.9983054842783,97.38305737289399,1.159689738439665,6.0,63.065765527798554,63.97980295967691,59.99136004543289,3.14395581232651,12.947665535176712,454.8035872100304,95.56685854744981,95.40986677720221,94.9474887460309,3.404790832571624,17.37729966665648,1.2856783191532575,755.4943329633451,267.47697415991513,288.90911872898374,63.06889875559212,484.1442529180509,488.64822543898396,62.05189036582338,63.46807230710207,271.35008004529425,10.734095535894939,140,7.279489904357067,231.52931064174064,43.0,31.0,69.84368070953437,61.96566888396157,-2.10%,0.5,-0.032
2,2019,Bengals,OL,759.5645527672388,97.64223283125492,0.14781278981916085,6.999999999999999,57.48579208266745,61.34362327989544,54.929307235001474,2.45400697687629,15.301064281059247,456.1447110239664,92.64477090163012,92.65911528002425,94.15407803284839,2.3925496253273,21.19286337583941,3.4377921179038666,751.6910869249637,539.9489068508194,67.85528039250076,31.775448493683943,488.0513753965418,495.9248412388169,67.55834083735523,33.105580331388325,263.6397115284218,14.690722224771063,136,15.499468650371943,309.07945467899884,43.0,33.0,59.900018348623846,55.26485520200215,-25.20%,0.125,-0.193
3,2019,Bills,OL,560.3808778799768,94.1145279425207,1.3117943947179143,4.0,60.22175567725483,62.46428660311677,59.228500490756446,1.8095022696339509,10.353416425173451,290.8141041004554,88.95321521780862,89.00931127725873,96.97377769837857,4.671603464245733,13.670925080461714,1.5080063856543107,540.5601164136798,123.66696493769105,124.50342031934314,70.21401832831707,309.0171791231168,328.80797164261406,121.70903631052899,70.29237054834915,231.54293729056295,41.409162210332006,146,15.435706695005312,274.4252205018305,26.0,37.0,60.52895031751961,62.69151208544125,2.70%,0.625,0.061
4,2019,Broncos,OL,699.3939576221646,93.33288526256507,0.6976076766834973,10.0,66.6871591527742,72.72444775630447,61.507985118481216,2.4671857883609025,8.48342546430433,365.3711820691773,87.35389188380621,87.35789218976493,97.53797477793944,2.554402786362757,12.500097634829789,1.5494863821645557,674.7834155199494,431.47656432615605,53.934570540769506,53.881328121676944,393.1519914511323,417.63255797657956,53.934570540769506,53.881328121676944,281.63142406881707,37.00516706648995,134,13.740701381509032,395.6660348751018,30.0,32.0,66.59771884272998,66.60244817374137,-9.00%,0.4375,-0.053
5,2019,Browns,OL,754.9230775246609,95.8568529762396,0.985222509271977,8.0,63.837980480384545,74.04773981068396,58.84592680021727,0.8905760887309994,13.797895445125157,419.5024489754084,92.23514710941696,92.25958648818475,97.4122425112366,4.336308318805192,16.412611324959236,1.7241397911030791,744.0136595210781,430.3247027309226,93.62320310935564,55.899582534585846,459.9310929041494,470.8405109077322,91.85389042476872,55.97827841817776,284.0825666169288,21.6151780719827,150,18.24654622741764,412.1669096506312,41.0,42.0,71.56301569916027,62.58672532517216,-10.10%,0.375,-0.076
6,2019,Buccaneers,OL,793.2144732477941,94.46277005283822,0.23725682943618348,30.0,68.78704889243659,67.83298226322036,64.59326078164473,2.8656370944863987,10.739125382876571,472.38110201744826,85.3103149091027,85.26855159947549,90.22611139502206,3.428143552710965,15.222650610187058,1.6178881328240895,775.70387192635,497.8505802327344,64.47766365028261,62.99685914829688,501.64476914209155,519.1553704635357,65.08745591792163,62.99810180653622,274.0591027842583,30.666899722786113,128,22.08820403825717,150.60294376760712,45.0,45.0,61.80434316353888,69.99038826574633,1.50%,0.4375,0.072
7,2019,Cardinals,OL,860.4994928642691,96.30688298043223,0.03202645306984278,1.0,60.52403483042973,71.36394394918823,53.3812508948053,0.6472394389655071,14.349791495970331,507.5553422989167,91.7291029304862,91.73494367546472,98.03203321011316,3.774648657329702,16.929722447262975,1.9326915123271369,850.0855027352569,394.42850082134527,169.90010327677538,33.46509075918897,544.078802642123,554.4927927711351,185.62933190331472,52.38890706032627,306.00670009313393,16.994942101339962,148,14.383634431455896,189.5128546219359,26.0,43.0,58.40444695259594,62.1125928748333,-5.80%,0.3125,-0.081
8,2019,Chargers,OL,544.0494009326173,92.2383627137658,0.485103158303192,27.000000000000004,58.91526103494157,62.47241489485466,56.33872638737181,4.431412728466807,12.760745303241006,304.3402437388035,87.21978252025662,87.08068656442282,96.4104520697674,3.2712382411067846,19.49906524420652,2.30690721249871,521.6260632835447,69.16809545689439,140.40246550595646,74.859387125249,328.95881793497654,351.38215558404926,140.40246550595646,74.37124400485082,192.66724534856812,28.583955308483286,156,12.9596174282678,293.32781339932313,48.0,44.0,60.26946564885496,57.43253283302063,-6.70%,0.3125,0.0
9,2019,Chiefs,OL,724.0520263177001,92.7628640220942,1.4030697725336296,16.0,61.27484754703399,69.31151117291178,54.28673858886315,1.5420995290391493,4.9936601735975925,398.26267443089057,84.67652418959982,84.81062873972714,96.18505418573915,5.176143304315457,8.026511627600968,1.4907519249642276,690.1816704430867,464.56438572824516,34.26189743228021,66.41013933159888,442.98776112128496,476.81989365798546,23.07810596281247,66.33392709748642,247.19390932180167,43.816338154000476,154,14.946865037194474,441.5610380203419,66.0,54.0,68.37947298071414,64.24800075800644,30.20%,0.75,0.133
