,Unnamed: 0_x,Team,Year,Position,Value_cap_space,Value_draft_data,Previous_AV,Current_AV,Previous_PFF,Current_PFF_x,Total DVOA,win-loss-pct,Net EPA,Unnamed: 0_y,weighted_avg_block_percent,weighted_avg_declined_penalties,weighted_avg_franchise_id,Current_PFF_y,weighted_avg_grades_pass_block,weighted_avg_grades_run_block,weighted_avg_hits_allowed,weighted_avg_hurries_allowed,weighted_avg_non_spike_pass_block,weighted_avg_non_spike_pass_block_percentage,weighted_avg_pass_block_percent,weighted_avg_pbe,weighted_avg_penalties,weighted_avg_pressures_allowed,weighted_avg_sacks_allowed,weighted_avg_snap_counts_block,weighted_avg_snap_counts_ce,weighted_avg_snap_counts_lg,weighted_avg_snap_counts_lt,weighted_avg_snap_counts_offense,weighted_avg_snap_counts_pass_block,weighted_avg_snap_counts_pass_play,weighted_avg_snap_counts_rg,weighted_avg_snap_counts_rt,weighted_avg_snap_counts_run_block,weighted_avg_snap_counts_te,Previous_block_percent,Previous_declined_penalties,Previous_franchise_id,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_run_block,Previous_hits_allowed,Previous_hurries_allowed,Previous_non_spike_pass_block,Previous_non_spike_pass_block_percentage,Previous_pass_block_percent,Previous_pbe,Previous_penalties,Previous_pressures_allowed,Previous_sacks_allowed,Previous_snap_counts_block,Previous_snap_counts_ce,Previous_snap_counts_lg,Previous_snap_counts_lt,Previous_snap_counts_offense,Previous_snap_counts_pass_block,Previous_snap_counts_pass_play,Previous_snap_counts_rg,Previous_snap_counts_rt,Previous_snap_counts_run_block,Previous_snap_counts_te
0,96,Buccaneers,2019,TE,5.658873538788523,168.5002825747667,6.0,6.0,64.18221957040573,56.75054229934924,1.50%,0.4375,0.072,247,52.80939177101968,0.1270125223613595,30.0,54.36721824686941,50.94378354203936,53.39257602862254,0.3586762075134168,1.574686940966011,27.16323792486584,21.95174418604651,21.54320214669052,80.81042039355992,1.933363148479428,2.509838998211092,0.5764758497316638,152.92352415026832,0.0,0.0,0.0,302.0572450805009,28.31618962432917,177.44991055456174,0.0,0.0,124.60733452593918,225.1578711985689,66.38620808848945,0.3415139993086761,30.0,55.95734531628067,44.55769097822329,55.12972692706533,0.6463878326996197,1.1254752851711023,20.24680262703076,14.266643622537156,14.028966470791564,66.03200829588661,1.5907362599377808,1.7718631178707225,0.0,116.24680262703076,0.0,0.0,0.0,218.41513999308677,20.89319045973038,123.06152782578636,0.0,0.0,95.35361216730035,130.59730383684754
1,97,Packers,2019,TE,8.485653560042508,74.89144738055205,7.0,6.0,58.965723981900446,60.29861982434128,7.70%,0.8125,0.089,175,74.33583258054803,0.0,12.0,57.3113520024089,49.79575429087623,57.78214393255043,0.0,0.7913279132791328,18.720566094549834,16.80602228244505,17.003703703703703,65.78928033724782,0.8307738632941886,1.446853357422463,0.6555254441433304,117.55344775669978,0.0,0.0,0.0,205.72056609454984,20.32369768142126,108.4908160192713,0.0,0.0,97.22975007527852,164.02017464619092,55.01406593406593,0.0,12.0,56.113076923076925,56.72021978021978,65.04087912087913,0.4230769230769231,2.398901098901099,25.384615384615383,23.77208791208791,24.11890109890109,93.97626373626372,1.123076923076923,3.2428571428571438,0.4208791208791208,138.60109890109888,0.0,0.0,0.0,290.3010989010989,26.651648351648355,178.35164835164835,0.0,0.0,111.94945054945056,163.06483516483516
2,98,Giants,2019,TE,0.4091392136025505,155.15509733723542,8.0,6.0,68.38470290771176,60.82100737100737,-17.50%,0.25,-0.137,219,69.48380020249748,0.0958488018899763,21.0,57.95150185622679,68.69105636179548,56.41289233884576,0.0,0.5241309483631454,13.327033412082349,44.14357070536618,44.35831927100911,99.17789402632468,0.8032399595005062,0.5241309483631454,0.0,87.90853864326695,0.0,0.0,0.5156935538305771,185.98515018562267,14.950388120148498,112.7394532568343,0.0,0.1407357408032399,72.95815052311846,149.29665879176508,57.50392340028024,0.3087342363381597,21.000000000000004,61.35324614666044,61.027323680523125,61.7211583372256,1.008407286314806,0.561886968706212,27.96029892573564,21.715366651097614,22.487389070527787,96.77762727697338,1.7636618402615598,2.076599719757123,0.5063054647361047,157.4133582438113,0.0,0.0,2.389537599252686,299.88323213451656,30.851938346567024,172.908453993461,0.0,0.5063054647361047,126.56141989724428,223.0228865016348
3,99,Commanders,2019,TE,0.6110520722635494,30.87004413872264,7.0,7.0,63.83604060913705,51.43892617449664,-25.70%,0.1875,-0.213,255,64.78081705150977,0.3179396092362344,32.0,59.55355239786856,65.87140319715807,58.32628774422736,0.2033747779751332,0.2033747779751332,14.66785079928952,17.391119005328594,18.108170515097694,95.3310834813499,1.652753108348135,0.8454706927175845,0.4387211367673179,124.83303730017764,0.0,0.0,0.1145648312611012,229.18827708703373,16.35879218472469,120.71403197158082,0.0,0.0,108.47424511545294,180.4698046181172,61.483073496659244,0.0,32.0,62.35385300668152,65.7343429844098,55.22035634743875,0.0,0.866815144766147,23.74966592427617,24.15403118040089,23.579331848552336,96.5626280623608,3.2093541202672604,1.0988864142538974,0.2320712694877505,162.21826280623608,0.0,0.0,0.2971046770601336,300.709131403118,24.34699331848552,162.83786191536748,0.0,0.5942093541202673,137.87126948775057,210.1220489977728
4,100,Patriots,2019,TE,1.4240170031880977,5.331185563593877,6.0,3.0,68.01126331811264,52.24048780487805,29.90%,0.75,0.227,211,57.347142015321154,0.0,19.000000000000004,51.225987035945785,59.12563347083088,52.20760164997055,1.0789628756629346,0.9133765468473778,32.61991750147319,18.649852681202123,19.380141426045963,95.80624631703006,2.571596935769004,2.357100766057749,0.3647613435474366,215.5792575132587,0.0,0.0,0.0,382.1921037124337,36.76252209781968,203.37536829699476,0.0,0.0,178.816735415439,225.69829110194465,58.26843950905903,0.0,19.0,60.73465809468147,64.21987142022209,59.605260081823495,0.0,1.788427819988311,32.822326125073054,18.600233781414374,18.439392168322616,97.90789012273524,1.8573933372296905,1.788427819988311,0.0,232.10227936879016,0.0,0.0,0.5821157218001168,409.0689655172414,34.09760374050263,211.06428988895385,0.0,0.6931618936294565,198.00467562828757,241.20572764465228
5,101,Vikings,2019,TE,2.784272051009564,141.59360931948208,6.0,8.0,62.26584463625155,67.62519863791147,15.40%,0.625,0.123,207,75.01605654222546,0.2685755708590069,18.0,62.38263863718739,42.01620152229069,58.948894527002544,0.4403769481696267,1.9380210221094605,25.70677781805002,12.952374048568322,13.220079739035882,59.96060166727074,1.3718738673432405,2.5755708590068864,0.1971728887277999,191.66473359913016,0.0,0.0,0.0,337.233055454875,27.92171076476985,173.4900326205147,0.0,0.1971728887277999,163.7430228343603,269.24610366074666,67.36940097139772,0.2023745277927684,18.0,58.32423097679438,71.21597409606044,52.01014570966001,0.4463032919589854,0.756071235833783,44.41284403669725,38.46130599028602,38.18569886670264,98.46233135456016,1.660550458715596,1.2023745277927684,0.0,188.84349703184023,0.0,0.0,1.2558014031300593,341.58553696708043,45.615218564490014,198.3572584997301,0.0,0.6071235833783054,143.22827846735024,243.53804641122505
6,102,Broncos,2019,TE,3.57066950053135,293.0708708774035,5.0,6.0,60.32710674157303,54.13324572930355,-9.00%,0.4375,-0.053,167,54.988816705336426,0.3962877030162413,10.0,55.398422273781904,59.49345707656612,53.25058004640371,0.4812064965197216,1.1990719257540603,25.308120649651972,14.623294663573086,14.650301624129932,94.73698375870067,2.867285382830626,2.0765661252900234,0.3962877030162413,186.1215777262181,0.0,0.0,0.0,352.27285382830627,27.385614849187935,192.65939675174016,0.0,0.0,158.73596287703015,249.83016241299305,63.66625802685346,0.0,10.0,60.57717454757734,61.77270869819031,61.56888499708114,0.4544658493870402,0.5855224751897256,18.42586106246351,42.85665499124343,42.93966725043783,99.0418855808523,0.5805604203152364,1.0399883245767658,0.0,90.53998832457675,0.0,0.0,0.1430239346176298,179.472270869819,20.0446584938704,108.97694103911266,0.0,0.0,70.49532983070635,122.61908931698773
7,103,Falcons,2019,TE,2.582359192348566,30.34904473135109,7.0,7.0,64.89791921664626,72.88832951945079,-5.00%,0.4375,-0.03,135,57.005777777777766,0.0,2.0,60.16874074074073,56.320740740740746,67.05422222222222,0.2903703703703703,2.340740740740741,35.88444444444444,22.803703703703704,22.125185185185188,98.02177777777776,0.8059259259259258,2.6311111111111107,0.0,168.42222222222222,0.0,0.0,0.0,311.07259259259257,37.34814814814814,179.9985185185185,0.0,1.0977777777777775,131.07407407407408,230.6429629629629,61.58330404217927,0.2079671939074399,2.0,59.54458113649678,72.86362038664323,62.502167545401285,0.4399531341534856,3.175746924428823,51.15582893966023,29.664616285881667,30.452724077328654,96.63122437024018,2.063854715875806,3.615700058582308,0.0,217.0263620386643,0.0,0.0,0.0,390.178676039836,54.61980082015232,227.77211482132395,0.0,0.0,162.40656121851202,295.2196836555361
8,104,Bengals,2019,TE,5.770456960680128,171.8152692280327,7.0,5.0,59.38285714285715,58.046674727932285,-25.20%,0.125,-0.193,155,74.29428393911154,0.0,7.000000000000001,56.00869835352594,43.907921714818265,54.220596458527496,0.3873873873873874,0.782851817334576,20.833799316557936,18.740416278347315,18.742031686859274,66.1532774153464,0.6203789996893445,1.5368126747437092,0.3665734700217459,109.6753650201926,0.0,0.0,0.0,197.551413482448,22.179248213730972,110.05529667598634,0.0,0.0,87.49611680646164,145.627834731283,58.82616279069767,0.1343669250645995,7.0,54.2217700258398,52.61434108527132,62.31663436692506,0.268733850129199,0.7109173126614987,13.977390180878556,18.73397932816537,17.774224806201552,84.06001291989665,1.3617571059431524,1.337532299741602,0.3578811369509043,93.71963824289404,0.0,0.0,0.0,186.374354005168,14.69315245478036,107.34786821705426,0.0,0.0,79.02648578811369,123.6030361757106
9,105,Colts,2019,TE,3.538788522848034,105.74605547312756,11.0,8.0,68.57776497695853,69.45623409669211,-5.00%,0.4375,0.009,183,58.50946196660483,0.1428571428571428,14.0,65.56150278293136,69.50723562152133,64.84007421150278,0.0,1.7541743970315402,20.051020408163264,11.856586270871986,21.4639146567718,68.29072356215214,1.0816326530612246,1.7541743970315402,0.0,200.1057513914657,0.0,0.0,0.9230055658627088,356.5927643784787,22.259740259740266,178.74675324675326,0.0,0.0,177.84601113172542,253.6317254174397,61.91368380363355,0.0885195206803247,14.0,67.40618477000386,76.75929648241207,59.88523386161578,0.2953227676845767,0.1913413219945883,16.646695013529186,21.80606880556629,24.15137224584461,98.65979899497488,1.6072671047545422,0.4866640896791651,0.0,145.7367607267105,0.0,0.0,1.06068805566293,255.8581368380364,19.85388480865868,129.79822187862388,0.0,0.265558562040974,125.8828759180518,175.60610746037884
