player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0029308,2015,Bears,0.0270958961474036,25.0,13.590306994889724,-0.07,37.50%,Greg Scruggs,DI,17.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,56.0,0.0,62.5,66.3,70.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,0.0,9.0,3.0,5.0,2.0,2.0,0.0,1.0,952.0,MISSING
00-0032138,2015,Broncos,0.3230660245672809,23.0,31.11556673711729,0.1,79.00%,Darius Kilgo,DI,113.0,9.0,3.0,1.0,0.0,0.0,10.0,0.0,0.0,56.5,35.9,53.1,62.2,72.2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,113.0,91.0,22.0,0.0,0.0,4.0,5.0,0.0,2.0,6384.5,MISSING
00-0022878,2010,Seahawks,0.1348634146341463,28.0,20.969716757625168,-0.13,44.40%,Amon Gordon,DI,73.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,51.7,78.6,52.6,53.8,69.5,0.0,0.0,50.0,2.0,0.0,0.0,0.0,73.0,8.0,65.0,0.0,0.0,1.0,2.0,0.0,0.0,3774.1,MISSING
00-0024229,2014,Saints,2.4530075187969924,30.0,95.11058278344004,-0.04,43.80%,Brodrick Bunkley,DI,274.0,11.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,63.7,83.4,48.3,69.9,64.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,274.0,68.0,176.0,0.0,30.0,10.0,14.0,1.0,4.0,17453.8,MISSING
00-0028241,2015,49ers,1.043993579006142,26.0,0.0,-0.15,31.30%,Ian Williams,DI,660.0,16.0,13.0,1.0,0.0,1.0,28.0,1.0,0.0,86.3,66.2,63.3,88.9,77.8,1.0,17.0,3.0,2.0,2.0,0.0,1.0,644.0,388.0,253.0,1.0,2.0,38.0,52.0,2.0,19.0,56958.0,MISSING
00-0029657,2014,Saints,0.5400187969924812,24.0,110.4299773092273,-0.04,43.80%,Akiem Hicks,DI,717.0,15.0,11.0,0.0,0.0,0.0,20.0,0.0,0.0,65.8,56.5,56.6,72.3,48.0,5.0,20.0,13.6,6.0,3.0,0.0,2.0,707.0,26.0,349.0,53.0,279.0,24.0,27.0,6.0,27.0,47178.6,MISSING
00-0029890,2015,49ers,0.3036013400335008,24.0,0.0,-0.15,31.30%,Mike Purcell,DI,289.0,8.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,58.6,83.4,50.5,62.2,62.8,0.0,2.0,6.3,1.0,0.0,0.0,1.0,287.0,2.0,183.0,2.0,100.0,11.0,14.0,0.0,3.0,16935.4,MISSING
00-0029165,2015,49ers,0.4082914572864322,25.0,0.0,-0.15,31.30%,Tony Jerod-Eddie,DI,290.0,16.0,6.0,5.0,1.0,0.0,28.0,0.0,0.0,53.0,37.3,53.9,59.1,63.1,1.0,6.0,10.5,2.0,2.0,0.0,0.0,273.0,8.0,138.0,33.0,94.0,9.0,11.0,0.0,7.0,15370.0,MISSING
00-0030088,2015,49ers,0.4399867392518146,25.0,49.153741293134125,-0.15,31.30%,Quinton Dial,DI,641.0,15.0,16.0,1.0,0.0,0.0,28.0,0.0,0.0,62.4,62.5,58.9,62.5,70.4,4.0,11.0,8.8,5.0,2.0,0.0,3.0,637.0,6.0,349.0,15.0,267.0,27.0,36.0,2.0,18.0,39998.4,MISSING
00-0029544,2014,Titans,0.5502932330827067,23.0,121.0490715800535,-0.16,12.50%,Mike Martin,DI,347.0,12.0,5.0,0.0,0.0,0.0,31.0,0.0,0.0,63.1,61.1,56.2,65.8,64.3,3.0,11.0,5.9,1.0,1.0,0.0,0.0,341.0,5.0,22.0,9.0,305.0,5.0,11.0,0.0,14.0,21895.7,MISSING
00-0026942,2015,Broncos,1.2213847012841987,28.0,10.143333857278291,0.1,79.00%,Vance Walker,DI,438.0,18.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,74.0,71.4,60.6,77.6,72.3,2.0,13.0,2.8,1.0,1.0,0.0,2.0,438.0,98.0,149.0,55.0,136.0,25.0,27.0,2.0,17.0,32412.0,MISSING
00-0026145,2015,49ers,1.6343285873813511,30.0,181.3562757895569,-0.15,31.30%,Glenn Dorsey,DI,351.0,10.0,7.0,0.0,0.0,0.0,28.0,0.0,0.0,56.7,85.1,47.0,63.4,76.4,3.0,4.0,4.2,1.0,0.0,0.0,0.0,351.0,8.0,156.0,1.0,186.0,9.0,16.0,0.0,7.0,19901.7,MISSING
00-0026016,2014,Titans,1.466165413533835,29.0,0.0,-0.16,12.50%,Ropati Pitoitua,DI,390.0,12.0,5.0,1.0,0.0,0.0,31.0,1.0,0.0,68.6,85.1,49.5,79.9,50.8,1.0,7.0,15.2,5.0,0.0,0.0,2.0,387.0,2.0,43.0,18.0,324.0,19.0,23.0,4.0,10.0,26754.0,MISSING
00-0032164,2015,49ers,1.249001256281407,21.0,432.8370230110429,-0.15,31.30%,Arik Armstead,DI,376.0,16.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,79.9,68.2,70.3,81.9,65.0,6.0,29.0,15.0,3.0,1.0,0.0,2.0,363.0,8.0,194.0,46.0,115.0,12.0,16.0,0.0,37.0,30042.4,MISSING
00-0022692,2010,Seahawks,0.665709756097561,30.0,14.252229418636214,-0.13,44.40%,Craig Terrill,DI,380.0,14.0,4.0,1.0,1.0,0.0,29.0,0.0,0.0,54.7,49.3,54.8,59.0,72.8,3.0,2.0,18.2,2.0,2.0,56.3,0.0,380.0,43.0,315.0,0.0,22.0,2.0,5.0,0.0,5.0,20786.0,MISSING
00-0026564,2010,Steelers,0.1437398373983739,24.0,0.0,0.18,73.70%,Steve McLendon,DI,19.0,4.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,58.3,73.2,58.9,57.4,70.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,0.0,10.0,1.0,2.0,0.0,1.0,1107.7,MISSING
00-0030072,2014,Seahawks,0.4895,23.0,125.58896537947597,0.21,73.70%,Jordan Hill,DI,360.0,13.0,2.0,3.0,0.0,0.0,29.0,3.0,0.0,54.9,64.6,61.0,44.9,47.9,5.0,10.0,12.5,2.0,1.0,79.2,6.0,360.0,17.0,236.0,3.0,104.0,14.0,12.0,1.0,21.0,19764.0,MISSING
00-0024227,2010,Ravens,2.666666666666667,26.0,336.13517260829195,0.06,72.20%,Haloti Ngata,DI,891.0,18.0,5.0,6.0,0.0,0.0,3.0,1.0,0.0,79.0,87.9,68.4,77.7,57.4,8.0,14.0,10.3,6.0,1.0,70.8,7.0,891.0,164.0,378.0,1.0,346.0,47.0,47.0,6.0,29.0,70389.0,MISSING
00-0026261,2010,Seahawks,0.471849593495935,26.0,74.08475097240371,-0.13,44.40%,Red Bryant,DI,283.0,7.0,0.0,0.0,0.0,1.0,29.0,2.0,0.0,81.8,59.3,68.7,82.8,75.5,2.0,8.0,0.0,0.0,1.0,0.0,2.0,283.0,5.0,34.0,0.0,244.0,14.0,14.0,1.0,12.0,23149.4,MISSING
00-0027679,2015,Bears,0.0418760469011725,27.0,81.66725418747438,-0.07,37.50%,D'Anthony Smith,DI,49.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,53.4,77.7,49.8,59.9,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,48.0,4.0,32.0,1.0,11.0,0.0,0.0,0.0,0.0,2616.6,MISSING
00-0031074,2014,Texans,0.3400037593984962,21.0,46.07225241696587,0.11,56.30%,Jeoffrey Pagan,DI,189.0,16.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,49.7,81.8,46.2,56.5,33.4,0.0,0.0,22.2,2.0,0.0,0.0,0.0,189.0,4.0,15.0,30.0,140.0,5.0,5.0,0.0,0.0,9393.3,MISSING
00-0027720,2015,Bengals,6.281407035175879,27.0,45.30225101156579,0.12,70.60%,Geno Atkins,DI,849.0,17.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,91.7,61.6,90.0,90.9,61.2,9.0,61.0,13.2,5.0,3.0,0.0,15.0,843.0,96.0,693.0,1.0,53.0,40.0,29.0,9.0,85.0,77853.3,MISSING
00-0026217,2015,Bengals,0.4641261864879956,29.0,43.008815206288205,0.12,70.60%,Pat Sims,DI,210.0,9.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,64.5,55.7,70.8,59.0,74.2,3.0,5.0,0.0,0.0,1.0,0.0,1.0,210.0,40.0,165.0,0.0,5.0,7.0,10.0,2.0,9.0,13545.0,MISSING
00-0031048,2015,Bears,0.4686746231155779,23.0,133.77991357033252,-0.07,37.50%,Will Sutton III,DI,417.0,13.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,54.4,53.3,55.0,57.4,76.5,2.0,6.0,13.0,3.0,2.0,0.0,0.0,415.0,113.0,239.0,5.0,58.0,11.0,17.0,2.0,8.0,22684.8,MISSING
00-0028137,2014,Texans,0.4849624060150376,27.0,24.56323747417671,0.11,56.30%,Jerrell Powe,DI,273.0,16.0,6.0,1.0,0.0,0.0,13.0,0.0,0.0,46.2,57.3,47.7,49.1,75.6,0.0,0.0,7.7,1.0,1.0,0.0,0.0,272.0,86.0,28.0,1.0,157.0,3.0,6.0,1.0,0.0,12612.6,MISSING
00-0024338,2015,Bengals,2.582356225572306,30.0,13.21957008071726,0.12,70.60%,Domata Peko Sr.,DI,562.0,17.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,58.8,63.8,61.8,54.7,77.0,1.0,4.0,0.0,0.0,2.0,0.0,5.0,561.0,286.0,261.0,1.0,13.0,17.0,17.0,2.0,10.0,33045.6,MISSING
00-0027979,2015,Bears,0.5757956448911223,27.0,182.19076005237497,-0.07,37.50%,Jarvis Jenkins,DI,635.0,15.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,52.0,64.5,58.7,48.0,38.5,6.0,26.0,20.0,6.0,2.0,0.0,5.0,633.0,30.0,386.0,26.0,191.0,15.0,18.0,1.0,37.0,33020.0,MISSING
00-0030121,2014,Seahawks,0.0557278195488721,24.0,15.264522206150994,0.21,73.70%,David King,DI,25.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,51.3,75.0,55.4,53.1,66.8,1.0,0.0,MISSING,0.0,0.0,0.0,1.0,25.0,0.0,15.0,0.0,10.0,1.0,0.0,0.0,2.0,1282.5,MISSING
00-0020515,2014,Texans,0.3529413533834586,34.0,15.037435377934091,0.11,56.30%,Ryan Pickett,DI,287.0,13.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,54.6,82.7,48.6,58.9,75.8,0.0,1.0,12.5,2.0,0.0,0.0,0.0,287.0,73.0,23.0,9.0,182.0,13.0,13.0,0.0,1.0,15670.2,67.14459913586172
00-0027248,2010,Rams,0.0718699186991869,23.0,0.0,-0.04,43.80%,Jermelle Cudjo,DI,231.0,10.0,2.0,1.0,0.0,0.0,26.0,0.0,0.0,54.9,84.2,63.6,49.1,74.2,1.0,4.0,0.0,0.0,0.0,0.0,1.0,231.0,0.0,231.0,0.0,0.0,9.0,10.0,0.0,6.0,12681.9,MISSING
