player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Terrell Suggs,1326,ED,KC,15,9,0,100.0,0,4,16,1,0,29.0,64.1,24.7,66.9,76.1,28.9,4,26,0,0,37,25.0,11,0,6,118.8,6,8,0,5,0,32,690,684,0,1,681,2,0,6,429,229,1,25,24,7,6,38,0,120,85,20.0
Mike Adams,1972,S,HST,4,1,0,100.0,0,0,13,0,0,67.7,70.9,81.5,,65.1,80.2,0,0,0,0,8,0.0,0,0,0,129.2,2,0,0,11,2,44,68,2,0,0,2,0,45,66,0,24,8,2,2,0,2,0,1,11,13,5.5
Thomas Davis Sr.,2231,LB,LAC,16,26,0,73.2,0,0,27,0,0,55.7,61.7,33.9,71.5,67.4,47.9,0,1,0,0,27,15.2,19,2,3,92.0,52,2,0,763,1,402,805,8,0,0,8,0,4,797,19,384,29,39,80,3,71,3,1,412,307,7.9
Lorenzo Alexander,2476,ED,BUF,16,9,4,88.2,0,1,4,0,0,65.7,64.6,66.2,69.6,52.6,64.7,7,20,0,0,15,8.9,4,2,1,113.0,15,3,0,209,1,88,494,267,0,1,266,0,1,227,211,195,15,16,32,2,17,30,1,109,67,7.3
Johnathan Joseph,2969,CB,HST,14,4,0,61.5,2,0,13,0,0,65.0,64.0,86.0,75.9,48.7,37.2,0,0,0,1,60,19.4,12,11,3,90.1,48,0,0,42,535,412,622,1,0,0,1,0,0,621,2,208,44,11,46,0,78,0,2,627,210,13.1
Domata Peko Sr.,3068,DI,BLT,7,3,0,,0,0,3,0,0,61.7,59.5,40.2,55.6,63.2,34.1,0,7,0,0,,13.3,2,0,1,0.0,0,0,0,0,0,2,140,140,58,69,0,13,0,0,63,75,0,7,10,0,0,7,0,0,0,
Antoine Bethea,3152,S,NYG,16,15,0,69.2,0,0,21,2,0,62.4,69.3,86.8,63.1,81.2,70.3,0,0,0,1,45,11.4,13,5,1,135.4,18,0,0,239,4,650,1107,9,0,0,9,0,804,1098,7,450,51,18,86,3,26,0,5,340,137,18.9
Tramon Williams,3558,CB,GB,16,9,0,61.4,0,0,12,2,0,82.2,75.1,32.2,54.3,45.0,73.8,1,1,0,2,61,9.1,4,5,5,84.0,35,0,0,77,167,504,761,3,0,0,3,0,10,758,10,247,504,10,31,2,57,2,2,460,226,13.1
Eric Weddle,3653,S,LA,16,21,0,75.0,1,0,26,0,0,70.5,69.0,66.8,73.0,63.4,79.7,1,2,0,0,18,7.3,8,2,2,128.0,21,0,0,270,2,614,1031,21,0,0,21,0,617,1010,6,411,121,19,80,2,28,3,3,186,138,8.9
Brandon Mebane,3701,DI,LAC,13,5,0,,0,0,27,0,0,60.1,48.7,72.8,48.2,51.7,45.2,1,6,0,0,,15.4,4,0,1,0.0,0,1,0,0,0,0,408,408,328,80,0,0,0,0,208,200,0,12,17,0,0,8,0,0,0,
Dominique Rodgers-Cromartie,4330,CB,WAS,2,1,0,85.7,0,0,32,0,0,41.5,42.6,77.7,,51.3,32.2,0,0,0,0,16,25.0,2,0,0,106.0,6,0,0,4,51,33,62,0,0,0,0,0,0,62,0,29,7,0,5,0,7,0,0,66,20,11.0
Aqib Talib,4334,CB,LA,5,2,0,52.0,2,0,26,0,0,55.8,55.4,82.7,,52.4,33.2,0,0,0,0,30,27.8,5,2,2,112.2,13,0,0,45,263,205,334,1,0,0,1,0,3,333,0,129,22,2,11,0,25,0,3,163,41,12.5
Calais Campbell,4364,DI,JAX,16,11,1,,0,2,15,1,1,69.4,90.3,35.7,81.4,90.6,29.6,19,46,0,0,,20.0,13,0,8,0.0,0,7,0,14,0,2,818,804,40,165,321,278,0,14,515,301,0,35,41,6,0,72,0,0,0,
Brandon Carr,4454,CB,BLT,16,2,0,62.1,1,0,3,0,0,66.8,67.3,86.2,66.2,60.2,53.8,7,6,0,0,33,16.4,9,4,3,95.8,36,2,0,156,206,493,748,18,0,0,18,0,102,730,36,219,266,16,44,2,58,15,3,344,143,9.6
Orlando Scandrick,4457,CB,PHI,3,0,0,50.0,0,2,24,1,1,64.3,91.7,78.2,99.9,73.8,56.4,0,1,0,0,15,16.7,1,0,0,61.5,2,2,0,7,1,56,83,3,0,0,3,0,3,80,5,22,69,5,5,0,4,3,0,17,4,8.5
Matthew Slater,4467,WR,NE,3,0,0,0.0,0,0,19,0,0,47.9,44.4,65.8,,,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,0,3,3,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,
Wesley Woodyard,4583,LB,TEN,14,8,0,89.5,0,1,31,0,0,45.4,56.7,81.4,62.1,72.4,48.7,1,2,0,0,46,13.0,6,1,0,136.3,17,1,0,285,6,182,325,15,0,0,15,0,2,310,22,121,16,15,32,2,19,4,1,243,134,14.3
Cameron Wake,4907,ED,TEN,9,0,1,,0,0,31,0,0,60.2,83.5,86.4,77.8,65.3,44.6,8,20,0,0,,50.0,1,0,0,0.0,0,3,1,0,0,2,195,195,0,3,178,14,0,0,181,12,0,3,1,0,0,31,0,0,0,
Malcolm Jenkins,4937,S,PHI,16,9,0,60.0,1,4,24,1,0,67.5,67.2,36.8,65.5,67.7,68.2,5,6,0,0,53,11.1,9,6,4,89.1,30,5,0,400,12,599,1015,147,0,0,147,0,200,868,74,342,256,32,63,4,50,16,1,364,158,12.1
Clay Matthews,4949,ED,LA,13,7,2,88.9,0,2,26,0,0,30.9,54.5,63.1,63.6,57.6,31.3,6,28,0,0,19,27.3,12,0,3,104.6,8,8,0,18,0,69,614,580,0,0,580,0,0,34,292,253,16,17,25,4,9,42,0,82,35,10.3
Patrick Chung,4957,S,NE,13,10,0,70.5,1,0,19,0,0,56.0,54.9,84.8,48.0,54.8,62.3,0,2,0,0,33,10.3,6,3,1,99.4,31,0,0,326,46,379,642,114,0,0,114,0,28,528,40,223,128,17,42,1,44,2,1,328,169,10.6
Jason McCourty,5127,CB,NE,12,2,0,57.1,0,0,19,0,0,77.6,73.8,15.7,53.4,60.7,78.3,0,0,0,1,45,5.0,2,3,4,63.3,28,0,0,33,262,330,474,17,0,0,17,0,5,457,3,141,157,20,36,0,49,0,0,260,91,9.3
