Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1257.0,1257.0,2010.0,Lions,OL,Jeff Backus,00-0020444,9.0,2001.0,2001.0,Lions,32.0,18.0,0.633,16.2,900.0,286.72,1478.0,62.97748277149958,2010.0,Lions,-0.01,37.50%,jeff backus,jeff backus,jeff backus,11,Jeff Backus,DET,T,100.0,1,11,77.6,75.4,71.2,9,33,678,100.0,100.0,96.3,4,46,4,1102,0,0,1102,1102,716,716,0,0,386,0,2010,85515.2,MISSING,jeff backus
1319.0,1319.0,2010.0,Packers,OL,Bryan Bulaga,00-0027875,0.0,2010.0,2010.0,Packers,21.0,23.0,0.573,14.6,760.0,244.86,1349.0,374.9342265794097,2010.0,Packers,0.18,70.00%,bryan bulaga,bryan bulaga,bryan bulaga,12,Bryan Bulaga,GB,T,100.0,1,12,63.7,60.0,68.6,7,33,652,100.0,100.0,94.9,10,53,13,1088,0,0,32,1088,680,680,0,1056,408,0,2010,69305.6,MISSING,bryan bulaga
150.0,150.0,2010.0,Bengals,OL,Andrew Whitworth,00-0024270,4.0,2006.0,2006.0,Bengals,28.0,55.0,0.352,9.1,350.0,100.88,890.0,145.7746709770495,2010.0,Bengals,-0.06,25.00%,andrew whitworth,andrew whitworth,andrew whitworth,13,Andrew Whitworth,CIN,T,98.9,0,7,90.9,81.3,91.4,9,14,614,98.4,98.2,97.6,7,26,3,1081,0,0,1029,1093,648,660,0,0,433,64,2010,99353.7,MISSING,andrew whitworth
612.0,612.0,2010.0,Chiefs,OL,Barry Richardson,00-0026310,2.0,2008.0,2008.0,Chiefs,24.0,170.0,0.098,1.9,23.0,7.59,295.0,41.730200039235534,2010.0,Chiefs,0.05,58.80%,barry richardson,barry richardson,barry richardson,14,Barry Richardson,KC,T,100.0,2,16,71.2,56.5,83.6,8,32,501,100.0,100.0,95.0,11,45,5,1080,0,0,93,1080,531,531,0,987,549,0,2010,76896.0,MISSING,barry richardson
1448.0,1448.0,2010.0,Patriots,OL,Sebastian Vollmer,00-0027034,1.0,2009.0,2009.0,Patriots,26.0,58.0,0.337,8.7,320.0,93.26,862.0,187.4137962421097,2010.0,Patriots,0.22,82.40%,sebastian vollmer,sebastian vollmer,sebastian vollmer,15,Sebastian Vollmer,NE,T,100.0,0,19,74.0,70.5,73.1,5,31,576,100.0,100.0,96.7,5,37,1,1073,0,0,31,1073,605,605,0,1040,468,2,2010,79402.0,MISSING,sebastian vollmer
807.0,807.0,2010.0,Cowboys,OL,Doug Free,00-0025509,3.0,2007.0,2007.0,Cowboys,26.0,122.0,0.153,4.0,50.0,22.09,470.0,66.05609851368895,2010.0,Cowboys,0.0,37.50%,doug free,doug free,doug free,16,Doug Free,DAL,T,99.9,2,9,83.8,74.5,91.4,7,21,636,99.8,99.9,97.0,10,33,5,1072,0,0,1066,1073,670,671,0,0,402,7,2010,89917.4,MISSING,doug free
551.0,551.0,2010.0,Chargers,OL,Jeromey Clary,00-0024401,4.0,2006.0,2006.0,Chargers,26.0,187.0,0.08,1.3,17.0,5.2,245.0,26.891922285982353,2010.0,Chargers,0.24,56.30%,jeromey clary,jeromey clary,jeromey clary,17,Jeromey Clary,SD,T,99.8,0,27,71.6,63.9,78.0,3,38,590,99.7,99.7,95.2,6,49,8,1071,0,0,0,1073,612,614,0,1053,459,20,2010,76826.79999999999,MISSING,jeromey clary
1879.0,1879.0,2010.0,Texans,OL,Eric Winston,00-0024281,4.0,2006.0,2006.0,Texans,26.0,66.0,0.296,7.9,260.0,76.25,794.0,122.89647513498691,2010.0,Texans,-0.04,37.50%,eric winston,eric winston,eric winston,18,Eric Winston,HST,T,100.0,3,13,79.1,70.9,84.7,4,18,607,100.0,100.0,96.9,8,30,8,1067,0,0,0,1067,645,645,0,1067,422,0,2010,84399.7,MISSING,eric winston
1816.0,1816.0,2010.0,Steelers,OL,Flozell Adams,00-0000045,12.0,1998.0,1998.0,Cowboys,35.0,38.0,0.458,11.4,520.0,157.49,1084.0,17.33282185218514,2010.0,Steelers,0.18,73.70%,flozell adams,flozell adams,flozell adams,19,Flozell Adams,PIT,T,100.0,1,25,70.1,59.6,81.1,5,32,547,100.0,100.0,95.2,6,45,8,1063,0,0,0,1063,582,582,0,1062,481,1,2010,74516.29999999999,MISSING,flozell adams
677.0,677.0,2010.0,Colts,OL,Charlie Johnson,00-0024413,4.0,2006.0,2006.0,Colts,26.0,199.0,0.069,0.9,12.0,3.98,213.0,22.22573637473818,2010.0,Colts,0.06,58.80%,charlie johnson,charlie johnson,charlie johnson,20,Charlie Johnson,IND,T,100.0,0,14,71.4,64.4,70.3,9,43,658,100.0,100.0,95.1,0,58,6,1062,0,0,1062,1062,680,680,0,0,382,0,2010,75826.8,MISSING,charlie johnson
