,position,weighted_avg_block_percent,weighted_avg_declined_penalties,weighted_avg_franchise_id,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_run_block,weighted_avg_hits_allowed,weighted_avg_hurries_allowed,weighted_avg_non_spike_pass_block,weighted_avg_non_spike_pass_block_percentage,weighted_avg_pass_block_percent,weighted_avg_pbe,weighted_avg_penalties,weighted_avg_pressures_allowed,weighted_avg_sacks_allowed,weighted_avg_snap_counts_block,weighted_avg_snap_counts_ce,weighted_avg_snap_counts_lg,weighted_avg_snap_counts_lt,weighted_avg_snap_counts_offense,weighted_avg_snap_counts_pass_block,weighted_avg_snap_counts_pass_play,weighted_avg_snap_counts_rg,weighted_avg_snap_counts_rt,weighted_avg_snap_counts_run_block,weighted_avg_snap_counts_te,Team,Year,Previous_block_percent,Previous_declined_penalties,Previous_franchise_id,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_run_block,Previous_hits_allowed,Previous_hurries_allowed,Previous_non_spike_pass_block,Previous_non_spike_pass_block_percentage,Previous_pass_block_percent,Previous_pbe,Previous_penalties,Previous_pressures_allowed,Previous_sacks_allowed,Previous_snap_counts_block,Previous_snap_counts_ce,Previous_snap_counts_lg,Previous_snap_counts_lt,Previous_snap_counts_offense,Previous_snap_counts_pass_block,Previous_snap_counts_pass_play,Previous_snap_counts_rg,Previous_snap_counts_rt,Previous_snap_counts_run_block,Previous_snap_counts_te
13,G,99.72314480545526,0.39831528279181705,4.0,57.64965904532692,66.84031287605295,53.736301644604886,1.8022462896109106,10.593261131167269,239.67228239069394,99.72314480545526,99.50561572402727,96.12077817890092,3.203369434416366,12.793822703569996,0.39831528279181705,428.6137184115523,0.0,208.383473726434,0.0,429.0092258323305,258.1042920176494,258.4997994384276,204.78860810268753,5.339350180505415,170.5094263939029,9.30004011231448,Bills,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
14,T,99.9002002002002,1.9979979979979978,4.0,63.026459793126456,63.88768768768769,58.93106439773106,2.333667000333667,16.658324991658326,387.7957957957958,99.83366700033368,99.83366700033368,94.29779779779781,7.660326993660328,23.32265598932266,4.330663997330665,696.9743076409744,0.0,0.0,350.630964297631,697.9723056389723,418.11444778111445,419.1124457791125,0.0,344.34434434434434,278.85985985985985,1.330663997330664,Bills,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TE,59.92434554973821,0.0,4.0,51.12033158813264,44.51020942408376,57.14938917975567,0.9105584642233857,2.0143979057591626,21.711169284467715,25.78023560209424,25.952486910994764,94.43110820244328,1.7674520069808026,3.1575043630017454,0.2325479930191972,140.4960732984293,0.0,0.0,0.6780104712041884,272.16273996509597,23.834642233856894,155.50130890052358,0.0,0.0,116.66143106457243,168.8411867364747,Bills,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C,100.0,0.0,5.0,66.6,63.2,65.4,4.0,23.0,611.0,100.0,100.0,97.5,2.0,29.0,2.0,1028.0,1028.0,0.0,0.0,1028.0,651.0,651.0,0.0,0.0,377.0,0.0,Panthers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
17,G,100.0,0.0,5.0,62.13333333333333,67.56666666666666,57.9,1.3333333333333333,19.333333333333332,422.3333333333333,100.0,100.0,97.1,2.3333333333333335,22.333333333333332,1.6666666666666667,715.3333333333334,10.0,352.6666666666667,0.0,715.3333333333334,451.0,451.0,351.6666666666667,0.0,264.3333333333333,0.0,Panthers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
18,T,99.8803764517421,0.7995594713656389,5.0,58.401942330796956,63.253584301161396,54.14825790949139,2.5975170204245095,11.40648778534241,251.89527432919505,99.78067681217462,99.80060072086503,94.3369643572287,3.597917501001202,15.804765718862635,1.8007609130957152,431.94493392070484,0.0,0.0,207.71545855026034,432.34421305566684,269.09791750100123,269.4971966359632,0.6007208650380457,208.4425310372447,162.84701641970366,15.185022026431717,Panthers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TE,62.0729662077597,0.0,5.0,58.744117647058815,77.60531914893615,52.81307884856069,0.47559449311639546,0.0,40.006257822277846,30.490488110137665,30.94449311639549,97.7173967459324,3.071339173967459,0.7265331664580725,0.2509386733416771,237.17459324155192,0.0,0.0,9.371714643304129,406.7415519399249,42.85294117647058,212.4198998748435,0.0,6.348560700876095,194.32165206508134,200.50688360450562,Panthers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,100.0,1.0,6.0,75.2,77.2,71.6,0.0,11.0,585.0,100.0,100.0,99.1,3.0,11.0,0.0,1075.0,1075.0,0.0,0.0,1075.0,635.0,635.0,0.0,0.0,440.0,0.0,Bears,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
21,G,100.0,0.25,6.0,62.325,73.45,57.05,2.0,9.0,292.5,100.0,100.0,97.8,2.25,12.25,1.25,537.5,0.0,268.75,0.0,537.5,317.5,317.5,268.75,0.0,220.0,0.0,Bears,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
22,T,96.89655172413794,0.6896551724137931,6.0,71.99655172413793,71.14137931034483,63.52068965517241,2.0689655172413794,15.517241379310345,405.58620689655174,89.6655172413793,90.31724137931035,98.13793103448276,3.4482758620689653,19.655172413793103,2.0689655172413794,750.8620689655172,0.0,0.0,366.9655172413793,752.4137931034483,441.0,442.55172413793105,0.0,370.17241379310343,309.86206896551727,11.10344827586207,Bears,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TE,76.31096926713948,0.0,6.0,54.6725768321513,35.28094562647754,55.64645390070921,0.3047281323877068,0.3971631205673759,8.09078014184397,9.071252955082741,10.026572104018912,51.84739952718675,0.9702127659574468,0.7018912529550827,0.0,81.90969267139481,0.0,0.0,1.2803782505910166,156.24775413711583,10.173995271867613,84.42080378250591,0.0,0.15508274231678484,71.73569739952718,92.07848699763592,Bears,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
24,C,100.0,0.0,7.0,57.8,69.4,55.15,0.5,8.5,341.0,100.0,100.0,97.95,4.5,11.5,2.5,573.5,498.5,46.5,0.0,573.5,370.5,370.5,21.5,0.0,203.0,7.0,Bengals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
25,G,100.0,0.3333333333333333,7.0,68.46666666666667,70.1,67.13333333333334,2.3333333333333335,19.333333333333332,397.6666666666667,100.0,100.0,97.1,5.666666666666667,24.0,2.3333333333333335,664.3333333333334,0.0,301.3333333333333,45.0,664.3333333333334,434.0,434.0,318.0,0.0,230.33333333333334,0.0,Bengals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
26,T,100.0,0.8,7.0,56.54,55.94,58.88,1.4,15.2,277.6,100.0,100.0,95.92,4.4,20.4,3.8,462.0,0.0,0.0,172.4,462.0,299.6,299.6,0.0,284.6,162.4,5.0,Bengals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TE,58.82616279069767,0.1343669250645995,7.0,54.221770025839795,52.61434108527132,62.31663436692506,0.268733850129199,0.7109173126614987,13.977390180878555,18.733979328165372,17.774224806201552,84.06001291989665,1.3617571059431524,1.3375322997416021,0.35788113695090434,93.71963824289405,0.0,0.0,0.0,186.37435400516796,14.69315245478036,107.34786821705426,0.0,0.0,79.02648578811369,123.60303617571059,Bengals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
28,C,100.0,1.0,8.0,76.9,85.7,69.8,1.0,11.0,638.0,100.0,100.0,98.7,1.0,14.0,2.0,1091.0,1091.0,0.0,0.0,1091.0,694.0,694.0,0.0,0.0,397.0,0.0,Browns,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
29,G,100.0,1.0,8.0,78.75,90.05,70.3,0.5,9.5,638.0,100.0,100.0,98.9,5.5,12.0,2.0,1091.0,0.0,545.5,0.0,1091.0,694.0,694.0,545.5,0.0,397.0,0.0,Browns,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
30,T,100.0,1.3333333333333333,8.0,58.38333333333333,47.65,53.333333333333336,0.8333333333333334,13.333333333333334,213.16666666666666,66.66666666666667,66.66666666666667,64.61666666666666,4.0,15.666666666666666,1.5,367.5,0.0,0.0,181.16666666666666,367.5,231.83333333333334,231.83333333333334,0.0,181.83333333333334,135.66666666666666,4.333333333333333,Browns,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
