,position,weighted_avg_grades,Team
0,DB,70.87407834101383,Cardinals
1,DL,74.32313613371454,Cardinals
2,LB,64.46380662020906,Cardinals
3,DB,71.81298505209121,Falcons
4,DL,63.47205190897123,Falcons
5,LB,62.03323442136497,Falcons
6,DB,74.85869521308827,Ravens
7,DL,66.77728431789205,Ravens
8,LB,65.14143384290985,Ravens
9,DB,63.600619752099156,Bills
10,DL,65.56556247220988,Bills
11,LB,66.39005449591282,Bills
12,DB,65.61475484606613,Panthers
13,DL,69.8959482138576,Panthers
14,LB,72.79802172226533,Panthers
15,DB,61.096703082325405,Bears
16,DL,65.8192242114237,Bears
17,LB,72.49749139203149,Bears
18,DB,68.38146111547526,Bengals
19,DL,64.86326849988822,Bengals
20,LB,68.69324758842443,Bengals
21,DB,62.87287536800785,Browns
22,DL,62.22696230598669,Browns
23,LB,66.37419904567143,Browns
24,DB,72.7930857648099,Cowboys
25,DL,56.5110068059141,Cowboys
26,LB,69.25398340248962,Cowboys
27,DB,75.08286189683861,Broncos
28,DL,69.63028141865844,Broncos
29,LB,68.53377378435518,Broncos
30,DB,70.38775663966848,Lions
31,DL,58.56258519388955,Lions
32,LB,52.99643201542913,Lions
33,DB,62.00591071706331,Packers
34,DL,68.70995316159251,Packers
35,LB,58.54854709418837,Packers
36,DB,73.02110617832038,Texans
37,DL,68.80316879951249,Texans
38,LB,68.42434301521438,Texans
39,DB,61.59983525535421,Colts
40,DL,56.539748609107775,Colts
41,LB,52.14646171693735,Colts
42,DB,65.70500411861615,Jaguars
43,DL,62.59624444444444,Jaguars
44,LB,76.22255480607082,Jaguars
45,DB,72.70431736722058,Chiefs
46,DL,64.51958451369217,Chiefs
47,LB,69.77737397420867,Chiefs
48,DB,63.974048762467675,Rams
49,DL,71.52107591988822,Rams
50,LB,63.31320283215327,Rams
51,DB,63.890538194444446,Dolphins
52,DL,66.75247053959066,Dolphins
53,LB,54.00373502466526,Dolphins
54,DB,69.96740952770394,Vikings
55,DL,67.31799709724237,Vikings
56,LB,58.06178209459459,Vikings
57,DB,73.35242151758952,Patriots
58,DL,70.69435767278407,Patriots
59,LB,68.76340072576465,Patriots
60,DB,60.082819973216,Saints
61,DL,66.12376458902409,Saints
62,LB,54.11229546517064,Saints
63,DB,72.44394043135912,Giants
64,DL,69.85345812807881,Giants
65,LB,51.61853546910755,Giants
66,DB,60.58030303030303,Jets
67,DL,67.9631352282515,Jets
68,LB,53.46268011527378,Jets
