,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
28,Bryant McKinnie,MIN,T,100.0,0,18,78.6,74.8,76.2,9,19,557,100.0,100.0,96.4,3,34,6,1023,0,0,1023,1023,590,590,0,0,433,0,Vikings,2010,80407.79999999999,
29,Jason Smith,SL,T,100.0,1,26,65.6,62.2,70.3,6,32,599,100.0,100.0,96.0,9,43,5,1022,0,0,0,1022,631,631,0,1016,391,6,Rams,2010,67043.2,
30,Marc Colombo,DAL,T,99.9,1,9,56.5,52.9,65.8,11,40,587,99.8,99.8,94.5,9,58,7,997,0,0,0,998,617,618,0,994,380,4,Cowboys,2010,56387.0,
31,Jordan Gross,CAR,T,100.0,0,5,84.3,77.9,82.5,8,15,550,100.0,100.0,96.8,4,29,6,988,0,0,988,988,574,574,0,0,414,0,Panthers,2010,83288.4,
32,Eugene Monroe,JAX,T,100.0,0,15,61.9,57.2,66.2,13,29,491,100.0,100.0,94.7,9,47,5,988,0,0,988,988,518,518,0,0,470,0,Jaguars,2010,61157.2,
33,Donald Penn,TB,T,99.9,1,30,73.3,67.4,70.9,8,37,564,99.8,99.8,94.9,4,51,6,982,0,0,982,983,590,591,0,0,392,1,Buccaneers,2010,72053.9,
34,Anthony Davis,SF,T,100.0,1,28,59.7,58.1,67.2,11,37,561,100.0,100.0,93.8,11,59,11,979,0,0,0,979,590,590,0,979,389,0,49ers,2010,58446.3,
35,Levi Brown,ARZ,T,100.0,1,1,55.3,49.4,60.2,10,50,621,100.0,100.0,93.6,6,70,10,960,0,0,959,960,643,643,0,0,317,1,Cardinals,2010,53088.0,
36,Joe Thomas,CLV,T,99.9,0,8,82.2,81.7,74.7,7,12,529,99.8,99.8,97.3,2,24,5,957,0,0,957,958,557,558,0,0,400,1,Browns,2010,78747.6,
37,Michael Roos,TEN,T,100.0,0,31,73.1,68.6,72.5,4,26,513,100.0,100.0,95.3,4,39,9,953,0,0,953,953,545,545,0,0,408,0,Titans,2010,69664.29999999999,
38,David Stewart,TEN,T,100.0,2,31,72.7,71.4,74.9,2,25,513,100.0,100.0,96.6,7,31,4,953,0,0,0,953,545,545,0,953,408,0,Titans,2010,69283.1,
39,Langston Walker,OAK,T,99.2,0,23,72.7,58.0,87.9,4,34,480,98.4,98.5,95.0,7,43,5,951,0,0,0,959,520,528,0,901,431,58,Raiders,2010,69719.3,
40,Demetress Bell,BUF,T,100.0,0,4,69.0,72.8,64.8,10,29,566,100.0,100.0,95.8,5,43,4,950,0,0,950,950,587,587,0,0,363,0,Bills,2010,65550.0,
41,Jonathan Scott,PIT,T,100.0,0,25,62.2,66.5,56.0,5,27,495,100.0,100.0,95.6,11,38,6,938,0,11,847,938,526,526,0,80,412,0,Steelers,2010,58343.600000000006,
42,Winston Justice,PHI,T,99.9,2,24,68.3,68.3,67.2,6,26,575,99.8,99.8,96.0,10,39,7,920,0,0,0,921,612,613,0,920,308,1,Eagles,2010,62904.299999999996,
43,J'Marcus Webb,CHI,T,99.9,2,6,53.1,37.0,71.1,1,49,510,99.8,99.8,92.7,10,62,12,920,0,0,0,921,532,533,0,915,388,6,Bears,2010,48905.1,
44,Jared Veldheer,OAK,T,99.5,0,23,60.5,58.0,69.6,7,27,452,99.1,99.2,94.5,15,42,8,878,115,0,741,882,490,494,0,12,388,14,Raiders,2010,53361.0,
45,Trent Williams,WAS,T,100.0,0,32,63.4,62.1,61.4,11,24,562,100.0,100.0,94.9,6,46,11,870,0,0,870,870,589,589,0,0,281,0,Commanders,2010,55158.0,
46,Jason Peters,PHI,T,100.0,0,24,82.6,80.7,77.8,2,27,551,100.0,100.0,97.0,6,31,2,857,0,0,856,857,586,586,0,0,271,1,Eagles,2010,70788.2,
47,Damien Woody,NYJ,T,99.8,1,22,82.2,71.8,87.5,2,14,418,99.5,99.5,96.9,4,21,5,837,0,0,0,839,439,441,0,823,398,16,Jets,2010,68965.8,
48,Jammal Brown,WAS,T,100.0,1,32,66.1,63.4,68.6,4,35,521,100.0,100.0,95.5,6,43,4,833,0,0,0,833,550,550,0,833,283,0,Commanders,2010,55061.299999999996,
49,Duane Brown,HST,T,100.0,1,13,76.9,72.0,79.6,6,19,470,100.0,100.0,96.3,5,30,5,825,0,0,825,825,499,499,0,0,326,0,Texans,2010,63442.50000000001,
50,Gosder Cherilus,DET,T,100.0,1,11,72.6,70.8,69.5,5,27,519,100.0,100.0,96.5,5,34,2,820,0,0,0,820,551,551,0,820,269,0,Lions,2010,59531.99999999999,
51,David Diehl,NYG,T,100.0,0,21,56.6,52.0,58.0,11,26,416,100.0,100.0,93.6,3,45,8,780,0,102,677,780,438,438,0,1,342,0,Giants,2010,44148.0,
52,Vernon Carey,MIA,T,100.0,1,17,69.5,66.4,70.5,2,23,433,100.0,100.0,96.2,7,29,4,764,0,0,2,764,451,451,0,762,313,0,Dolphins,2010,53098.0,
53,Marcus McNeill,SD,T,100.0,1,27,80.7,70.6,82.9,7,22,391,100.0,100.0,96.0,2,30,1,693,0,0,684,693,402,402,0,9,291,0,Chargers,2010,55925.1,
54,Garry Williams,CAR,T,99.9,1,5,63.0,65.0,61.8,3,24,376,99.7,99.7,95.3,7,31,4,689,0,0,1,690,391,392,0,685,298,4,Panthers,2010,43470.0,
55,Russell Okung,SEA,T,100.0,0,29,69.9,69.9,66.7,5,15,409,100.0,100.0,96.6,4,24,4,671,0,0,671,671,429,429,0,0,242,0,Seahawks,2010,46902.9,
56,Ryan Harris,DEN,T,100.0,2,10,69.5,66.9,75.1,4,18,390,100.0,100.0,96.4,5,25,3,655,0,0,0,655,414,414,0,654,241,1,Broncos,2010,45522.5,
57,Tyler Polumbus,SEA,T,100.0,0,29,64.3,65.7,58.7,5,17,380,100.0,100.0,95.8,3,27,5,637,0,200,409,637,402,402,0,28,235,0,Seahawks,2010,40959.1,
58,Jordan Black,JAX,T,98.6,1,15,68.9,42.6,87.0,10,23,310,97.5,97.3,93.1,6,38,5,636,0,0,0,645,325,334,0,612,311,33,Jaguars,2010,44440.50000000001,
59,Dennis Roland,CIN,T,98.1,0,7,64.3,51.5,76.6,7,16,319,96.4,96.5,94.2,3,30,7,633,0,0,28,645,335,347,0,565,298,52,Bengals,2010,41473.5,
60,Joe Staley,SF,T,100.0,0,28,68.6,66.4,67.1,6,19,321,100.0,100.0,95.5,5,27,2,558,0,0,558,558,340,340,0,0,218,0,49ers,2010,38278.799999999996,
61,John St. Clair,CLV,T,100.0,2,8,65.8,61.5,72.9,5,16,320,100.0,100.0,95.8,8,24,3,548,0,0,0,548,341,341,3,545,207,0,Browns,2010,36058.4,
62,Brandon Keith,ARZ,T,100.0,0,1,70.3,61.7,74.2,6,16,339,100.0,100.0,95.0,1,28,6,526,0,0,0,526,350,350,0,526,176,0,Cardinals,2010,36977.799999999996,
63,James Lee,TB,T,100.0,1,30,60.4,64.4,67.4,0,17,270,100.0,100.0,96.1,6,19,2,504,0,0,0,504,279,279,0,498,225,6,Buccaneers,2010,30441.6,
64,Wayne Hunter,NYJ,T,98.6,2,22,55.0,56.4,60.8,6,16,242,97.2,97.3,93.8,7,26,4,504,0,0,0,511,254,261,0,445,250,63,Jets,2010,28105.0,
65,Jeremy Trueblood,TB,T,99.6,0,30,58.6,51.1,72.6,6,24,298,99.3,99.4,94.3,4,32,2,494,0,0,1,496,315,317,0,491,179,4,Buccaneers,2010,29065.600000000002,
66,Mansfield Wrotto,BUF,T,100.0,0,4,64.2,64.8,66.9,5,16,258,100.0,100.0,95.5,5,22,1,464,0,0,0,464,267,267,0,464,197,0,Bills,2010,29788.800000000003,
67,Mario Henderson,OAK,T,100.0,0,23,69.9,76.8,63.3,2,8,234,100.0,100.0,97.4,4,11,1,450,0,0,321,450,253,253,0,129,197,0,Raiders,2010,31455.000000000004,
