index,Position,weighted_avg_avg_depth_of_target,weighted_avg_avoided_tackles,weighted_avg_caught_percent,weighted_avg_contested_catch_rate,weighted_avg_contested_receptions,weighted_avg_contested_targets,weighted_avg_declined_penalties,weighted_avg_drop_rate,weighted_avg_drops,weighted_avg_first_downs,weighted_avg_franchise_id,weighted_avg_fumbles,weighted_avg_grades_hands_drop,weighted_avg_grades_hands_fumble,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_pass_route,weighted_avg_inline_rate,weighted_avg_interceptions,weighted_avg_longest,weighted_avg_pass_block_rate,weighted_avg_pass_blocks,weighted_avg_pass_plays,weighted_avg_route_rate,weighted_avg_routes,weighted_avg_slot_rate,weighted_avg_targets,weighted_avg_touchdowns,weighted_avg_wide_rate,weighted_avg_yards,weighted_avg_yards_after_catch,weighted_avg_yards_after_catch_per_reception,weighted_avg_yards_per_reception,weighted_avg_yprr,Team,Year,Value_cap_space,Value_draft_data,Previous_AV,Current_AV,Previous_PFF,Current_PFF,Total DVOA,win-loss-pct,Net EPA
0,WR,9.53045871559633,3.841743119266055,66.19119266055046,43.876467889908255,6.111926605504587,13.670642201834864,0.0756880733944954,5.814449541284404,1.5288990825688074,23.7605504587156,1.0,0.5504587155963303,74.64266055045871,74.77091743119266,63.82844036697248,39.52788990825688,63.74238532110091,0.1703669724770642,1.7174311926605506,53.56146788990826,0.3217431192660551,1.7412844036697248,415.2477064220183,93.53270642201836,387.8243119266055,44.71871559633028,69.34357798165138,2.262385321100917,54.76408256880734,511.1339449541284,217.48256880733945,4.649036697247706,11.477798165137614,1.2702247706422016,Cardinals,2019,8.67162592986185,241.8706936428325,11.0,25.0,64.32167874396136,63.82844036697248,-5.80%,0.3125,-0.081
1,WR,11.029222108495391,4.944216990788127,66.50762538382804,50.81422722620266,11.6453428863869,23.424769703172977,0.4017400204708291,4.154708290685773,3.1934493346980557,43.6560900716479,2.0,0.3121801432958034,80.24048106448312,54.11315250767657,74.70522006141249,4.143500511770727,74.6849539406346,0.0,2.3326509723643807,35.77942681678608,0.0479017400204708,0.0598771750255885,465.8398157625384,93.6381780962129,434.7543500511771,30.566581371545546,90.8336745138178,4.080348004094166,69.22517911975434,796.8561924257932,194.38075742067556,3.367809621289662,12.537359263050153,1.6972210849539406,Falcons,2019,6.8384697130712,257.7773728766876,31.0,29.0,74.96573462125063,74.70522006141249,-5.00%,0.4375,-0.03
2,WR,11.64825119236884,3.918124006359301,66.21200317965024,49.995389507154215,3.636724960254372,6.804451510333863,0.6406995230524642,6.9439586645469,1.8855325914149443,17.55007949125596,3.0,0.0,66.17400635930048,75.78529411764706,63.605484896661366,0.0,63.30524642289348,0.0,1.021462639109698,51.81240063593005,0.0,0.0,284.1995230524642,95.57869634340224,272.1502384737679,37.40111287758347,40.62639109697933,4.12241653418124,62.52496025437201,342.4594594594595,119.29968203497616,3.820349761526232,12.217567567567569,1.183537360890302,Ravens,2019,6.551540913921359,300.29170599676274,20.0,19.0,64.52531572904708,63.605484896661366,41.50%,0.875,0.292
3,WR,11.887041564792174,5.166870415647922,61.15421760391198,27.546821515892415,3.9877750611246943,10.95843520782396,0.0,7.696088019559902,3.790953545232274,32.52933985330073,4.0,0.0,62.947432762836186,79.70476772616136,70.55482885085574,30.61265281173594,70.12707823960879,0.0,2.356356968215159,46.47249388753056,0.4284229828850856,1.4614914425427872,413.6735941320293,94.7437652811736,391.03911980440097,44.74816625916871,78.93154034229829,4.1552567237163816,55.06968215158924,665.0941320293399,220.7927872860636,5.159841075794621,13.22059902200489,1.5080867970660148,Bills,2019,9.845908607863976,121.31797568746263,14.0,20.0,63.60059016393442,70.55482885085574,2.70%,0.625,0.061
4,WR,12.476623992413469,4.942152678994784,55.19307728781413,34.73281175912755,6.817923186344239,17.166903745851116,0.0,12.009056424845898,5.524893314366999,33.92935040303461,5.0,0.5756282598387862,52.45343764817449,66.1235656709341,63.42802275960171,60.47430061640589,63.12223802750118,0.0575628259838786,3.1740161213845424,39.69653864390707,0.2145566619250829,1.1659554291133238,532.4717875770507,96.04404931247036,511.4556661925083,38.42574679943101,85.96396396396396,3.051683262209578,61.23338074917022,618.8752963489806,188.36130867709812,3.478378378378378,11.462873399715503,1.152868658131816,Panthers,2019,4.782146652497343,303.9732667610152,24.0,16.0,67.43008658008658,63.42802275960171,-26.90%,0.3125,-0.146
5,WR,10.926975339708102,2.7176648213387016,61.99375943633618,39.63135379969804,10.944136889783591,21.09511826874685,0.8324106693507801,6.450075490689481,2.93658782083543,34.07800704579768,6.0,0.0,69.25269250125818,70.00367388022144,67.37674886763966,47.96607951685958,67.5577755410166,1.409159536990438,2.4881731253145447,42.62757926522396,0.5881731253145446,1.6044287871162557,456.7544036235531,93.94001006542528,429.4675390035229,42.82913940613991,86.35933568193256,3.6411675893306494,55.3009562154001,641.608454957222,170.07800704579768,3.362355309511827,11.500503271263211,1.3309260191243082,Bears,2019,15.53134962805526,186.5775413039575,20.0,22.0,67.24123396456935,67.37674886763966,-2.10%,0.5,-0.032
6,WR,11.070390509144834,6.195254572417202,55.99545229856648,36.12649530400395,8.63964409293129,21.09639149777558,0.0350963914977755,11.101433514582304,5.161641127039051,31.77310924369748,7.0,1.22194760257044,55.75358378645575,46.66495304003954,67.35106277805241,64.66940187839842,66.54028670291646,0.4870983687592685,3.314384577360356,43.9327731092437,0.6736529906080079,2.660899653979239,454.9391992090954,93.81344537815126,426.5773603559071,40.865892239248645,88.69599604547702,2.290657439446367,58.52382600098863,656.1423628274839,225.5921898171033,4.419673751853683,12.839347503707366,1.4524023727137914,Bengals,2019,6.896918172157279,294.98778324828857,21.0,19.0,68.01632426429761,67.35106277805241,-25.20%,0.125,-0.193
7,WR,12.68450226244344,7.672511312217194,56.107975113122166,40.37030542986425,11.180429864253394,23.290158371040725,1.61368778280543,8.17222850678733,4.4304298642533935,36.63235294117647,8.0,0.0,64.89869909502262,69.36549773755657,68.64106334841628,0.0,69.7569004524887,0.0,5.581447963800905,66.10237556561086,0.0,0.0,480.7873303167421,91.82856334841628,440.39592760180994,38.36238687782805,96.27149321266968,3.696832579185521,61.39095022624434,814.1736425339367,278.01527149321265,4.488009049773756,14.229864253393664,1.6159785067873305,Browns,2019,18.618490967056324,197.0795997183958,19.0,25.0,68.52520683949255,68.64106334841628,-10.10%,0.375,-0.076
8,WR,12.828708133971292,7.359914938862307,64.59580010632641,47.85778841041999,9.892078681552366,20.39978734715577,0.291866028708134,10.85023923444976,8.169590643274853,41.953216374269005,9.0,0.53056884635832,46.4996278575226,65.02190324295587,73.85826687931953,23.92658160552897,74.5120148856991,0.3715576820839978,2.042530568846358,56.55236576289208,0.1587453482190324,0.6182881446039341,466.7767145135566,93.8671451355662,440.1105794790005,36.806592238171184,89.55821371610845,4.987772461456672,62.82185007974481,906.2599681020732,261.01648059542794,4.792663476874004,15.614885699096224,1.9633864965443912,Cowboys,2019,11.89691817215728,386.4755539120872,22.0,28.0,70.61586242299795,73.85826687931953,17.10%,0.5,0.137
9,WR,10.551401869158878,7.986760124610591,60.25973520249221,46.73169781931464,7.1152647975077885,13.25,0.4485981308411215,6.796495327102805,2.80607476635514,30.896417445482864,10.0,0.927570093457944,68.05334890965732,52.94345794392523,70.01066978193147,35.88551401869159,68.01651090342679,0.5489875389408101,1.0552959501557633,47.730529595015575,0.3011682242990655,0.5584112149532711,430.7328660436137,92.27305295950156,399.63317757009344,40.2313862928349,72.31308411214954,3.0171339563862927,58.57866043613707,631.7204049844237,212.17445482866043,4.310591900311526,13.059813084112148,1.4093457943925234,Broncos,2019,2.0031880977683314,148.26879660946528,19.0,16.0,66.0795814479638,70.01066978193147,-9.00%,0.4375,-0.053
