,position,weighted_avg_grades,Team
0,DB,62.37681369004579,Cardinals
1,DL,57.367519230769226,Cardinals
2,LB,50.62741500269833,Cardinals
3,DB,67.03543878273177,Falcons
4,DL,66.12978813559322,Falcons
5,LB,72.59752683154457,Falcons
6,DB,72.17488274300501,Ravens
7,DL,71.76923674499902,Ravens
8,LB,74.78095919828203,Ravens
9,DB,71.5277533707014,Bills
10,DL,62.709140806417565,Bills
11,LB,69.63376798561151,Bills
12,DB,64.35167797888386,Panthers
13,DL,67.13394714038128,Panthers
14,LB,69.47380560131796,Panthers
15,DB,66.06838249851513,Bears
16,DL,55.57486069438491,Bears
17,LB,68.95686440677967,Bears
18,DB,61.041556260496364,Bengals
19,DL,66.44136714443219,Bengals
20,LB,62.69798627002289,Bengals
21,DB,65.87248569846835,Browns
22,DL,70.16985228290064,Browns
23,LB,69.35946063505872,Browns
24,DB,68.2053826311264,Cowboys
25,DL,73.56580355232185,Cowboys
26,LB,67.64601910828026,Cowboys
27,DB,62.67320523648648,Broncos
28,DL,60.873809523809534,Broncos
29,LB,60.51651931130758,Broncos
30,DB,61.113805844810216,Lions
31,DL,68.20124248496994,Lions
32,LB,63.11163563829787,Lions
33,DB,63.38271583663623,Packers
34,DL,67.02791812649825,Packers
35,LB,59.982026282323005,Packers
36,DB,68.900263239393,Texans
37,DL,65.55499559471365,Texans
38,LB,64.20426829268293,Texans
39,DB,64.30416364952931,Colts
40,DL,68.94668783068782,Colts
41,LB,62.102942507922144,Colts
42,DB,67.74907569566064,Jaguars
43,DL,60.84233696770212,Jaguars
44,LB,73.96140744060959,Jaguars
45,DB,69.53133422182734,Chiefs
46,DL,63.62657196969697,Chiefs
47,LB,65.06130136986302,Chiefs
48,DB,61.11195109350784,Rams
49,DL,67.22987012987014,Rams
50,LB,65.25570321151716,Rams
51,DB,65.41322328718495,Chargers
52,DL,65.38831569664903,Chargers
53,LB,62.94220442769665,Chargers
54,DB,65.84901819491984,Raiders
55,DL,67.80494942973961,Raiders
56,LB,70.5,Raiders
57,DB,66.78350244926521,Dolphins
58,DL,73.66748086037185,Dolphins
59,LB,66.09622641509434,Dolphins
60,DB,65.92035999320767,Vikings
61,DL,58.75219917012448,Vikings
62,LB,73.84366608289551,Vikings
63,DB,63.21756195167,Patriots
64,DL,61.12739303043671,Patriots
65,LB,74.59879893238433,Patriots
66,DB,68.17481203007519,Saints
67,DL,63.85815085158151,Saints
68,LB,74.71316279069767,Saints
69,DB,63.55483392095008,Giants
70,DL,58.239481332439084,Giants
71,LB,72.88627450980391,Giants
72,DB,75.47391886720246,Jets
73,DL,68.9841794310722,Jets
74,LB,81.3041478439425,Jets
75,DB,62.48356654734787,Eagles
76,DL,73.16460211681694,Eagles
77,LB,66.22082840236686,Eagles
78,DB,61.771120840630466,Steelers
79,DL,75.9792081065866,Steelers
80,LB,62.6320019020447,Steelers
81,DB,66.49077775911304,Seahawks
82,DL,64.15235661555934,Seahawks
83,LB,70.47770419426048,Seahawks
84,DB,71.8621703691865,49ers
85,DL,68.84616479519215,49ers
86,LB,75.85353535353535,49ers
87,DB,67.19679355281207,Buccaneers
88,DL,61.55881716552471,Buccaneers
89,LB,62.49386753883892,Buccaneers
90,DB,61.002246093749996,Titans
91,DL,61.56007579135087,Titans
92,LB,67.34558510638298,Titans
93,DB,64.66060766649001,Commanders
94,DL,55.57620698192623,Commanders
95,LB,60.325597269624566,Commanders
0,OL,60.5057991513437,Cardinals
1,OL,73.46939968124667,Falcons
2,OL,69.45810767760433,Ravens
3,OL,64.61832835820896,Bills
4,OL,60.058625954198476,Panthers
5,OL,57.26219318382483,Bears
6,OL,62.898557341124906,Bengals
7,OL,62.448306463540895,Browns
8,OL,66.7265013258462,Cowboys
9,OL,71.57526664214785,Broncos
10,OL,77.31639156021242,Lions
11,OL,62.82963144963146,Packers
12,OL,60.55094463610974,Texans
13,OL,68.87294711203897,Colts
14,OL,55.31290697674419,Jaguars
15,OL,67.00676151570644,Chiefs
16,OL,68.08044813278009,Rams
17,OL,61.21969644705071,Chargers
18,OL,71.22467458970006,Raiders
19,OL,62.93936151855047,Dolphins
20,OL,66.50819797439328,Vikings
21,OL,63.171238095238095,Patriots
22,OL,62.25900862798173,Saints
23,OL,48.37707623318386,Giants
24,OL,53.884059014033824,Jets
25,OL,72.93893306825711,Eagles
26,OL,60.37901950448076,Steelers
27,OL,57.401931166347985,Seahawks
28,OL,67.29033044007917,49ers
29,OL,61.33594328983406,Buccaneers
30,OL,60.63741835682365,Titans
31,OL,65.43299675441759,Commanders
0,RB/FB,79.64299516908211,Cardinals
1,RB/FB,73.65626168224298,Falcons
2,RB/FB,70.67610294117648,Ravens
3,RB/FB,71.23255813953489,Bills
4,RB/FB,70.95629139072848,Panthers
5,RB/FB,73.11398963730569,Bears
6,RB/FB,69.20306122448979,Bengals
7,RB/FB,68.57958015267175,Browns
8,RB/FB,72.95415778251599,Cowboys
9,RB/FB,70.207805907173,Broncos
10,RB/FB,77.67504105090312,Lions
11,RB/FB,76.43326653306615,Packers
12,RB/FB,70.21926406926407,Texans
13,RB/FB,68.89478260869566,Colts
14,RB/FB,71.7208430913349,Jaguars
15,RB/FB,74.04478417266188,Chiefs
16,RB/FB,75.03847826086958,Rams
17,RB/FB,57.571573604060916,Chargers
