,Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
0,Cardinals,1007.1493314246183,87.56527154546343,363.6523919664882,59.18197565597111,5.104187141154546,99.19477257278142,69.59801554789942,0,2.3093495919704456
1,Falcons,112.12344841784387,55.61275352045024,375.939302553303,46.21639861324638,51.298994203184854,144.98644517724853,50.36954493895659,0,1.4829154915564626
2,Ravens,427.75769574888176,104.03056546845389,307.37329619241626,246.01446737960822,0.0,161.06590634834964,112.64062283697784,0,0.5682696849501347
3,Bills,384.84691516880974,168.20565203792177,164.54251461399164,69.80755536234936,0.0,312.1248983349785,0.40362144807916406,0,0.0
4,Panthers,354.96655732397045,319.28385494275113,364.78007217508963,64.82147343885343,161.67,58.588915074159715,41.432470974500774,0,0.0
5,Bears,538.9369702748028,83.10989366243825,258.9013346992318,103.73392553611247,0.0,25.55668152155038,34.738057759293014,0,2.3253228828955277
6,Bengals,87.31211017128484,187.83131103151467,373.67719751751656,226.48051398296488,0.0,49.69553238155744,22.394023333643524,0,7.069642130410847
7,Browns,868.2730934799189,184.57249332457346,298.4677111147141,152.2568143499837,0.0,4.743658681106876,150.47523071115518,0,7.59
8,Cowboys,10.774802011563658,338.8738865001334,616.2586071805896,20.973453756723586,7.245216561442907,143.78846034488714,4.432221476569001,0,0.0
9,Broncos,203.86754302700655,74.07359984579608,172.97848871026417,302.4493814689656,137.25888985359447,611.3163807219725,40.77356046857335,0,0.0
10,Lions,241.82032850335426,135.9575063703243,38.206575163027736,424.7419401323992,6.140675076945467,54.08968507331589,15.878715202680793,0,3.598681731340536
11,Packers,32.10829594788636,39.620541116883224,63.83757089206642,106.31584411332898,19.733218468418308,433.96613045630454,73.49534748349971,0,8.525964549052297
12,Texans,264.63872301187615,89.744001211438,296.47803869983204,38.92993801669756,7.961120976196102,59.803413800434946,191.80454711305924,0,25.685342582590103
13,Colts,28.637260969065203,52.46596000800609,221.90261754661367,180.68493112587583,6.905254009829189,185.3243790922201,224.9992787156806,0,0.0
14,Jaguars,23.629297351822643,405.6175313863656,206.07611452927839,89.92288686890174,163.6824416663397,97.30661529384314,447.4612160149861,0,1.187622722657749
15,Chiefs,277.3627541011573,45.71968421132788,357.0897614064427,48.66648011842293,49.509215192852714,196.20898444637703,244.15094945676816,0,6.393721078152329
16,Raiders,108.98623843011296,246.2659165562298,155.70804584787706,17.830396514347623,81.78356789758031,389.0119408596669,50.984852640826304,0,7.030379766973972
17,Chargers,59.48316015550839,181.73410639568485,361.9811047785534,151.79614437231444,43.96,301.0564001230649,131.86020387136037,0,0.0
18,Rams,903.2250192909834,284.00788090618505,267.97609763592686,119.93434530241825,4.030982233838345,20.64484214658417,30.345304517803775,0,2.729665453492102
19,Dolphins,320.1291931813373,105.71603979800564,235.47906090506143,185.3943321620129,17.058642041823276,196.85827532537016,201.48582673305555,0,1.7684309154903706
20,Vikings,38.631312451039506,202.37978781395447,332.8196315357278,167.84708279777337,4.55,58.80589214079292,18.566345174378462,0,1.28
21,Patriots,17.553683991426002,224.01292262668008,321.97129074101605,22.73152602285065,0.0,65.0319552595011,73.70419144650603,0,35.308059976651585
22,Saints,104.30789254874504,59.71348434448601,188.85101134483565,11.009568614135182,0.0,321.941174271548,301.2288794599374,0,2.0777744859501968
23,Giants,563.4691660942508,651.6045204810964,182.37390562589985,190.6467299824145,0.0,78.48445434189638,122.15688214777187,0,8.095637434824786
24,Jets,452.81492004197,60.960932014217654,130.09719557110628,50.95004374932228,34.84565749314055,105.27581929187076,249.60519876831256,0,1.1660759129805895
25,Eagles,472.0238642666043,126.67344347435014,416.6985039044378,193.0899362945944,261.3053614879449,131.01539436739358,57.269893020968034,0,8.326368407274169
26,Steelers,94.99127008534208,56.06378206449026,255.76927999476072,84.08744988929365,49.17278924470634,68.35789750233944,4.242014680543478,0,0.0
27,49ers,41.11170856959293,44.756630370993946,393.1089002316201,17.069037447079417,1.7167734195695952,477.3034057230002,122.29274910240294,0,31.04679892284908
28,Seahawks,23.007180250862003,294.91140949580694,123.38780004781798,51.03713160229071,6.87434174501894,401.135860936134,74.40185284388606,0,10.497891365974699
29,Buccaneers,564.7181220077592,141.19127442165362,387.62608776194077,208.76790678924522,22.14241356548058,45.19256148322446,168.20822525108127,0,18.028809674625798
30,Titans,554.2843727876759,89.26561885151466,122.73133957915506,386.46256247043175,6.893939903474529,8.278149463108079,5.08,0,0.268409160814789
31,Commanders,329.07241387987153,171.672828344364,132.11951260761617,92.60890607621889,55.41950413102911,76.1322567286021,195.53832771472105,0,2.7541797684434055
