,TEAM,TOTAL DVOA,W-L,win-loss-pct,Abbr,Net
0,DAL,30.90%,12-5,0.7058823529411765,DAL,0.173
1,BUF,27.70%,11-6,0.6470588235294118,BUF,0.202
2,TB,27.60%,13-4,0.7647058823529411,TB,0.205
3,NE,23.30%,10-7,0.5882352941176471,NE,0.133
4,SF,19.50%,10-7,0.5882352941176471,SF,0.081
5,KC,17.50%,12-5,0.7058823529411765,KC,0.102
6,SEA,11.80%,7-10,0.4117647058823529,SEA,0.018
7,GB,11.50%,13-4,0.7647058823529411,GB,0.116
8,ARI,10.90%,11-6,0.6470588235294118,ARI,0.141
9,IND,9.80%,9-8,0.5294117647058824,IND,0.06
10,LAC,8.50%,9-8,0.5294117647058824,LAC,0.044
11,CLE,4.70%,8-9,0.47058823529411764,CLE,-0.005
12,NO,4.40%,9-8,0.5294117647058824,NO,0.038
13,PHI,3.80%,9-8,0.5294117647058824,PHI,0.052
14,MIN,2.70%,8-9,0.47058823529411764,MIN,0.022
15,CIN,0.00%,10-7,0.5882352941176471,CIN,0.077
16,DEN,-1.70%,7-10,0.4117647058823529,DEN,0.016
17,BAL,-2.10%,8-9,0.47058823529411764,BAL,-0.069
18,TEN,-3.00%,12-5,0.7058823529411765,TEN,0.043
19,LV,-5.20%,10-7,0.5882352941176471,LV,-0.062
20,WAS,-10.00%,7-10,0.4117647058823529,WAS,-0.116
21,CHI,-10.00%,6-11,0.35294117647058826,CHI,-0.119
22,PIT,-10.40%,9-7-1,0.5294117647058824,PIT,-0.057
23,MIA,-11.10%,9-8,0.5294117647058824,MIA,-0.019
24,NYJ,-18.30%,4-13,0.23529411764705882,NYJ,-0.211
25,CAR,-24.10%,5-12,0.29411764705882354,CAR,-0.101
26,HOU,-24.20%,4-13,0.23529411764705882,HOU,-0.211
27,DET,-27.10%,3-13-1,0.17647058823529413,DET,-0.163
28,ATL,-29.60%,7-10,0.4117647058823529,ATL,-0.156
29,NYG,-29.60%,4-13,0.23529411764705882,NYG,-0.169
30,JAX,-31.30%,3-14,0.17647058823529413,JAX,-0.19
