,Team,Players,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS,Total
0,Steelers,53,15.864693698630136,4.414218630136986,4.392819178082192,1.2797145205479452,6.067798356164383,6.865271780821917,9.716705753424657,16.08404164383562,3.3498723287671237,68.03513589041096
1,Broncos,55,1.4358197260273973,6.7688389041095895,7.297135890410959,2.8462619178082194,6.515861369863013,6.783561095890411,8.074541917808219,15.839517260273972,3.2162098630136984,58.77774794520548
2,Cowboys,57,9.92876712328767,4.808066849315069,16.39614520547945,4.431225753424658,17.220606027397263,20.516577534246576,5.674368219178082,10.40129698630137,2.47596,91.85301369863014
3,Falcons,55,15.212328767123287,4.19058301369863,3.025484383561644,5.737153424657534,13.502645479452054,16.023358356164383,13.145037260273973,5.325561095890411,1.1509884931506849,77.3131402739726
4,Lions,56,7.603545753424658,2.9337704109589042,2.3545950684931505,0.341546301369863,13.420097534246574,5.7100564383561645,3.6548219178082193,4.960506301369863,0.9497687671232876,41.92870849315069
5,Team,56,1.451065205479452,1.1610032876712328,5.888784109589041,0.8539073972602739,17.70530794520548,14.037231232876712,2.478584109589041,13.474236712328766,2.1384498630136988,59.1885698630137
6,Dolphins,55,6.51001698630137,1.6007994520547946,13.520397808219178,5.647446027397261,7.876895342465754,12.735916164383562,5.904319452054795,25.18183726027397,2.915294246575342,81.89292273972603
7,49ers,55,17.863539178082192,3.615230684931507,4.418313424657534,4.308762739726028,12.485081643835617,16.429726575342464,5.05985205479452,9.004203835616439,2.5262087671232876,75.71091890410959
8,Jets,55,4.327658630136987,2.370080547945206,7.602804383561644,1.1438016438356164,10.397631232876712,11.309843287671233,5.002739178082192,5.061965479452055,1.098535890410959,48.315060273972605
9,Chargers,53,4.909598356164384,4.574808219178082,18.55429315068493,3.8740575342465755,10.34572493150685,11.017377534246576,17.370552876712328,15.210638904109588,1.2914761643835617,87.55370301369862
10,Browns,56,4.046270684931507,6.568597808219179,10.09518904109589,8.34808602739726,16.20545315068493,10.381198356164385,3.558449315068493,8.87499616438356,1.2225260273972602,69.30076657534246
11,Rams,54,11.789041095890411,2.39648,4.46986301369863,3.9698334246575344,10.577604383561644,13.872212602739726,5.625064657534247,11.097204383561644,2.9517808219178083,66.74908438356164
12,Bengals,61,5.348875068493151,5.78795890410959,10.856210958904109,4.55812602739726,11.296939726027396,19.799011506849315,2.0010783561643835,23.18407890410959,1.737494794520548,84.56977424657535
13,Raiders,54,14.04109589041096,3.586061917808219,3.0349517808219177,4.760967123287671,14.36590794520548,15.544632876712328,6.713132054794521,5.589762191780822,3.3193917808219178,70.95590356164384
14,Colts,57,12.065265205479452,3.8395386301369863,8.380243287671233,5.435538082191781,22.129353424657534,21.149237260273974,7.024649315068493,11.533972602739725,1.9744284931506848,93.53222630136986
15,Patriots,57,2.5455802739726026,3.027544109589041,9.577711780821918,7.3958487671232875,15.82813095890411,7.111048767123288,15.633780273972603,18.180190684931507,1.5639824657534245,80.86381808219178
16,Saints,54,4.897203287671233,4.619323287671233,2.704438356164384,1.2726531506849315,11.840953424657535,11.576105753424658,6.329679452054794,14.549925479452055,1.2127539726027399,59.00303616438356
17,Jaguars,58,3.6856936986301365,0.6073046575342466,4.213207671232877,2.97468602739726,23.862113424657537,9.257593424657534,16.107606575342466,8.016665205479452,0.8123583561643836,69.5372290410959
18,Eagles,62,1.4370904109589042,1.9693676712328765,4.575643835616439,2.2387205479452055,14.797728767123289,16.93478794520548,1.5145331506849316,10.365911232876712,1.8434701369863014,55.67725369863014
19,Seahawks,56,18.360275068493152,3.8089517808219178,6.602126575342465,3.293248219178082,11.129909589041095,11.089729315068492,11.588227397260274,5.425315068493151,4.294542465753424,75.59232547945204
20,Titans,56,6.509589041095891,8.843226301369864,4.445936438356164,2.9852936986301373,21.84644602739726,5.170742465753424,10.435458630136987,14.195821369863012,2.878234520547945,77.31074849315068
21,Panthers,56,6.386128767123288,1.202717808219178,8.157289863013698,1.789268493150685,6.352449315068494,10.578277808219177,7.47263890410959,10.240340821917808,0.8342454794520547,53.01335726027398
22,Texans,56,12.17150794520548,3.787107397260274,5.71608602739726,2.9430657534246576,6.302284383561643,7.726944657534246,6.390672328767123,14.25882794520548,4.121004383561644,63.417500821917805
23,Cardinals,56,6.072205479452055,2.393846575342466,5.389830136986301,4.131963287671233,19.336380273972605,9.405280547945205,26.966396712328766,8.314635068493152,2.3600049315068494,84.37054301369862
24,Giants,49,0.8739704109589042,7.898959999999999,5.794361643835617,5.801643835616439,13.711110136986301,10.044165479452055,4.096906849315069,14.446570410958904,4.124916712328766,66.79260547945205
25,Packers,58,16.376980273972602,3.3055879452054793,13.282329315068491,2.5817967123287673,12.98251506849315,7.565584109589041,18.089798356164383,12.361216438356164,2.491323835616438,89.03713205479453
26,Ravens,56,2.1822443835616436,1.3905610958904109,7.815389041095891,5.703132054794521,8.017195616438357,15.740511232876711,8.77864,8.540214794520548,3.8593605479452058,62.02724876712329
27,Bills,53,6.964414794520548,3.0282323287671233,11.882842191780822,1.0737484931506849,18.51435287671233,23.82639506849315,12.633138630136987,10.782205479452054,2.0190706849315068,90.72440054794521
28,Vikings,56,18.012016438356167,5.5473917808219175,3.353408767123288,1.1349972602739726,8.984801643835617,9.357662465753425,5.7548252054794515,11.232861917808219,1.358904109589041,64.73686958904109
29,Chiefs,53,5.124224109589041,3.413828493150685,11.607280547945205,5.113329315068493,7.870235068493151,25.430553972602738,8.950521643835616,17.089838356164382,3.2721194520547945,87.87193095890412
30,Bears,53,6.392693698630136,1.941446575342466,11.420372054794521,4.9724504109589045,9.92191780821918,14.805186301369863,11.938353424657535,7.091214794520548,1.9931506849315068,70.47678575342465
31,Buccaneers,56,7.425760547945205,4.177294794520548,6.353229041095891,5.963135342465754,17.26904109589041,10.419104657534247,18.345147397260277,7.824998356164384,3.9178082191780823,81.6955194520548
