,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
606,Marcus Dowtin,NYG,ED,17,7353,3,0,0,0,0,21,0,47.2,69.1,50.2,60.0,,0,0,,0,0,0,7,2,2,0,1,0,0,0,0,Giants,2013,802.4000000000001,
607,Ryan Davis Sr.,JAX,ED,105,7365,7,0,0,0,0,15,0,81.5,78.8,67.5,54.9,72.2,4,9,33.3,1,0,2,89,15,84,15,15,2,2,0,15,Jaguars,2013,8557.5,
608,Derrick Shelby,MIA,ED,438,7400,16,10,0,0,2,17,0,69.4,85.2,64.4,69.7,65.5,3,7,5.6,2,1,3,190,235,436,32,385,19,24,2,13,Dolphins,2013,30397.2,
609,Jake Bequette,NE,ED,14,7645,2,0,0,0,0,19,0,51.2,72.9,57.6,51.1,,1,1,,0,0,0,8,5,13,1,9,0,0,0,2,Patriots,2013,716.8000000000001,
610,Dezman Moses,KC,ED,59,7696,5,1,0,0,0,16,0,39.3,68.9,51.5,51.5,70.5,0,1,0.0,0,0,0,38,16,6,5,1,0,0,0,1,Chiefs,2013,2318.7,
611,Kyle Knox,NO,ED,4,7743,2,0,0,0,0,20,0,69.7,68.6,67.9,60.0,,0,1,,0,0,0,3,1,4,0,4,0,0,0,1,Saints,2013,278.8,
612,Dion Jordan,MIA,ED,330,7785,16,3,0,0,0,17,0,69.4,62.3,60.8,62.7,80.2,4,18,5.0,1,1,2,208,76,277,107,168,11,16,0,24,Dolphins,2013,22902.000000000004,
613,Barkevious Mingo,CLV,ED,665,7787,15,3,4,0,0,8,0,54.5,86.2,60.0,54.8,69.6,7,18,11.8,4,0,5,337,258,529,499,30,20,27,4,30,Browns,2013,36242.5,
614,Jarvis Jones,PIT,ED,630,7798,14,5,3,0,0,25,0,59.4,82.5,56.4,69.9,54.7,2,25,15.4,6,0,1,308,220,325,322,3,17,28,2,28,Steelers,2013,37422.0,
615,Bjoern Werner,IND,ED,347,7805,15,1,2,0,0,14,0,58.8,86.3,49.9,61.5,30.5,0,12,22.2,4,0,3,179,136,319,228,91,13,13,2,15,Colts,2013,20403.6,
616,Margus Hunt,CIN,ED,168,7834,11,0,0,0,0,7,0,52.5,81.5,55.5,41.3,69.1,2,11,0.0,0,0,0,136,30,168,10,102,0,2,0,13,Bengals,2013,8820.0,
617,Damontre Moore,NYG,ED,133,7862,13,1,1,1,0,21,0,54.8,0.0,54.5,71.7,74.2,7,2,0.0,0,2,0,100,31,90,11,79,3,5,0,9,Giants,2013,7288.4,
618,Corey Lemonier,SF,ED,294,7869,15,4,1,1,1,28,0,67.8,20.4,67.0,66.6,69.5,3,20,7.7,1,3,1,197,68,221,210,11,3,8,0,24,49ers,2013,19933.2,
619,Alex Okafor,ARZ,ED,5,7885,1,0,0,0,0,1,0,44.5,64.0,56.9,60.0,,0,0,,0,0,0,2,2,0,0,0,0,0,0,0,Cardinals,2013,222.5,
620,William Gholston,TB,ED,312,7908,12,5,3,0,0,30,0,56.8,64.6,57.9,56.8,37.7,2,9,20.7,6,1,3,181,128,312,80,155,14,18,3,14,Buccaneers,2013,17721.6,
621,Malliciah Goodman,ATL,ED,302,7909,14,4,0,0,0,2,2,61.7,83.9,54.6,66.0,58.1,1,10,8.3,1,0,0,145,155,298,28,213,4,7,1,11,Falcons,2013,18633.4,
622,John Simon,BLT,ED,3,7911,1,0,0,0,0,3,0,58.1,69.5,57.4,60.0,,0,0,,0,0,0,2,1,3,3,0,0,0,0,0,Ravens,2013,174.3,
623,Devin Taylor,DET,ED,301,7914,14,1,1,0,1,11,0,64.4,58.4,67.0,65.7,75.8,4,15,7.7,1,1,2,178,120,298,14,276,10,11,3,21,Lions,2013,19384.4,
624,Lavar Edwards,TEN,ED,150,7924,7,2,1,1,0,31,0,59.8,2.1,50.3,72.8,73.6,0,3,12.5,1,2,0,68,82,149,2,146,4,5,1,3,Titans,2013,8970.0,
625,Steven Means,TB,ED,77,7929,8,0,0,1,0,30,0,49.3,14.4,48.0,61.5,72.4,1,2,0.0,0,1,0,44,29,76,3,73,2,4,0,3,Buccaneers,2013,3796.1,
626,Stansly Maponga,ATL,ED,126,7935,12,1,0,0,0,2,0,36.5,31.5,48.3,35.5,75.2,1,2,0.0,0,1,0,75,42,109,17,91,1,4,0,3,Falcons,2013,4599.0,
627,Tourek Williams,SD,ED,214,7960,10,3,0,0,1,27,0,47.1,82.7,59.5,54.6,26.8,0,3,35.7,5,0,1,96,87,192,154,38,4,6,0,4,Chargers,2013,10079.4,
628,Cornelius Washington,CHI,ED,10,7969,2,0,0,0,0,6,0,33.6,71.3,56.9,40.6,67.4,0,0,0.0,0,0,0,2,8,10,0,10,1,1,0,0,Bears,2013,336.0,
629,Nate Palmer,GB,ED,196,7974,6,2,0,0,0,12,0,48.5,80.9,47.2,56.3,80.6,2,2,0.0,0,0,0,96,89,162,162,0,8,13,0,4,Packers,2013,9506.0,
630,Michael Buchanan,NE,ED,119,8009,10,0,0,0,0,19,0,42.4,79.5,48.2,56.3,71.0,1,7,0.0,0,0,2,106,9,99,30,69,2,1,0,10,Patriots,2013,5045.599999999999,
631,David Bass,CHI,ED,311,8016,12,6,0,0,0,6,0,59.4,83.3,59.0,60.3,28.1,2,12,26.1,6,0,1,148,156,308,5,303,9,11,2,15,Bears,2013,18473.399999999998,
632,Ezekiel Ansah,DET,ED,554,8094,14,3,0,0,2,11,0,65.0,29.5,60.8,73.9,64.2,3,22,15.0,3,4,9,361,187,541,40,481,22,14,2,34,Lions,2013,36010.0,
633,Troy Davis,NYJ,ED,15,8108,2,0,0,0,0,22,0,51.8,71.0,58.4,52.9,,0,1,,0,0,0,9,6,10,4,6,0,0,0,1,Jets,2013,777.0,
634,Josh Martin,KC,ED,102,8138,4,1,0,0,0,16,0,70.7,72.6,50.0,77.7,79.0,0,4,0.0,0,0,0,51,45,26,26,0,6,7,0,4,Chiefs,2013,7211.400000000001,
635,Andy Mulumba,GB,ED,356,8151,13,5,0,0,0,12,1,53.1,61.4,47.5,61.9,70.8,0,9,4.5,1,1,1,188,130,276,271,5,13,16,2,10,Packers,2013,18903.600000000002,
636,Benson Mayowa,SEA,ED,24,8196,2,0,0,0,0,29,0,61.7,73.8,53.4,69.3,71.5,0,2,50.0,2,0,0,16,6,22,5,17,1,2,0,2,Seahawks,2013,1480.8000000000002,
637,Gerald Rivers,JAX,ED,10,8290,2,0,0,0,0,15,0,48.9,72.5,67.6,46.5,67.4,0,1,0.0,0,0,0,4,6,10,1,6,1,1,0,1,Jaguars,2013,489.0,
638,Eric Martin,CLV,ED,52,8309,8,1,0,0,0,8,0,64.5,80.3,56.4,65.0,75.5,0,0,0.0,0,0,0,14,37,45,43,2,1,3,0,0,Browns,2013,3354.0,
639,Ryan Robinson,OAK,ED,65,8363,7,0,1,0,0,23,0,51.3,81.7,50.5,56.6,73.0,0,2,0.0,0,0,0,53,11,65,55,10,0,3,0,2,Raiders,2013,3334.5,
640,Willie Jefferson,HST,ED,19,8429,6,2,0,0,0,13,0,66.7,73.6,69.7,61.4,72.4,0,1,0.0,0,0,0,3,15,17,13,4,0,0,0,1,Texans,2013,1267.3,
641,Wes Horton,CAR,ED,169,8484,10,2,0,1,0,5,0,39.0,0.0,46.4,53.0,37.5,0,3,14.3,1,3,2,114,48,163,32,116,4,4,1,5,Panthers,2013,6591.0,
642,Caesar Rayford,DAL,ED,145,8506,7,1,0,1,0,9,0,48.6,39.7,52.7,58.3,70.2,0,5,0.0,0,1,0,95,49,145,1,112,0,2,0,5,Cowboys,2013,7047.0,
643,Paul Hazel,CLV,ED,14,8522,6,0,0,0,0,8,0,67.4,72.5,66.3,60.1,,1,1,,0,0,0,10,4,12,10,2,0,0,0,2,Browns,2013,943.6000000000001,
644,Jason Vega,DAL,ED,46,8562,2,0,0,0,0,9,0,29.9,0.0,49.8,44.7,69.9,0,1,0.0,0,2,0,29,17,46,0,46,2,2,0,1,Cowboys,2013,1375.3999999999999,
645,John Abraham,ARZ,ED,36,591,1,0,0,0,0,1,0,54.4,70.5,47.9,66.5,69.9,0,0,0.0,0,0,0,20,13,10,10,0,1,1,1,0,Cardinals,2014,1958.3999999999999,69.52770424463715
646,Julius Peppers,GB,ED,904,1010,18,12,3,1,5,12,3,81.6,77.6,81.4,59.1,39.0,12,33,22.4,11,3,11,520,345,851,752,99,30,26,2,56,Packers,2014,73766.4,75.17747178329572
647,Dwight Freeney,SD,ED,572,1019,16,2,0,0,0,27,1,60.8,53.5,69.7,42.6,23.7,9,40,64.3,9,3,4,408,150,557,365,188,7,3,0,53,Chargers,2014,34777.6,70.83376984126984
648,James Harrison,PIT,ED,485,1251,12,2,0,0,0,25,0,81.7,69.8,80.3,71.1,75.9,13,22,6.7,2,2,6,241,172,440,440,0,24,26,3,41,Steelers,2014,39624.5,80.01784587652095
649,Terrell Suggs,BLT,ED,957,1326,18,13,1,1,0,3,1,77.9,24.4,69.9,82.2,72.7,12,38,10.0,5,9,15,589,305,895,820,75,40,32,5,65,Ravens,2014,74550.3,70.70341266277504
650,Calvin Pace,NYJ,ED,823,1334,16,7,1,0,0,22,0,68.4,60.3,53.3,75.5,68.6,2,23,9.4,3,5,5,292,304,428,276,152,19,22,5,30,Jets,2014,56293.200000000004,69.90266370699223
651,Osi Umenyiora,ATL,ED,338,1371,16,2,0,0,0,2,1,58.7,83.2,61.8,62.0,39.4,6,26,25.0,3,1,3,292,42,314,64,248,6,7,0,35,Falcons,2014,19840.600000000002,59.58320926385443
652,Jarret Johnson,SD,ED,547,1421,15,12,1,0,1,27,0,66.8,72.2,50.2,69.0,73.7,0,8,7.8,4,1,1,137,290,475,378,96,20,35,5,9,Chargers,2014,36539.6,68.71087516087516
653,Chris Clemons,JAX,ED,790,1585,16,7,2,4,2,15,1,58.6,25.9,60.3,59.2,47.2,5,20,12.9,4,8,8,486,285,781,38,741,21,20,3,33,Jaguars,2014,46294.0,67.36806411837237
654,Jason Babin,NYJ,ED,458,1748,16,5,0,1,0,22,0,72.8,19.6,65.5,80.0,80.9,7,27,4.2,1,6,3,274,131,389,163,222,15,18,2,37,Jets,2014,33342.4,69.862213740458
655,Shaun Phillips,IND,ED,486,1819,19,6,2,2,0,14,0,53.7,13.8,54.0,60.5,30.7,4,21,22.6,7,5,2,260,165,258,212,46,12,18,1,27,Colts,2014,26098.2,
656,Robert Geathers,CIN,ED,624,1838,17,6,2,0,0,7,0,47.1,70.5,39.6,67.1,69.9,5,17,9.5,2,1,1,424,173,561,11,523,9,13,1,23,Bengals,2014,29390.4,
657,Jared Allen,CHI,ED,888,1847,15,11,5,2,2,6,2,74.2,56.9,66.5,68.6,68.5,20,32,7.4,4,3,6,544,336,882,42,840,38,39,4,58,Bears,2014,65889.6,
658,DeMarcus Ware,DEN,ED,789,2228,17,4,0,0,1,10,0,65.9,39.9,63.5,70.3,49.2,12,34,24.3,9,4,11,540,231,524,465,59,28,24,6,57,Broncos,2014,51995.100000000006,
659,Justin Tuck,OAK,ED,640,2291,15,6,4,0,1,23,0,70.0,43.1,68.7,67.8,46.9,11,19,12.2,5,4,5,378,239,638,149,410,28,30,8,35,Raiders,2014,44800.0,
660,Trent Cole,PHI,ED,806,2363,15,8,0,0,3,24,0,68.4,19.7,75.2,67.5,72.0,14,26,16.7,9,7,7,380,316,713,513,186,27,37,3,47,Eagles,2014,55130.4,
661,Lorenzo Alexander,ARZ,ED,50,2476,6,2,0,0,0,1,0,66.5,69.5,64.1,49.2,79.3,3,1,0.0,0,0,1,32,10,7,7,0,2,3,0,5,Cardinals,2014,3325.0,
662,Ahmad Brooks,SF,ED,603,2945,13,5,2,0,1,28,1,63.9,21.2,62.4,62.5,39.8,5,11,25.0,8,5,6,261,244,479,470,9,20,19,1,22,49ers,2014,38531.7,
663,Mario Williams,BUF,ED,787,2946,16,1,3,0,2,4,0,76.1,73.9,73.6,69.8,73.2,7,37,7.7,2,2,16,484,290,770,556,214,36,23,6,60,Bills,2014,59890.7,
664,Kamerion Wimbley,TEN,ED,539,2958,13,4,0,0,0,31,0,56.5,85.9,55.1,49.8,58.5,3,3,10.0,3,0,2,162,283,514,468,46,12,23,3,8,Titans,2014,30453.5,
665,Tamba Hali,KC,ED,975,2965,16,10,0,2,3,16,1,74.1,56.0,68.2,66.0,65.0,7,31,12.9,8,4,6,478,383,556,535,21,32,44,2,44,Chiefs,2014,72247.5,
666,Manny Lawson,BUF,ED,341,2967,16,2,2,0,0,4,0,55.5,59.7,56.8,55.7,80.7,2,4,7.1,1,1,2,205,132,258,159,98,8,11,3,8,Bills,2014,18925.5,
667,Mathias Kiwanuka,NYG,ED,552,2977,11,5,0,0,2,21,0,46.9,58.8,56.9,43.7,49.1,6,16,12.5,3,3,2,315,227,527,22,461,14,16,1,24,Giants,2014,25888.8,
668,Darryl Tapp,DET,ED,297,3008,17,1,1,0,1,11,1,65.2,60.9,64.3,61.6,75.7,8,9,0.0,0,1,1,164,130,296,16,259,8,15,0,18,Lions,2014,19364.4,
669,Elvis Dumervil,BLT,ED,693,3071,18,2,0,3,1,3,1,74.7,13.2,80.8,62.8,60.6,11,31,23.8,5,8,22,474,154,564,545,19,25,14,0,64,Ravens,2014,51767.1,
670,Rob Ninkovich,NE,ED,1203,3080,19,11,1,0,0,19,1,65.1,84.9,59.6,66.3,42.4,13,48,18.8,15,2,9,633,427,1024,873,150,43,54,5,70,Patriots,2014,78315.29999999999,
671,Parys Haralson,NO,ED,488,3085,16,7,0,2,0,20,1,57.9,0.0,55.1,70.5,50.4,4,7,22.5,9,5,3,167,256,255,243,11,20,24,3,14,Saints,2014,28255.2,
672,Jeremy Mincey,DAL,ED,790,3136,18,5,1,0,1,9,2,77.5,76.3,77.0,64.0,55.6,7,43,22.9,8,1,8,473,303,790,97,664,24,22,5,58,Cowboys,2014,61225.0,
673,Anthony Spencer,DAL,ED,444,3642,15,6,1,2,2,9,1,69.9,36.4,65.0,74.8,56.1,7,18,13.0,3,4,2,296,127,316,21,294,12,14,1,27,Cowboys,2014,31035.600000000002,
674,Lamarr Woodley,OAK,ED,285,3662,6,3,0,0,0,23,0,56.4,81.0,59.9,46.6,54.9,3,7,11.1,1,0,0,129,139,179,168,10,2,5,0,10,Raiders,2014,16074.0,
675,Charles Johnson,CAR,ED,876,3699,18,10,2,3,2,5,1,71.4,42.8,78.5,63.3,37.0,11,60,18.6,8,6,10,555,300,773,141,620,24,25,2,81,Panthers,2014,62546.4,
676,Brian Robison,MIN,ED,908,3718,16,2,2,1,0,18,0,63.8,79.0,59.8,61.8,28.0,11,37,25.9,7,1,4,539,349,893,17,852,17,18,1,52,Vikings,2014,57930.399999999994,
677,Antwan Barnes,NYJ,ED,55,3750,5,0,0,0,0,22,0,44.8,0.0,41.6,64.5,32.3,1,2,33.3,1,1,0,19,24,39,28,11,1,2,0,3,Jets,2014,2464.0,
678,Chris Long,SL,ED,232,4316,6,1,0,1,0,26,1,44.7,54.8,46.4,52.7,45.3,2,7,28.6,2,2,1,138,94,211,31,167,4,4,2,10,Rams,2014,10370.400000000001,
679,Quentin Groves,TEN,ED,242,4366,14,2,0,2,0,31,0,43.0,21.3,53.4,54.7,28.9,0,5,33.3,5,3,1,88,127,156,139,17,9,8,2,6,Titans,2014,10406.0,
680,Jason Jones,DET,ED,686,4368,17,4,2,1,1,11,0,61.9,15.8,59.9,74.6,59.0,11,24,24.0,6,7,7,488,192,678,68,468,14,15,0,42,Lions,2014,42463.4,
681,Cliff Avril,SEA,ED,847,4406,19,5,1,1,1,29,1,66.2,18.3,75.7,59.6,26.1,14,55,36.4,12,8,9,546,289,798,175,619,19,16,4,78,Seahawks,2014,56071.4,
682,William Hayes,SL,ED,537,4417,16,4,0,1,1,26,1,71.9,32.6,66.2,77.3,30.8,1,31,16.7,7,4,5,311,224,532,19,489,28,31,7,37,Rams,2014,38610.3,
683,Kroy Biermann,ATL,ED,848,4468,16,18,1,0,1,2,0,61.5,72.6,57.7,72.3,59.2,8,28,14.5,12,1,6,395,361,499,113,386,45,53,6,42,Falcons,2014,52152.0,
684,Erik Walden,IND,ED,845,4481,18,12,0,0,1,14,0,70.1,41.0,67.6,66.0,78.5,18,20,7.0,3,4,8,390,335,588,571,17,30,28,5,46,Colts,2014,59234.49999999999,
685,Trevor Scott,CHI,ED,23,4483,3,1,0,0,0,6,0,60.4,73.8,66.0,56.1,72.1,1,1,0.0,0,0,0,10,13,22,0,22,0,1,0,2,Bears,2014,1389.2,
686,Andy Studebaker,IND,ED,199,4517,14,6,0,0,2,14,1,64.4,49.9,54.5,84.7,59.7,1,2,14.3,2,1,0,67,104,178,176,2,4,6,0,3,Colts,2014,12815.6,
687,Wallace Gilberry,CIN,ED,883,4763,17,9,2,1,0,7,1,60.8,50.8,61.4,59.5,39.4,15,38,20.0,11,4,2,548,317,876,63,525,27,35,4,55,Bengals,2014,53686.399999999994,
688,Cameron Wake,MIA,ED,759,4907,16,3,1,1,3,17,1,85.8,59.1,91.0,61.5,51.6,14,39,13.3,4,3,12,449,278,743,247,494,27,23,1,65,Dolphins,2014,65122.2,
689,Brian Orakpo,WAS,ED,388,4936,7,5,0,0,0,32,0,71.2,84.3,63.9,70.0,56.5,6,12,21.4,6,0,1,191,148,318,284,33,14,17,1,19,Commanders,2014,27625.600000000002,
690,Larry English,TB,ED,254,4939,12,2,0,0,0,30,0,46.2,54.6,61.6,37.8,40.2,5,5,22.2,2,1,1,146,107,252,3,249,4,5,0,11,Buccaneers,2014,11734.800000000001,
691,Robert Ayers,NYG,ED,379,4941,12,0,0,0,0,21,0,78.6,84.8,84.8,54.2,29.5,12,29,28.0,7,0,5,249,125,375,22,196,18,18,1,46,Giants,2014,29789.399999999998,
692,Clay Matthews,GB,ED,1010,4949,18,7,6,1,1,12,0,70.5,33.3,70.8,59.7,74.4,11,31,11.3,7,5,13,424,392,349,346,3,37,48,7,55,Packers,2014,71205.0,
693,Everette Brown,WAS,ED,46,4966,6,0,0,0,0,32,0,35.9,78.3,56.9,48.4,41.4,1,4,16.7,1,0,0,21,19,43,38,5,1,5,0,5,Commanders,2014,1651.3999999999999,
694,Connor Barwin,PHI,ED,1008,4969,16,11,5,1,2,24,0,68.8,70.5,74.6,63.5,77.1,11,29,5.8,3,3,16,375,395,730,579,148,35,38,4,56,Eagles,2014,69350.4,
695,Paul Kruger,CLV,ED,899,4980,16,6,2,0,3,8,1,70.9,34.0,74.4,61.6,32.7,11,30,24.1,13,6,12,482,352,708,561,146,37,35,2,53,Browns,2014,63739.100000000006,
696,Michael Johnson,TB,ED,628,4993,14,6,0,0,2,30,0,59.1,83.9,54.4,65.8,29.1,9,15,21.9,7,0,4,372,249,628,1,623,17,19,3,28,Buccaneers,2014,37114.8,
697,Matt Shaughnessy,ARZ,ED,357,4994,9,2,0,0,0,1,0,61.8,82.6,50.6,64.5,51.3,0,10,13.6,3,0,0,157,172,243,190,53,13,17,5,10,Cardinals,2014,22062.6,
698,Lawrence Sidbury,TB,ED,21,5049,1,0,0,0,0,30,0,62.6,74.2,55.5,66.4,67.4,0,1,0.0,0,0,0,13,8,21,0,21,1,1,0,1,Buccaneers,2014,1314.6000000000001,
699,Jarius Wynn,BUF,ED,311,5106,11,1,2,0,0,4,1,62.9,43.2,58.5,68.6,42.6,1,15,20.0,3,2,2,185,124,300,130,164,10,11,1,18,Bills,2014,19561.899999999998,
700,Michael Bennett,SEA,ED,1022,5273,19,7,0,1,1,29,0,81.0,0.0,81.9,82.0,52.2,18,63,18.0,9,16,6,648,371,1011,132,627,37,34,13,87,Seahawks,2014,82782.0,
701,Dan Skuta,SF,ED,385,5349,13,2,1,2,3,28,0,68.9,64.3,77.6,70.3,77.0,1,8,17.4,4,4,4,113,186,306,304,2,13,17,3,13,49ers,2014,26526.500000000004,
702,Marcus Benard,ARZ,ED,82,5359,11,2,0,0,0,1,0,71.9,77.6,64.6,73.3,55.7,2,4,16.7,1,0,1,58,11,47,26,21,3,3,0,7,Cardinals,2014,5895.8,
703,Brandon Graham,PHI,ED,503,5538,16,5,0,0,4,24,0,81.7,48.3,82.2,75.5,45.0,8,39,22.2,10,2,6,240,191,329,260,62,23,30,7,53,Eagles,2014,41095.1,
704,Jason Pierre-Paul,NYG,ED,960,5540,16,6,4,0,2,21,1,76.0,41.1,66.4,78.6,40.7,9,38,16.7,11,5,13,577,378,900,69,797,49,49,6,60,Giants,2014,72960.0,
705,Derrick Morgan,TEN,ED,1005,5541,16,13,3,3,2,31,0,72.4,73.2,70.4,58.0,59.8,8,34,10.0,6,3,7,408,438,792,703,89,37,41,7,49,Titans,2014,72762.0,
706,Jerry Hughes,BUF,ED,782,5556,16,7,0,3,3,4,1,71.4,0.0,65.9,85.1,69.8,9,40,13.3,6,13,12,493,277,471,338,131,32,32,4,61,Bills,2014,55834.8,
707,Lamarr Houston,CHI,ED,396,5569,8,2,1,1,0,6,1,70.0,67.6,68.6,60.1,44.6,10,15,21.4,3,1,1,251,145,396,2,311,9,9,2,26,Bears,2014,27720.0,
708,Jason Worilds,PIT,ED,1031,5577,17,7,1,1,0,25,2,67.3,57.5,71.3,59.7,72.8,16,28,10.2,6,5,8,464,371,897,885,12,41,46,6,52,Steelers,2014,69386.3,
709,Carlos Dunlap,CIN,ED,1001,5579,17,11,3,2,2,7,1,72.4,64.7,64.6,67.9,56.2,22,39,8.2,5,3,9,602,368,1001,75,919,42,45,9,70,Bengals,2014,72472.40000000001,
710,Mike Neal,GB,ED,721,5581,18,8,0,0,0,12,0,54.7,61.8,51.0,66.2,57.8,10,22,10.0,4,2,6,443,248,559,369,190,23,28,3,38,Packers,2014,39438.700000000004,
711,Everson Griffen,MIN,ED,967,5624,16,11,2,2,0,18,0,76.2,8.9,69.4,77.3,58.4,13,40,8.3,5,11,11,559,391,963,27,928,47,44,7,64,Vikings,2014,73685.40000000001,
712,Corey Wootton,MIN,ED,272,5633,15,7,0,0,0,18,0,45.8,34.1,52.6,47.6,56.4,2,4,5.3,1,2,1,136,135,271,0,270,6,11,1,7,Vikings,2014,12457.599999999999,
713,O'Brien Schofield,SEA,ED,426,5653,19,3,0,1,1,29,0,68.5,66.9,65.5,60.7,29.2,9,16,17.4,4,1,3,251,168,395,81,310,13,16,1,28,Seahawks,2014,29181.0,
714,Ricky Sapp,HST,ED,22,5657,3,0,0,0,0,13,0,59.8,70.5,55.9,63.6,73.3,0,1,0.0,0,0,0,15,6,7,6,1,0,1,0,1,Texans,2014,1315.6,
715,Greg Hardy,CAR,ED,51,5698,1,0,0,0,1,5,0,72.2,76.3,69.1,64.2,72.8,1,1,0.0,0,0,1,33,15,45,11,32,2,2,0,3,Panthers,2014,3682.2000000000003,
716,Arthur Moats,PIT,ED,344,5701,16,1,0,0,2,25,1,72.9,41.6,74.0,64.6,71.4,3,15,5.0,1,2,4,156,131,325,324,1,14,18,1,22,Steelers,2014,25077.600000000002,
717,Eugene Sims,SL,ED,490,5712,16,3,0,0,0,26,1,62.8,18.8,55.6,74.9,54.9,7,18,8.7,2,6,3,321,168,483,50,370,17,18,1,28,Rams,2014,30772.0,
718,Willie Young,CHI,ED,664,5736,15,12,1,1,1,6,0,66.0,28.7,60.0,74.3,65.4,5,22,5.6,2,5,10,408,244,646,23,616,24,22,2,37,Bears,2014,43824.0,
719,George Selvie,DAL,ED,564,5749,18,10,0,0,1,9,1,63.6,60.1,50.7,72.9,29.1,6,17,15.8,6,2,3,300,254,556,19,530,18,22,0,26,Cowboys,2014,35870.4,
720,Frank Zombo,KC,ED,37,5945,4,0,0,0,0,16,1,66.8,76.4,51.1,77.2,46.5,0,0,33.3,1,0,0,11,14,17,17,0,2,2,0,0,Chiefs,2014,2471.6,
721,Junior Galette,NO,ED,794,6018,16,6,0,1,2,20,0,76.1,64.4,86.6,57.9,64.3,13,44,8.3,3,2,10,459,275,681,201,476,25,27,2,67,Saints,2014,60423.399999999994,
722,George Johnson,DET,ED,520,6112,17,2,1,0,0,11,1,62.0,85.0,64.0,53.8,57.7,5,27,14.3,3,0,7,357,143,508,58,448,18,16,3,39,Lions,2014,32240.0,
723,Von Miller,DEN,ED,973,6154,17,8,2,2,1,10,1,90.3,27.4,85.6,90.0,86.6,12,47,7.8,4,5,15,539,308,380,356,24,41,39,5,74,Broncos,2014,87861.9,
724,Aldon Smith,SF,ED,418,6159,7,4,0,0,0,28,0,71.6,66.4,63.5,71.1,52.6,6,24,14.3,2,1,2,228,165,357,353,4,7,8,1,32,49ers,2014,29928.8,
725,Robert Quinn,SL,ED,786,6166,16,5,4,2,5,26,0,73.0,26.5,78.0,60.9,50.3,15,27,17.9,7,7,11,493,291,778,108,652,33,27,6,53,Rams,2014,57378.0,
726,Ryan Kerrigan,WAS,ED,978,6168,16,9,0,0,4,32,1,74.9,73.6,78.7,56.6,67.5,9,51,5.9,3,3,13,471,383,868,739,127,47,39,4,73,Commanders,2014,73252.20000000001,
727,Adrian Clayborn,TB,ED,50,6172,1,0,0,0,0,30,0,65.7,77.1,58.8,67.2,67.4,1,1,0.0,0,0,0,28,22,50,0,49,1,1,0,2,Buccaneers,2014,3285.0,
728,Cameron Jordan,NO,ED,999,6176,16,10,6,0,0,20,1,66.6,67.2,59.8,69.1,71.1,4,37,4.4,2,3,8,605,386,992,220,705,33,33,4,49,Saints,2014,66533.4,
729,Jabaal Sheard,CLV,ED,675,6189,16,5,2,0,0,8,0,69.9,47.3,60.1,77.4,81.3,4,24,4.7,2,3,2,354,271,479,399,77,26,36,6,30,Browns,2014,47182.50000000001,
730,Akeem Ayers,NE,ED,416,6191,13,2,0,0,0,19,0,66.3,60.0,60.5,72.9,62.1,5,23,20.0,3,1,4,258,113,247,222,24,9,10,2,32,Patriots,2014,27580.8,
731,Brooks Reed,HST,ED,787,6194,16,8,1,0,0,13,0,67.6,60.3,60.0,71.3,72.1,6,26,5.0,2,2,2,343,300,414,397,17,20,30,4,34,Texans,2014,53201.2,
732,Dontay Moch,TEN,ED,79,6218,3,0,1,0,0,31,0,42.8,71.1,55.1,55.1,38.3,1,0,20.0,1,0,0,45,24,11,11,0,2,4,0,1,Titans,2014,3381.2,
733,Justin Houston,KC,ED,1033,6222,16,8,5,0,4,16,0,90.5,86.3,90.7,73.7,79.2,8,56,7.7,4,0,23,462,410,605,575,29,50,40,4,87,Chiefs,2014,93486.5,
734,Sam Acho,ARZ,ED,517,6255,17,13,1,0,1,1,0,63.6,50.8,55.8,75.8,48.7,1,23,14.3,6,2,2,198,203,316,278,38,20,23,4,26,Cardinals,2014,32881.200000000004,
735,Gabe Miller,WAS,ED,29,6292,2,1,0,0,0,32,0,63.0,73.9,54.2,64.4,37.1,0,1,33.3,1,0,0,14,9,14,14,0,1,1,0,1,Commanders,2014,1827.0,
736,Chris Carter,CIN,ED,3,6314,2,0,0,0,0,7,0,54.0,66.3,56.2,,,0,0,,0,0,0,3,0,2,2,0,0,0,0,0,Bengals,2014,162.0,
737,Pernell McPhee,BLT,ED,591,6317,18,6,2,1,1,3,0,85.5,40.0,84.7,67.3,30.9,24,40,25.8,8,3,9,426,132,428,238,170,22,17,7,73,Ravens,2014,50530.5,
738,Cliff Matthews,ATL,ED,116,6382,6,4,0,0,0,2,0,65.8,79.7,57.3,69.6,73.8,2,2,0.0,0,0,0,72,44,114,18,66,0,2,0,4,Falcons,2014,7632.799999999999,
