,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
28,Robert Mathis,IND,ED,868,1447,17,12,0,0,1,14,1,69.0,87.6,77.6,45.0,66.8,7,51,8.2,4,0,10,519,345,848,4,843,30,33,3,68,Colts,2010,59892.0,
29,Jimmy Wilkerson,NO,ED,340,1492,17,2,0,0,0,20,0,56.2,84.5,57.2,52.3,55.3,2,9,5.9,1,0,2,171,169,340,0,235,12,14,0,13,Saints,2010,19108.0,
30,Tully Banta-Cain,NE,ED,764,1534,16,6,0,0,1,19,0,62.1,34.1,64.0,70.8,64.1,7,38,11.6,5,4,6,478,220,512,251,256,23,32,2,51,Patriots,2010,47444.4,
31,Chris Clemons,SEA,ED,986,1585,18,5,4,0,1,29,1,79.7,17.8,86.2,62.9,58.4,11,62,11.4,4,9,13,566,365,960,91,869,26,26,4,86,Seahawks,2010,78584.2,
32,Israel Idonije,CHI,ED,957,1632,18,12,3,0,4,6,0,65.2,44.6,64.9,62.6,80.1,9,30,0.0,0,4,11,609,333,956,1,954,29,22,4,50,Bears,2010,62396.4,
33,Will Smith,NO,ED,844,1739,16,7,5,1,1,20,0,63.6,47.0,68.3,57.3,50.7,5,34,12.2,5,3,6,501,340,840,4,833,25,29,4,45,Saints,2010,53678.4,
34,Jason Babin,TEN,ED,713,1748,16,7,0,2,2,31,0,78.6,0.0,87.0,68.4,67.3,20,30,4.5,2,11,14,438,268,710,2,682,36,35,8,64,Titans,2010,56041.799999999996,
35,Travis LaBoy,SF,ED,342,1763,14,3,1,0,1,28,1,71.8,0.0,82.9,66.0,69.1,5,20,15.0,3,4,5,170,122,317,179,137,13,14,2,30,49ers,2010,24555.6,
36,Dwan Edwards,BUF,ED,558,1772,11,11,1,0,1,4,0,60.2,85.2,64.3,49.2,80.8,3,14,2.2,1,0,1,257,300,558,1,360,20,33,1,18,Bills,2010,33591.6,
37,Antwan Odom,CIN,ED,158,1778,4,2,1,0,0,7,0,61.8,80.2,55.9,66.3,45.4,0,7,28.6,2,0,0,109,47,158,0,111,2,3,0,7,Bengals,2010,9764.4,
38,Shaun Phillips,SD,ED,909,1819,16,8,5,0,0,27,1,70.9,79.3,65.2,67.1,63.5,2,26,10.0,5,1,11,419,373,830,464,366,39,37,6,39,Chargers,2010,64448.100000000006,
39,Demorrio Williams,KC,ED,142,1822,13,0,0,0,0,16,0,67.4,0.0,63.6,73.9,61.8,1,8,12.5,1,2,1,93,28,92,2,89,5,7,0,10,Chiefs,2010,9570.800000000001,
40,Robert Geathers,CIN,ED,796,1838,16,7,2,0,1,7,1,53.1,48.4,55.8,57.5,77.8,4,21,9.4,3,3,1,450,337,787,1,633,16,22,0,26,Bengals,2010,42267.6,
41,Jared Allen,MIN,ED,934,1847,16,7,3,0,1,18,1,72.7,85.4,72.6,48.3,74.0,14,41,4.5,2,0,11,549,365,934,1,931,34,35,7,66,Vikings,2010,67901.8,
42,Dave Ball,TEN,ED,432,1854,11,3,3,0,0,31,1,58.7,6.0,70.4,50.3,77.8,4,15,0.0,0,4,7,256,169,429,3,416,16,12,0,26,Titans,2010,25358.4,
43,Bobby McCray,PHI,ED,22,1963,1,0,0,0,0,24,0,66.4,73.0,64.3,60.0,,0,1,,0,0,0,17,2,22,0,22,0,0,0,1,Eagles,2010,1460.8000000000002,
44,Eric Alexander,CLV,ED,3,1973,3,0,0,0,0,8,0,61.0,68.7,,60.0,,0,0,,0,0,0,0,2,3,3,0,0,0,0,0,Browns,2010,183.0,
45,Spencer Johnson,BUF,ED,491,2084,14,9,3,0,1,4,0,64.1,84.5,70.2,57.6,75.1,1,8,2.0,1,0,2,199,291,490,1,361,29,40,3,11,Bills,2010,31473.1,
46,DeMarcus Ware,DAL,ED,926,2228,16,4,0,3,2,9,3,88.0,32.2,90.8,62.9,75.2,8,55,6.1,3,6,15,509,354,786,542,244,50,42,9,78,Cowboys,2010,81488.0,
47,Shawne Merriman,BUF,ED,43,2229,3,0,0,0,0,4,0,73.6,74.6,63.5,56.3,76.5,0,2,0.0,0,0,0,20,17,31,16,15,3,5,0,2,Bills,2010,3164.7999999999997,
48,Matt Roth,CLV,ED,1014,2263,16,16,1,0,0,8,0,63.5,38.2,69.6,65.9,72.9,11,40,8.1,6,6,3,397,483,840,724,107,30,52,4,54,Browns,2010,64389.0,
49,Justin Tuck,NYG,ED,830,2291,16,13,2,0,4,21,5,81.3,77.7,79.8,63.4,56.2,9,33,10.9,6,1,13,499,294,762,0,694,43,36,9,55,Giants,2010,67479.0,
50,Brady Poppinga,GB,ED,106,2342,5,5,0,0,0,12,0,73.1,81.7,65.4,75.6,63.7,0,2,7.7,1,1,1,41,34,82,82,0,7,7,0,3,Packers,2010,7748.599999999999,
51,Chauncey Davis,ATL,ED,423,2345,17,2,1,0,0,2,1,63.2,83.0,56.7,60.3,77.2,1,14,0.0,0,0,1,210,194,421,0,421,12,18,4,16,Falcons,2010,26733.600000000002,
52,Trent Cole,PHI,ED,937,2363,16,10,1,1,2,24,0,81.7,5.8,83.9,77.1,68.8,15,56,9.2,6,10,10,530,365,922,2,913,44,49,10,81,Eagles,2010,76552.90000000001,
53,Mike Montgomery,GB,ED,3,2397,1,0,0,0,0,12,0,59.1,67.9,58.5,60.0,,0,0,,0,0,0,2,1,3,0,1,0,0,0,0,Packers,2010,177.3,
54,Eric Moore,NE,ED,201,2403,5,3,1,0,2,19,1,71.3,81.0,72.5,53.4,48.2,1,9,15.4,2,0,2,103,63,172,77,95,9,8,2,12,Patriots,2010,14331.3,
55,Jonathan Fanene,CIN,ED,32,2450,2,0,0,0,0,7,0,61.5,74.2,63.3,58.0,69.9,0,2,0.0,0,0,0,17,15,32,0,26,1,2,0,2,Bengals,2010,1968.0,
56,Lorenzo Alexander,WAS,ED,637,2476,16,9,0,0,1,32,0,50.6,89.8,59.5,42.9,42.9,5,13,18.2,8,0,2,230,271,467,433,21,12,27,0,20,Commanders,2010,32232.2,
57,Ahmad Brooks,SF,ED,477,2945,15,3,1,2,0,28,0,65.0,0.0,68.6,70.0,71.6,5,16,4.5,1,8,5,208,174,386,229,156,18,18,4,26,49ers,2010,31005.0,
58,Mario Williams,HST,ED,764,2946,13,1,2,0,1,13,0,73.8,53.6,77.0,61.2,50.0,13,36,15.0,3,2,11,466,274,718,57,657,21,16,4,60,Texans,2010,56383.2,
59,Kamerion Wimbley,OAK,ED,986,2958,16,5,0,0,1,23,0,72.3,80.7,73.7,71.7,76.8,4,21,6.3,3,0,11,305,446,363,14,349,26,40,3,36,Raiders,2010,71287.8,
60,Tamba Hali,KC,ED,1075,2965,17,7,3,0,5,16,4,90.3,87.4,92.1,60.2,73.4,16,68,7.7,3,1,19,583,408,884,546,338,36,29,2,103,Chiefs,2010,97072.5,
61,Manny Lawson,SF,ED,620,2967,16,3,2,2,2,28,1,74.3,23.1,82.0,67.8,77.5,8,22,6.4,3,5,3,214,273,487,418,67,24,41,4,33,49ers,2010,46066.0,
62,John McCargo,BUF,ED,19,2971,1,0,0,0,0,4,0,37.8,74.2,55.3,40.5,,0,0,,0,0,0,10,9,19,0,3,0,0,0,0,Bills,2010,718.1999999999999,
63,Mathias Kiwanuka,NYG,ED,155,2977,3,1,0,0,2,21,0,67.0,77.2,86.2,48.2,58.9,0,2,11.1,1,0,4,49,84,80,0,46,8,7,1,6,Giants,2010,10385.0,
64,Darryl Tapp,PHI,ED,460,3008,15,1,3,0,1,24,3,73.4,85.1,75.1,51.4,53.7,7,19,7.4,2,0,4,293,124,412,2,195,19,24,4,30,Eagles,2010,33764.0,
65,Frostee Rucker,CIN,ED,283,3036,9,6,1,0,0,7,0,63.9,82.0,68.8,53.1,76.2,6,9,0.0,0,0,1,136,143,283,0,273,8,10,1,16,Bengals,2010,18083.7,
66,Ray Edwards,MIN,ED,745,3072,14,2,2,1,0,18,0,76.3,48.3,78.2,67.0,78.4,7,52,6.9,2,4,9,419,302,744,1,740,27,25,3,68,Vikings,2010,56843.5,
67,Rob Ninkovich,NE,ED,565,3080,17,5,1,0,0,19,3,69.0,72.5,77.5,59.7,68.4,5,17,12.0,6,1,4,175,282,485,385,97,29,39,4,26,Patriots,2010,38985.0,
68,Parys Haralson,SF,ED,677,3085,15,9,0,1,0,28,2,59.1,50.3,76.5,53.8,62.3,3,31,12.2,5,3,4,276,280,612,414,198,20,27,3,38,49ers,2010,40010.700000000004,
69,Mark Anderson,HST,ED,456,3104,15,1,1,0,0,13,0,64.5,49.7,65.3,58.7,52.1,4,21,16.7,4,2,4,280,160,424,14,397,18,19,4,29,Texans,2010,29412.0,
70,Jeremy Mincey,JAX,ED,586,3136,15,2,2,1,0,15,0,67.1,70.9,65.8,64.9,60.4,4,17,12.9,4,1,5,314,256,582,2,568,25,25,5,26,Jaguars,2010,39320.6,
71,Dave Tollefson,NYG,ED,143,3198,11,1,2,0,1,21,0,70.8,36.6,64.0,59.9,42.2,2,4,20.0,1,1,1,92,45,133,0,110,3,3,0,7,Giants,2010,10124.4,
72,Jeff Charleston,NO,ED,267,3269,17,6,2,0,2,20,1,70.9,81.7,68.5,67.5,63.3,0,9,12.5,3,0,3,146,121,266,1,263,14,15,2,12,Saints,2010,18930.300000000003,
73,Jason Hunter,DEN,ED,754,3360,16,10,0,0,1,10,2,72.5,60.8,62.3,69.6,79.8,2,21,3.4,2,2,3,268,403,526,421,99,36,47,8,26,Broncos,2010,54665.0,
74,Pierre Woods,BUF,ED,33,3562,5,0,0,0,0,4,0,34.4,74.7,52.8,29.5,68.6,0,1,,0,0,0,18,12,32,10,11,1,0,0,1,Bills,2010,1135.2,
75,Jamaal Anderson,ATL,ED,431,3624,17,5,1,0,1,2,0,67.7,68.2,60.4,73.9,68.2,2,10,7.4,2,1,2,217,197,429,0,384,18,20,3,14,Falcons,2010,29178.7,
76,Jarvis Moss,OAK,ED,105,3633,12,2,0,1,0,23,0,52.6,0.0,66.4,53.1,75.3,2,7,0.0,0,2,3,76,24,87,9,77,3,2,0,12,Raiders,2010,5523.0,
77,Anthony Spencer,DAL,ED,938,3642,16,6,2,2,2,9,1,72.5,51.1,68.3,71.3,66.3,4,29,9.5,6,3,5,416,359,805,519,285,44,51,2,38,Cowboys,2010,68005.0,
78,Lamarr Woodley,PIT,ED,1108,3662,19,9,2,1,3,25,3,85.8,59.8,89.4,69.0,65.5,9,60,10.2,5,6,12,503,358,958,948,10,35,35,5,81,Steelers,2010,95066.4,
79,Turk McBride,DET,ED,448,3670,15,7,0,2,3,11,1,60.9,0.0,70.6,56.1,78.0,6,17,8.3,2,6,5,263,181,442,0,440,15,15,3,28,Lions,2010,27283.2,
80,Tim Crowder,TB,ED,630,3672,16,5,2,0,1,30,1,51.2,86.0,56.0,55.1,55.0,2,15,6.5,2,0,3,350,251,628,7,551,17,24,3,20,Buccaneers,2010,32256.0,
81,Ikaika Alama-Francis,MIA,ED,82,3674,9,1,0,0,0,17,0,36.8,78.8,53.7,43.8,52.1,1,0,10.0,1,0,0,28,48,77,60,17,3,8,0,1,Dolphins,2010,3017.6,
82,Quentin Moses,MIA,ED,182,3681,14,4,0,0,0,17,1,62.8,81.5,69.8,67.0,79.9,2,6,0.0,0,0,1,70,76,169,120,49,9,11,2,9,Dolphins,2010,11429.6,
83,Charles Johnson,CAR,ED,884,3699,16,3,1,1,1,5,0,83.2,26.0,86.8,71.2,43.7,11,58,14.0,8,7,12,469,379,866,10,804,48,46,5,81,Panthers,2010,73548.8,
84,Brian Robison,MIN,ED,323,3718,16,3,0,0,0,18,2,66.1,63.2,63.1,61.7,75.0,3,14,7.1,1,1,2,212,100,323,0,247,9,10,2,19,Vikings,2010,21350.3,
85,Antwan Barnes,SD,ED,254,3750,13,2,1,0,0,27,0,71.4,28.0,72.6,67.3,55.7,5,23,8.3,1,3,4,201,47,248,13,234,10,9,1,32,Chargers,2010,18135.600000000002,
