,position,weighted_avg_avg_depth_of_target,weighted_avg_avoided_tackles,weighted_avg_caught_percent,weighted_avg_contested_catch_rate,weighted_avg_contested_receptions,weighted_avg_contested_targets,weighted_avg_declined_penalties,weighted_avg_drop_rate,weighted_avg_drops,weighted_avg_first_downs,weighted_avg_franchise_id,weighted_avg_fumbles,weighted_avg_grades_hands_drop,weighted_avg_grades_hands_fumble,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_pass_route,weighted_avg_inline_rate,weighted_avg_inline_snaps,weighted_avg_interceptions,weighted_avg_longest,weighted_avg_pass_block_rate,weighted_avg_pass_blocks,weighted_avg_pass_plays,weighted_avg_penalties,weighted_avg_receptions,weighted_avg_route_rate,weighted_avg_routes,weighted_avg_slot_rate,weighted_avg_slot_snaps,weighted_avg_targeted_qb_rating,weighted_avg_targets,weighted_avg_touchdowns,weighted_avg_wide_rate,weighted_avg_wide_snaps,weighted_avg_yards,weighted_avg_yards_after_catch,weighted_avg_yards_after_catch_per_reception,weighted_avg_yards_per_reception,weighted_avg_yprr,Team,Year,Previous_avg_depth_of_target,Previous_avoided_tackles,Previous_caught_percent,Previous_contested_catch_rate,Previous_contested_receptions,Previous_contested_targets,Previous_declined_penalties,Previous_drop_rate,Previous_drops,Previous_first_downs,Previous_franchise_id,Previous_fumbles,Previous_grades_hands_drop,Previous_grades_hands_fumble,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_pass_route,Previous_inline_rate,Previous_inline_snaps,Previous_interceptions,Previous_longest,Previous_pass_block_rate,Previous_pass_blocks,Previous_pass_plays,Previous_penalties,Previous_receptions,Previous_route_rate,Previous_routes,Previous_slot_rate,Previous_slot_snaps,Previous_targeted_qb_rating,Previous_targets,Previous_touchdowns,Previous_wide_rate,Previous_wide_snaps,Previous_yards,Previous_yards_after_catch,Previous_yards_after_catch_per_reception,Previous_yards_per_reception,Previous_yprr
0,TE,9.423684210526316,1.868421052631579,54.55921052631579,30.219736842105263,4.232456140350878,11.850877192982455,0.9342105263157895,9.765350877192983,3.473684210526316,12.421052631578947,1.0,0.08771929824561403,52.50657894736842,69.83464912280701,52.85043859649122,82.22280701754386,54.33289473684211,35.810526315789474,112.48245614035088,2.539473684210526,37.19298245614035,9.500438596491227,24.17543859649123,364.1798245614035,3.912280701754386,29.70175438596491,85.46622807017543,321.4605263157895,42.27850877192982,165.67543859649123,59.3,57.09649122807018,0.8464912280701754,21.064473684210526,82.6359649122807,300.25877192982455,90.73245614035088,3.301315789473684,10.018859649122808,0.9242105263157895,Cardinals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TE,6.817768595041323,6.190082644628099,80.76033057851238,57.214049586776866,9.727272727272727,15.206611570247935,0.8842975206611571,4.869421487603306,1.9421487603305785,26.876033057851238,2.0,0.0,81.97768595041323,79.92479338842976,66.22644628099174,71.63388429752067,64.69628099173553,49.49669421487604,247.53719008264463,0.8842975206611571,33.85950413223141,11.876859504132232,54.425619834710744,524.7933884297521,3.6818181818181817,63.47933884297521,83.08512396694215,443.40495867768595,34.85950413223141,191.26446280991735,106.99752066115703,77.0909090909091,3.5661157024793386,13.35702479338843,74.06198347107438,590.4338842975206,207.3099173553719,3.3723140495867763,9.349173553719009,1.277809917355372,Falcons,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TE,8.559074733096086,1.5266903914590748,72.18932384341637,24.91103202846975,1.5516014234875444,6.914590747330961,0.6619217081850534,6.954092526690391,2.3380782918149468,20.12099644128114,3.0,0.0,63.90355871886121,75.99252669039146,72.39288256227759,48.95480427046263,72.67829181494662,42.169039145907476,101.95017793594306,0.18861209964412812,54.99288256227758,10.225978647686834,23.77935943060498,254.99288256227757,3.99288256227758,27.505338078291814,84.49466192170819,217.50533807829183,42.702135231316724,115.76156583629893,115.76334519572954,38.480427046263344,1.99288256227758,9.580071174377224,24.697508896797153,400.80782918149464,161.87188612099644,5.87864768683274,13.825978647686833,1.7508185053380783,Ravens,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TE,8.777570093457944,1.8691588785046729,68.7619937694704,41.39813084112149,2.4361370716510904,5.725856697819315,0.0,8.233644859813085,1.7133956386292835,8.461059190031152,4.0,1.0155763239875388,61.69252336448598,36.41370716510904,53.87694704049844,56.75202492211839,54.406853582554525,44.38348909657321,104.58255451713396,1.4454828660436136,23.118380062305295,14.267289719626168,31.186915887850468,236.0778816199377,1.7320872274143302,18.694704049844237,79.49283489096574,190.30218068535825,46.36635514018692,109.9221183800623,71.9778816199377,27.71651090342679,0.5856697819314641,7.0735202492211835,16.49221183800623,175.62305295950156,78.70404984423676,4.0429906542056075,9.0,0.9118380062305296,Bills,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TE,7.80712401055409,1.0606860158311346,71.66068601583113,75.72902374670186,4.108179419525066,5.158311345646438,0.0,6.813720316622692,2.54089709762533,18.20844327176781,5.0,0.0,64.05488126649077,76.09894459102902,58.764643799472296,69.411345646438,61.56437994722955,25.41767810026385,75.7467018469657,1.5303430079155673,28.59630606860158,8.796833773087071,22.353562005277045,311.70448548812664,1.3113456464379947,30.519788918205805,86.19366754617414,272.9683377308707,54.648548812664906,174.25593667546175,100.6825857519789,41.53825857519789,2.7889182058047495,17.058311345646437,54.699208443271765,301.2928759894459,119.14511873350924,4.739841688654354,10.766490765171504,1.1053298153034299,Panthers,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TE,8.940794223826714,0.8411552346570397,72.61660649819494,37.80252707581227,2.6823104693140793,7.046931407942238,0.0,6.141155234657039,2.5740072202166067,24.667870036101082,6.0,0.8411552346570397,72.80324909747291,45.839350180505406,66.72057761732853,65.39747292418772,62.66209386281589,36.818411552346575,163.96028880866427,1.7328519855595668,42.328519855595665,7.996389891696751,28.595667870036102,480.8447653429603,3.5740072202166067,45.96389891696751,85.18339350180506,420.28880866425993,38.57256317689531,198.32851985559566,107.68736462093864,62.2057761732852,5.1046931407942235,22.580144404332128,110.5740072202166,483.9675090252708,160.28519855595667,3.3469314079422383,10.321660649819494,1.0923465703971118,Bears,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TE,8.25342019543974,2.553745928338762,70.87980456026058,52.98306188925081,6.03257328990228,11.133550488599349,0.7850162866449512,8.192182410423452,3.3387622149837135,18.384364820846905,7.0,0.0,55.01921824104235,77.01433224755701,59.60521172638436,55.4400651465798,57.47198697068404,41.35960912052117,188.89576547231272,0.20195439739413681,28.495114006514658,9.397068403908795,44.20846905537459,448.52768729641696,3.95114006514658,36.56677524429968,83.19674267100976,371.3485342019544,44.35439739413681,199.21498371335505,102.61889250814332,52.87947882736157,2.547231270358306,10.143973941368078,40.25081433224756,377.7361563517915,167.57980456026058,4.453420195439739,10.449511400651465,1.1485016286644951,Bengals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TE,8.925925925925926,8.844444444444445,69.12370370370371,55.09481481481482,10.540740740740741,18.511111111111113,0.05185185185185185,11.481481481481481,7.014814814814815,24.066666666666666,8.0,0.0,45.71407407407407,78.63703703703703,65.50814814814815,54.77333333333334,64.78962962962963,71.00666666666666,377.3407407407407,2.674074074074074,61.77777777777778,11.091111111111111,50.4,527.4814814814815,4.525925925925926,49.84444444444444,82.69185185185185,443.2518518518518,18.51037037037037,103.93333333333334,94.95481481481482,73.62222222222222,3.7037037037037037,7.542962962962963,42.237037037037034,568.9481481481481,280.1185185185185,5.554814814814814,11.452592592592593,1.282888888888889,Browns,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TE,6.402222222222222,2.419047619047619,79.13619047619048,47.94063492063492,3.184126984126984,5.946031746031746,0.0,4.603174603174603,1.380952380952381,12.35873015873016,9.0,0.0,70.94952380952381,75.08698412698413,62.859365079365084,47.289523809523814,61.761269841269836,48.96698412698413,119.8984126984127,0.9206349206349206,37.733333333333334,10.603492063492062,25.733333333333334,252.9079365079365,1.7301587301587302,23.91111111111111,84.26730158730159,213.97460317460317,45.055238095238096,117.87619047619047,105.86825396825397,29.752380952380953,1.765079365079365,3.718095238095238,8.955555555555556,249.3904761904762,124.32380952380953,5.388571428571429,10.547619047619047,1.157936507936508,Cowboys,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TE,5.755504587155963,2.1559633027522938,69.96422018348623,15.412844036697248,0.7706422018348624,3.403669724770642,0.0,5.115596330275229,1.5871559633027523,10.678899082568808,10.0,0.0,68.96743119266056,75.13899082568807,60.04266055045871,60.58899082568807,58.6045871559633,50.23577981651376,130.90825688073394,1.4724770642201834,35.821100917431195,17.375229357798165,46.96330275229358,255.0,0.6743119266055045,23.472477064220183,77.03256880733944,193.8440366972477,30.29724770642202,76.57798165137615,78.51513761467889,33.34403669724771,1.201834862385321,15.185779816513762,37.41284403669725,226.6605504587156,127.68348623853211,5.543577981651376,9.55045871559633,1.161422018348624,Broncos,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
