Team,Year,Position,Value_cap_space,Value_draft_data,Current_AV,Current_PFF,Total DVOA,win-loss-pct,Net EPA,snap_counts_defense,weighted_avg_player,weighted_avg_player_id,weighted_avg_player_game_count,weighted_avg_assists,weighted_avg_batted_passes,weighted_avg_declined_penalties,weighted_avg_forced_fumbles,weighted_avg_franchise_id,weighted_avg_fumble_recoveries,weighted_avg_fumble_recovery_touchdowns,weighted_avg_grades_coverage_defense,weighted_avg_grades_defense_penalty,weighted_avg_grades_pass_rush_defense,weighted_avg_grades_run_defense,weighted_avg_grades_tackle,weighted_avg_hits,weighted_avg_hurries,weighted_avg_interception_touchdowns,weighted_avg_interceptions,weighted_avg_missed_tackle_rate,weighted_avg_missed_tackles,weighted_avg_pass_break_ups,weighted_avg_penalties,weighted_avg_qb_rating_against,weighted_avg_receptions,weighted_avg_sacks,weighted_avg_safeties,weighted_avg_snap_counts_box,weighted_avg_snap_counts_corner,weighted_avg_snap_counts_coverage,weighted_avg_snap_counts_dl,weighted_avg_snap_counts_dl_a_gap,weighted_avg_snap_counts_dl_b_gap,weighted_avg_snap_counts_dl_outside_t,weighted_avg_snap_counts_dl_over_t,weighted_avg_snap_counts_fs,weighted_avg_snap_counts_offball,weighted_avg_snap_counts_pass_rush,weighted_avg_snap_counts_run_defense,weighted_avg_snap_counts_slot,weighted_avg_stops,weighted_avg_tackles,weighted_avg_tackles_for_loss,weighted_avg_targets,weighted_avg_total_pressures,weighted_avg_touchdowns,weighted_avg_yards,Previous_AV,Previous_PFF,Previous_player,Previous_player_id,Previous_player_game_count,Previous_assists,Previous_batted_passes,Previous_declined_penalties,Previous_forced_fumbles,Previous_franchise_id,Previous_fumble_recoveries,Previous_fumble_recovery_touchdowns,Previous_grades_coverage_defense,Previous_PFF,Previous_grades_defense_penalty,Previous_grades_pass_rush_defense,Previous_grades_run_defense,Previous_grades_tackle,Previous_hits,Previous_hurries,Previous_interception_touchdowns,Previous_interceptions,Previous_missed_tackle_rate,Previous_missed_tackles,Previous_pass_break_ups,Previous_penalties,Previous_qb_rating_against,Previous_receptions,Previous_sacks,Previous_safeties,Previous_snap_counts_box,Previous_snap_counts_corner,Previous_snap_counts_coverage,Previous_snap_counts_dl,Previous_snap_counts_dl_a_gap,Previous_snap_counts_dl_b_gap,Previous_snap_counts_dl_outside_t,Previous_snap_counts_dl_over_t,Previous_snap_counts_fs,Previous_snap_counts_offball,Previous_snap_counts_pass_rush,Previous_snap_counts_run_defense,Previous_snap_counts_slot,Previous_stops,Previous_tackles,Previous_tackles_for_loss,Previous_targets,Previous_total_pressures,Previous_touchdowns,Previous_yards
Buccaneers,2019,DB,4.468650371944739,580.3534081406945,30.0,60.67429059099638,1.50%,0.4375,0.072,4687,0.0,37940.00170684873,12.94175378707062,4.138894815446981,0.5385107744826115,1.3644122039684232,0.3456368679325795,30.0,0.5263494772775763,0.0,59.41478557712822,64.78190740345636,56.981395348837204,58.66475357371452,56.251824194580756,0.23213142735225087,2.6532963516108383,0.14636227864305523,1.1245999573287817,13.833880947301047,7.574141241732452,6.390655003200341,4.382120759547685,94.70469383400895,31.632174098570513,0.2773629187113292,0.0,123.69148709195647,246.94730104544485,466.1414550885428,12.69767441860465,0.0,0.0,12.69767441860465,0.0,170.85875826754855,672.6556432686153,20.673351824194576,198.5385107744826,130.3053125666738,14.423725197354385,42.691913804139105,2.3138468103264347,52.69234051632174,3.162790697674419,3.5410710475784084,364.8056326008107,29.0,60.72213755764989,0.0,22640.28350836054,11.67240797627533,5.273602819428174,0.0555632737627594,0.5016434228112056,0.3669028177467548,30.0,0.34309519237096286,0.1325103848101046,62.00464515784882,60.61707968804635,70.8570595063951,53.17177491554428,58.3220455191709,59.42067398515054,0.2571749867200775,0.3976394723044976,0.0,0.6877666965294024,13.537061143345673,6.6391425309335,2.8097729405312197,2.042515299623515,111.14212030010624,23.62932106194823,0.0,0.0,87.43295373133768,213.04410771733097,319.61503585569295,16.97094858296333,0.0,0.0,16.97094858296333,0.0,140.74241003365645,515.251826716297,4.545177900463767,208.0625615431037,74.01023366559873,10.121463337809917,37.299742325147655,1.3889690783923403,33.35254913063737,0.654814459024575,2.4050992521520684,286.7562152422524
Packers,2019,DB,12.20510095642933,753.0276897728884,32.0,69.79405689436491,7.70%,0.8125,0.089,5519,0.0,24227.426345352418,14.209639427432506,5.510599746330857,0.0634172857401703,0.7803949990940388,0.6782025729298786,12.0,0.46185903243341186,0.0,72.08249682913572,66.35325240079725,62.14544301503896,57.46285558978076,58.080485595216516,0.5457510418554086,1.903786917919913,0.0,2.1295524551549194,13.663978981699584,8.382496829135713,6.237361840913209,1.9878601195868817,87.68483420909584,32.80974814277949,0.47943468019568763,0.0,166.28066678746148,290.31074470012686,488.96883493386485,13.66044573292263,0.0,0.0,13.66044573292263,0.0,162.11596303678203,774.458235187534,11.836021018300416,287.3138249682914,155.75086066316362,13.476897988766082,46.936945098749774,1.865374161985867,54.561514767167964,2.9289726399710094,2.329045116868998,455.25493748867547,23.0,60.2323966278603,0.0,25010.16791392862,12.313463395083165,4.6359595328684,0.16401850277327798,0.06573671924553187,0.0836624626818661,12.0,0.33397165948312957,0.0,60.561995395184915,60.24415691745433,60.453086184322814,54.477314520574495,58.07281472210639,58.21819293062721,0.0,2.786089591167803,0.07112497492139515,0.37200517186160026,15.026674738330195,6.912827773439511,3.960029317637405,2.2703051065482063,108.7926279102634,29.768092254307042,0.38581361440497475,0.0,107.19427082349327,255.9633453853691,379.2149433303947,9.516768591288958,0.0,0.0,9.516768591288958,0.0,126.37027006184861,628.8865412331653,13.537681210429819,245.6506852836297,137.43059119634987,9.540746706870799,37.45765041722335,0.9339200822894822,45.66414251827208,3.1719032055727774,3.260679167069097,379.5515493110938
Giants,2019,DB,6.094580233793836,437.84900786551015,29.0,58.79876094851527,-17.50%,0.25,-0.137,4681,0.0,25940.092287972657,12.501388592181158,7.069856868190557,0.1506088442640461,0.45417645802179013,0.5389873958555863,21.0,0.47938474684896387,0.0,56.258769493697926,68.78034607989746,49.38769493697928,65.8803674428541,65.99679555650502,0.4520401623584704,1.7534714804528946,0.1506088442640461,0.4742576372569964,11.254197820978426,7.525101474044008,3.692800683614612,3.0196539201025425,115.41785943174536,27.23392437513352,0.2407605212561418,0.06173894466994232,173.9820551164281,195.29352702414013,413.77675710318306,12.345225379192483,0.0,0.0,12.345225379192483,0.0,218.21192052980132,690.5171971800897,9.991454817346721,279.09421063875243,103.02969450972014,17.129032258064516,52.021149327066865,2.837427900021363,39.798974578081605,2.446272164067507,3.4629352702414016,388.9074983977782,33.0,64.75265180630284,0.0,13020.208780875759,14.340800425141728,7.9799550505087415,0.0,0.8362440106667496,0.5281877924204328,21.0,0.05014234040923306,0.0,65.30210175570126,64.68403841404489,72.80305326377982,62.76687117406766,60.438157331594084,56.495606766914264,0.8090226513509209,2.0863713069964356,0.2261719059653705,1.6691282354936288,15.056317937083726,11.433401743385764,3.297578809858341,3.8309504049773877,90.16932769738997,31.084577338393405,0.3135162619458725,0.0,176.73471686384644,289.360923657994,508.88672516461844,24.990697833550513,0.0,0.0,24.990697833550513,0.0,209.35178049792893,819.9288934695612,14.795375418933725,321.23749071955973,144.166229684747,15.035829376660605,53.75843665202475,1.6648179970953771,47.42644870409832,3.208910220293229,2.4161888408590246,389.437651768088
Commanders,2019,DB,10.77577045696068,187.8980709265843,29.0,59.19716260458348,-25.70%,0.1875,-0.213,5498,0.0,15519.714805383775,11.22990178246635,7.3310294652600945,0.0,0.36013095671153145,0.49417970170971265,32.0,0.33503092033466714,0.0,58.20232811931612,57.67901054929065,44.46837031647872,58.37440887595489,59.89108766824299,0.5078210258275737,1.401236813386686,0.0,1.2737359039650782,13.088032011640596,7.526009457984721,2.6307748272098945,2.8166606038559476,95.52209894507094,25.3501273190251,0.19225172790105494,0.0,142.11022189887237,187.0465623863223,364.2202619134231,17.244816296835214,0.0,0.0,17.244816296835214,0.0,164.49927246271375,610.3110221898872,9.241178610403784,254.09439796289558,116.6549654419789,14.586395052746454,43.48945070934885,2.097671880683885,36.231356857038925,2.101309567115315,2.495816660603856,287.67006184066935,33.0,66.48295923041687,0.0,13459.454936056825,14.011505228719093,8.792418242791902,0.0,0.508656257777948,1.7886072376922102,32.0,0.4846510657646019,0.0,66.87976271084808,66.68666146042129,73.27620831915513,41.235949735971154,63.40115089257221,63.26753138576355,0.35118865838201296,0.5688008895828853,0.0,1.9006564309116192,11.87139722807589,6.886811980121812,3.504435275903305,3.4605111695296946,103.49735965865652,28.998148403511394,0.27061151071108963,0.0,102.8166317942486,289.25867041445076,475.57004766931425,8.827019353501958,0.0,0.27061151071108963,8.556407842790868,0.0,229.82522672993605,759.2717681235071,8.474356906488907,284.0543829012059,137.1173050070281,9.852160808644657,48.47278312846436,0.2608654475346834,42.23029680385142,1.1906010586759879,3.559880130186184,374.68402947301234
Patriots,2019,DB,23.990435706695003,290.0230029661529,61.0,72.7709930802319,29.90%,0.75,0.227,5347,0.0,11915.622592107724,14.924630634000374,4.925752758556199,0.12287263886291376,0.5414250981858987,0.5853749766224051,19.0,0.3549654011595287,0.0,75.18363568356088,66.0422853936787,43.50884608191509,62.7731438189639,65.0486815036469,0.5270244997194689,1.4254722274172433,0.3560875257153544,2.976248363568356,10.559079857864223,5.025060781746774,5.221619599775575,2.9466990835982796,60.28773143818964,28.811670095380588,0.0,0.0,135.409949504395,251.02674396858052,472.02356461567234,30.07630446979615,0.0,0.0,30.07630446979615,0.0,148.61847765101928,680.5784552085281,12.352160089769965,226.279034972882,145.52328408453343,11.670656442865159,37.44548344866281,0.6480269309893398,51.16420422666916,1.9524967271367122,1.1814101365251544,325.2143257901627,45.0,75.64735594456602,0.0,9535.56882608939,15.201052294923347,6.069623944140553,0.0,0.8622584458613147,0.8186587092216997,19.0,0.8353289653461008,0.0,76.91301951476396,75.60714180700779,62.747788050833556,61.2460238525672,67.0058081377435,79.64553898773153,0.3746498208949455,1.7764395403445339,0.18555979713748225,1.8279042951954445,5.890622357602485,3.6192690190247103,5.76375663520055,3.08789730540799,93.1943518647066,36.978259629763684,0.6038093546720428,0.0,151.18581110492357,281.18248400269096,530.1141048133508,25.05720219838744,0.0,0.0,25.05720219838744,0.0,160.63682443400162,772.0761217205403,15.260945087535939,251.75827401804105,178.47750151514262,14.16789512736118,48.369133791369585,0.5931310227514327,61.69557986083013,2.754898715911522,3.872450443567061,417.2948501401583
Vikings,2019,DB,21.089266737513285,427.97686274275577,33.0,71.97187037037037,15.40%,0.625,0.123,5400,0.0,12915.134444444444,13.763333333333334,6.993703703703703,0.1798148148148148,0.7644444444444445,0.8516666666666667,18.0,0.7694444444444445,0.0,71.77366666666666,69.59696296296298,45.09814814814815,64.13501851851852,69.35181481481483,0.5183333333333333,1.2862962962962963,0.16851851851851848,2.147962962962963,9.075222222222221,5.741481481481482,4.441666666666666,3.2525925925925927,81.38694444444444,32.571851851851854,0.16999999999999996,0.0,121.08925925925926,242.1516666666667,448.3016666666667,23.72037037037037,0.0,0.0,23.72037037037037,0.0,194.79962962962964,676.8244444444445,10.252777777777778,241.99037037037036,118.08611111111111,14.08851851851852,47.63111111111111,2.3405555555555555,45.849444444444444,1.9746296296296297,1.9238888888888892,355.39314814814816,38.0,73.00500703800522,0.0,13098.153663453082,12.977924749851908,6.76059409632511,0.20551173783726362,1.2589852173537281,0.2546806220981298,18.0,0.41102347567452735,0.0,68.80377489732956,72.9894050164252,74.56781147344782,48.55063695420432,77.98790453036668,77.63613531181304,0.6497876785827926,1.3781922719247965,0.04916888426086617,1.411820455967159,7.8581773275908535,3.3685874195949266,3.682457619597626,3.479761017953351,77.39950852156059,25.44052483655728,1.112052780714537,0.0,126.20257447956683,235.45060152081354,374.36697599884286,28.92071439504937,0.0,0.0,28.92071439504937,0.0,153.2663410260753,613.4857556070161,13.217292937925723,254.82220106529692,98.10464784626235,14.841044857235161,39.11549568512102,1.9453843940251019,38.88214500407681,3.1400327312221266,0.9931029750900143,286.5090983295906
Broncos,2019,DB,10.095642933049948,166.11937578862995,39.0,70.59796716184519,-9.00%,0.4375,-0.053,5116,0.0,19256.47107114933,13.420641125879593,7.362587959343237,0.0,0.308835027365129,0.3999218139171227,10.0,0.09831899921813911,0.16458170445660672,69.6564894448788,74.26301798279906,56.33551602814699,71.35451524628617,65.85314698983582,0.10496481626270522,0.6135652853792025,0.0,1.4614933541829553,11.20168100078186,5.728303362001563,5.694683346364347,2.529515246286161,93.56311571540266,29.715011727912433,0.10496481626270522,0.0,142.1681000781861,276.20582486317437,459.45523846755276,2.950351837372948,0.0,0.0,2.950351837372948,0.0,196.1985926505082,739.5817044566068,3.679632525410477,279.3971853010164,124.6735731039875,15.599882720875682,46.558639562157936,1.7460906958561375,45.22028928850665,0.8234949179046129,1.9806489444878812,373.5373338545739,35.0,63.54422937771346,0.0,10378.180816803248,13.604853737754881,6.145605681657591,0.0,1.069126929635266,0.4838166760211022,10.0,0.1638817335665991,0.0,61.20223032032762,63.50691859506231,66.06182433578202,42.08710636368137,68.99615665125248,61.33044387099145,0.23644721513441813,1.2088621696840556,0.13040890823344273,1.6741036656157624,12.720954392663172,6.923253612934545,3.349487297643804,3.2553285350992716,98.49845219947134,32.72126738515532,0.46604769894764453,0.0,152.116518303692,226.92010475997918,445.0506458713999,11.838251469654379,0.0,0.0,11.838251469654379,0.0,188.9950706804769,726.1373816921753,13.282036378975835,279.64295091145397,157.85746635392792,10.822957762858296,43.552716483584874,0.44179572978632575,47.65087889739278,1.9113570837661182,2.6717252781279806,426.20341814599334
Falcons,2019,DB,4.585547290116897,397.3322187729504,27.0,56.84699625763246,-5.00%,0.4375,-0.03,5077,0.0,21202.543037226707,13.504234784321449,8.466220208784716,0.0,0.5448099271223164,0.23813275556430955,2.0,0.0,0.0,55.5876895804609,70.2923182982076,49.17104589324404,59.80612566476266,56.68707898365176,0.21528461689974385,1.118573961000591,0.0,1.2592081938152453,13.998640929682882,7.642111483159346,4.247784124482962,3.0238329722276935,99.15390978924562,31.11286192633445,0.0,0.0,107.4006302934804,246.7496553082529,424.5357494583415,9.790033484341146,0.0,0.0,9.790033484341146,0.0,171.12330116210362,668.4414024029938,6.24522355721883,247.45046287177468,142.98089422887531,9.838684262359662,41.23064802048454,1.576718534567658,45.45873547370494,1.333858577900335,2.4642505416584597,384.38861532401023,25.0,66.90850983358548,0.0,11610.0696508299,14.540171832594481,7.783458118604622,0.1423364839512178,1.6822391175714129,0.1423364839512178,2.0,0.36753673328311226,0.0,65.54472269558869,66.04562173795603,54.263930987651655,72.01397562798489,66.9609674570584,63.338840285305835,0.36753673328311226,1.0899242885793685,0.0,1.63027154103218,12.300468076297264,8.555984756558798,6.87664972150149,5.538298110877253,100.65581046751291,38.4302604476491,0.7853726113372627,0.0,95.2376992261057,395.5629809291525,521.8162353897582,12.661956770424228,0.0,0.0,12.661956770424228,0.0,132.4832038585682,806.279580258104,8.831623603738517,288.2936780350317,182.30467820003864,12.65365338401034,48.46368682017746,0.5139717739108293,58.27184861654359,2.2428336331997434,3.856156049015818,481.5548385322974
Bengals,2019,DB,8.331562167906483,336.0395863894794,27.0,58.06420443587272,-25.20%,0.125,-0.193,5185,0.0,18088.434329797492,13.313018322082932,7.715332690453231,0.0,0.32111861137897785,0.274831243972999,7.0,0.2686595949855352,0.0,58.97949855351978,70.17718418514947,55.477666345226616,54.9321118611379,53.84692381870781,0.808678881388621,1.6682738669238186,0.0,1.2104146576663453,13.32055930568949,10.91089681774349,2.9647058823529413,1.5351976856316296,101.10293153326904,27.733461909353906,0.2576663452266152,0.0,194.00983606557378,238.0185149469624,420.4892960462874,15.802892960462874,0.0,0.0,15.802892960462874,0.0,200.4499517839923,748.8912246865959,15.938090646094503,328.266730954677,116.41292189006751,13.882738669238186,50.13519768563164,1.7864995178399228,42.71051108968177,2.734619093539055,2.0981677917068464,416.8106075216972,24.0,70.59709049688269,0.0,19412.856345602006,14.45523251451574,9.086771653605558,0.0,0.5336338792389974,0.47521691862115184,7.0,0.1568032312881771,0.032595345603238096,71.49349449130372,70.73750644814785,59.848153324020146,33.432685636595316,69.36530586659454,58.82703143933394,0.22680114725127368,0.8041704183048741,0.41163822680975576,1.6233262837253384,14.923676286722795,10.268783353151083,4.969104904843939,2.874629863663429,95.93521600386917,29.614171158454276,0.19420580164803555,0.0,143.42161940575,308.62151277853235,508.63837465620946,7.331989275053669,0.0,0.0,7.331989275053669,0.0,279.20574514425135,850.7351345971173,6.158264049234242,343.2704851667272,119.48625726858347,15.414370681748562,56.932917435678,1.1886784104720711,47.89023824400741,1.2251773672041835,3.298419902219013,378.83096268454545
Colts,2019,DB,15.706695005313495,503.0988166362176,28.0,65.7787023977433,-5.00%,0.4375,0.009,4963,0.0,30630.03526093089,12.693330646786219,7.590771710658877,0.0,0.6931291557525691,0.1793270199476123,14.0,0.45798911948418297,0.0,62.39607092484386,80.201491033649,45.753032440056415,72.17366512190208,67.22202296997784,0.21075962119685673,1.0953052589159782,0.0,1.2633487809792465,10.147108603667137,5.697360467459198,2.2834978843441465,2.5865403989522466,101.72847068305461,26.449727987104573,0.46604876083014307,0.0,82.0489623211767,244.28551279468064,393.4630263953254,31.444892202296998,0.0,0.0,31.444892202296998,0.0,175.17086439653434,585.0783800120895,8.344146685472497,214.71609913358856,82.70703203707436,15.221035663912955,42.00322385653838,1.5051380213580496,37.787023977433,1.772113640942978,2.4321982671771107,323.9145678017328,40.0,70.6016367887763,0.0,18467.374178986138,12.524580696631531,9.560538871443176,0.1791163506747081,0.35665978059705883,0.7874462008962602,14.0,0.4388378202029362,0.0,68.46607104866311,70.5777244443072,71.86770266397389,50.32655202131892,74.70340267883175,71.92891678987033,0.2755992969854616,1.568922741835705,0.0,1.2737570222589156,9.901762171409988,5.444838429542218,3.3866205669268217,1.7083326624654842,90.23813130289098,29.10094339302473,0.35823270134941626,0.0,67.48581146345987,246.67293081884932,414.9046259330087,24.200219600343008,0.0,0.0,24.200219600343008,0.0,211.1520872834347,654.5942829120224,12.079749337288206,251.8101272420686,129.04379576759237,14.10642618780572,44.16564267939013,1.638049443246758,42.12430697001145,2.2027547401705827,1.435638170801201,301.64394980227223
