Unnamed: 0_x,season,team,position,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,Player,Position,Cap_Space,year,merge_player_y
127,2010,Bengals,CB,Jeromy Miles,00-0027244,0.0,2010.0,2010.0,MISSING,23.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bengals,-0.06,25.00%,jeromy miles,jeromy miles,jeromy miles,,,,,,
129,2010,Bengals,CB,Rico Murray,00-0026720,1.0,2009.0,2009.0,MISSING,23.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bengals,-0.06,25.00%,rico murray,rico murray,rico murray,,,,,,
136,2010,Bengals,DL,Victor Adeyanju,00-0024328,4.0,2006.0,2006.0,Rams,27.0,113,0.168,4.5,68.0,27.0,511.0,66.77398831123945,2010,Bengals,-0.06,25.00%,victor adeyanju,victor adeyanju,victor adeyanju,,,,,,
146,2010,Bengals,LB,Dhani Jones,00-0019635,10.0,2000.0,2000.0,Giants,32.0,177,0.09,1.6,21.0,6.49,274.0,5.10495108066649,2010,Bengals,-0.06,25.00%,dhani jones,daniel jones,daniel jones,,,,,,
163,2010,Bengals,RB,Brian Leonard,00-0025439,3.0,2007.0,2007.0,Rams,26.0,52,0.368,9.4,380.0,109.13,919.0,168.61546838539647,2010,Bengals,-0.06,25.00%,brian leonard,brian leonhardt,brian leonhardt,,,,,,
169,2010,Bengals,TE,Garrett Mills,00-0024321,4.0,2006.0,2006.0,Patriots,26.0,106,0.183,4.9,82.0,31.55,544.0,72.80595968297786,2010,Bengals,-0.06,25.00%,garrett mills,garrett mills,garrett mills,,,,,,
171,2010,Bengals,TE,J.P. Foschi,00-0022484,6.0,2004.0,2004.0,MISSING,28.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bengals,-0.06,25.00%,jp foschi,,jp foschi,,,,,,
172,2010,Bengals,TE,Daniel Coats,00-0024607,3.0,2007.0,2007.0,MISSING,26.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bengals,-0.06,25.00%,daniel coats,daniel scott,daniel scott,,,,,,
178,2010,Bengals,WR,Shay Hodge,00-0027617,0.0,2010.0,2010.0,MISSING,22.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bengals,-0.06,25.00%,shay hodge,,shay hodge,,,,,,
179,2010,Bengals,WR,Quan Cosby,00-0026716,1.0,2009.0,2009.0,MISSING,27.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bengals,-0.06,25.00%,quan cosby,quan cosby,quan cosby,,,,,,
201,2010,Bills,LB,Chris Ellis,00-0026212,2.0,2008.0,2008.0,Bills,25.0,72,0.271,7.4,230.0,66.81,748.0,138.439076962173,2010,Bills,-0.19,25.00%,chris ellis,chris collins,chris collins,,,,,,
