Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1515.0,1515.0,2010.0,Raiders,OL,Cooper Carlisle,00-0019632,10.0,2000.0,2000.0,Broncos,33.0,112.0,0.17,4.6,70.0,27.6,515.0,11.19838131196406,2010.0,Raiders,0.02,50.00%,cooper carlisle,cooper carlisle,cooper carlisle,11,Cooper Carlisle,OAK,G,99.9,0,23,66.0,62.0,65.6,4,32,564,99.8,99.8,96.3,4,39,3,1083,0,0,0,1084,611,612,1084,0,472,0,2010,71544.0,MISSING,cooper carlisle
614.0,614.0,2010.0,Chiefs,OL,Brian Waters,00-0018584,11.0,1999.0,1999.0,MISSING,33.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chiefs,0.05,58.80%,brian waters,brian waters,brian waters,12,Brian Waters,KC,G,100.0,0,16,82.8,81.4,77.0,4,11,503,100.0,100.0,98.3,1,16,1,1083,0,1078,5,1083,533,533,0,0,550,0,2010,89672.4,MISSING,brian waters
1817.0,1817.0,2010.0,Steelers,OL,Chris Kemoeatu,00-0023362,5.0,2005.0,2005.0,Steelers,27.0,204.0,0.065,0.7,10.0,3.56,199.0,14.96972318868196,2010.0,Steelers,0.18,73.70%,chris kemoeatu,chris kemoeatu,chris kemoeatu,13,Chris Kemoeatu,PIT,G,100.0,2,25,63.5,54.9,69.9,6,30,556,100.0,100.0,95.7,10,42,6,1080,0,1080,0,1080,590,590,0,0,490,0,2010,68580.0,MISSING,chris kemoeatu
1569.0,1569.0,2010.0,Rams,OL,Jacob Bell,00-0022875,6.0,2004.0,2004.0,Titans,29.0,138.0,0.134,3.2,37.0,15.47,405.0,27.469598815420767,2010.0,Rams,-0.04,43.80%,jacob bell,jacob bell,jacob bell,14,Jacob Bell,SL,G,100.0,0,26,73.7,78.1,69.3,2,17,627,100.0,100.0,98.0,4,22,3,1079,0,1079,0,1079,663,663,0,0,416,0,2010,79522.3,MISSING,jacob bell
1259.0,1259.0,2010.0,Lions,OL,Stephen Peterman,00-0022808,6.0,2004.0,2004.0,Cowboys,28.0,83.0,0.237,6.5,175.0,52.44,673.0,53.84125393981142,2010.0,Lions,-0.01,37.50%,stephen peterman,stephen peterman,stephen peterman,15,Stephen Peterman,DET,G,100.0,1,11,64.3,64.5,68.8,5,23,655,100.0,100.0,97.3,12,32,4,1076,0,0,0,1076,692,692,1076,0,384,0,2010,69186.8,MISSING,stephen peterman
1059.0,1059.0,2010.0,Giants,OL,Chris Snee,00-0022838,6.0,2004.0,2004.0,Giants,28.0,34.0,0.487,12.1,560.0,174.89,1143.0,111.9341286297672,2010.0,Giants,0.09,62.50%,chris snee,chris snee,chris snee,16,Chris Snee,NYG,G,100.0,2,21,77.4,78.4,78.2,1,16,564,100.0,100.0,98.3,7,18,1,1074,0,0,0,1074,597,597,1074,0,477,0,2010,83127.6,MISSING,chris snee
875.0,875.0,2010.0,Dolphins,OL,Richie Incognito,00-0023516,5.0,2005.0,2005.0,Rams,27.0,81.0,0.243,6.6,185.0,54.8,686.0,74.48597754206554,2010.0,Dolphins,-0.07,43.80%,richie incognito,richie incognito,richie incognito,17,Richie Incognito,MIA,G,100.0,0,17,77.5,71.5,77.5,6,12,618,100.0,100.0,97.9,3,22,4,1072,97,975,0,1072,643,643,0,0,429,0,2010,83080.0,MISSING,richie incognito
613.0,613.0,2010.0,Chiefs,OL,Ryan Lilja,00-0022350,6.0,2004.0,2004.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chiefs,0.05,58.80%,ryan lilja,ryan lilja,ryan lilja,18,Ryan Lilja,KC,G,100.0,0,16,77.8,68.2,78.1,9,22,517,100.0,100.0,96.8,4,32,1,1069,0,0,0,1069,548,548,1069,0,521,0,2010,83168.2,MISSING,ryan lilja
1881.0,1881.0,2010.0,Texans,OL,Wade Smith,00-0022131,7.0,2003.0,2003.0,Dolphins,29.0,78.0,0.251,6.9,200.0,58.54,706.0,42.57531677175973,2010.0,Texans,-0.04,37.50%,wade smith,wade smith,wade smith,19,Wade Smith,HST,G,100.0,0,13,86.7,82.9,82.8,3,11,607,100.0,100.0,98.7,1,15,1,1067,0,1067,0,1067,645,645,0,0,422,0,2010,92508.9,MISSING,wade smith
1127.0,1127.0,2010.0,Jaguars,OL,Uche Nwaneri,00-0025536,3.0,2007.0,2007.0,Jaguars,26.0,149.0,0.121,2.7,32.0,12.11,365.0,48.75857283483297,2010.0,Jaguars,-0.1,50.00%,uche nwaneri,uche nwaneri,uche nwaneri,20,Uche Nwaneri,JAX,G,100.0,0,15,66.2,68.7,63.5,4,14,532,100.0,100.0,97.4,3,23,5,1061,0,0,0,1061,562,562,1061,0,499,0,2010,70238.2,MISSING,uche nwaneri
947.0,947.0,2010.0,Eagles,OL,Todd Herremans,00-0023560,5.0,2005.0,2005.0,Eagles,27.0,126.0,0.148,3.8,46.0,20.21,453.0,42.38518434924473,2010.0,Eagles,0.01,58.80%,todd herremans,todd herremans,todd herremans,21,Todd Herremans,PHI,G,99.9,0,24,80.3,65.9,86.2,6,28,666,99.9,99.9,97.0,6,37,3,1059,0,1054,3,1060,708,709,0,0,351,3,2010,85118.0,MISSING,todd herremans
805.0,805.0,2010.0,Cowboys,OL,Leonard Davis,00-0020533,9.0,2001.0,2001.0,Cardinals,31.0,2.0,1.099,30.2,2600.0,717.17,2635.0,128.727258422021,2010.0,Cowboys,0.0,37.50%,leonard davis,leonard davis,leonard davis,22,Leonard Davis,DAL,G,100.0,0,9,74.2,71.1,75.3,1,17,618,100.0,100.0,97.7,4,23,5,1046,0,0,0,1046,652,652,1046,0,394,0,2010,77613.2,MISSING,leonard davis
1066.0,1066.0,2010.0,Giants,OL,Rich Seubert,00-0020138,9.0,2001.0,2001.0,MISSING,31.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Giants,0.09,62.50%,rich seubert,rich seubert,rich seubert,23,Rich Seubert,NYG,G,99.8,1,21,80.8,77.5,79.5,4,14,536,99.8,99.6,98.3,1,18,0,1019,384,630,0,1021,567,569,0,0,452,7,2010,82496.8,MISSING,rich seubert
553.0,553.0,2010.0,Chargers,OL,Kris Dielman,00-0021546,7.0,2003.0,2003.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chargers,0.24,56.30%,kris dielman,kris dielman,kris dielman,24,Kris Dielman,SD,G,100.0,0,27,79.3,70.6,79.8,1,21,563,100.0,100.0,97.5,2,25,3,1001,0,1001,0,1001,583,583,0,0,418,0,2010,79379.3,MISSING,kris dielman
1627.0,1627.0,2010.0,Ravens,OL,Chris Chester,00-0024271,4.0,2006.0,2006.0,Ravens,27.0,56.0,0.347,9.0,340.0,98.27,880.0,143.55294526800526,2010.0,Ravens,0.06,72.20%,chris chester,chris chester,chris chester,25,Chris Chester,BLT,G,99.2,0,3,75.7,70.3,74.1,3,12,505,98.4,98.5,97.5,2,20,5,998,6,0,0,1006,535,543,983,0,463,16,2010,76154.2,MISSING,chris chester
92.0,92.0,2010.0,Bears,OL,Roberto Garza,00-0020260,9.0,2001.0,2001.0,Falcons,31.0,99.0,0.199,5.3,104.0,36.86,580.0,17.74989397005592,2010.0,Bears,0.02,66.70%,roberto garza,roberto garza,roberto garza,26,Roberto Garza,CHI,G,100.0,0,6,71.9,56.7,74.3,6,21,536,100.0,100.0,96.7,6,31,4,997,0,298,0,997,571,571,699,0,426,0,2010,71684.3,MISSING,roberto garza
1386.0,1386.0,2010.0,Panthers,OL,Geoff Schwartz,00-0026381,2.0,2008.0,2008.0,Panthers,24.0,241.0,0.05,0.0,0.0,1.56,112.0,13.582120429202346,2010.0,Panthers,-0.21,12.50%,geoff schwartz,geoff schwartz,geoff schwartz,27,Geoff Schwartz,CAR,G,100.0,0,5,77.3,76.2,77.7,6,13,550,100.0,100.0,97.5,5,23,4,989,0,0,0,989,574,574,687,302,415,0,2010,76449.7,MISSING,geoff schwartz
285.0,285.0,2010.0,Broncos,OL,Chris Kuper,00-0024375,4.0,2006.0,2006.0,Broncos,27.0,161.0,0.108,2.2,27.0,9.27,324.0,38.20931514293273,2010.0,Broncos,-0.13,25.00%,chris kuper,chris kuper,chris kuper,28,Chris Kuper,DEN,G,100.0,1,10,68.4,73.0,66.5,3,19,605,100.0,100.0,97.4,6,27,5,987,0,0,0,987,640,640,987,0,347,0,2010,67510.8,MISSING,chris kuper
158.0,158.0,2010.0,Bengals,OL,Nate Livings,00-0023958,4.0,2006.0,2006.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Bengals,-0.06,25.00%,nate livings,nate livings,nate livings,29,Nate Livings,CIN,G,100.0,0,7,73.7,59.8,79.9,4,28,570,100.0,100.0,96.8,2,34,2,986,0,986,0,986,606,606,0,0,380,0,2010,72668.2,MISSING,nate livings
674.0,674.0,2010.0,Colts,OL,Mike Pollak,00-0026199,2.0,2008.0,2008.0,Colts,25.0,59.0,0.332,8.6,310.0,90.84,853.0,166.95108740594816,2010.0,Colts,0.06,58.80%,mike pollak,mike pollak,mike pollak,30,Mike Pollak,IND,G,100.0,0,14,76.6,68.8,76.0,8,21,584,100.0,100.0,97.5,1,29,0,980,0,0,0,980,605,605,980,0,375,0,2010,75068.0,MISSING,mike pollak
743.0,743.0,2010.0,Commanders,OL,Kory Lichtensteiger,00-0026248,2.0,2008.0,2008.0,Broncos,25.0,108.0,0.179,4.8,78.0,30.17,534.0,86.88494786109887,2010.0,Commanders,-0.12,37.50%,kory lichtensteiger,kory lichtensteiger,kory lichtensteiger,31,Kory Lichtensteiger,WAS,G,100.0,0,32,71.8,50.9,79.9,6,23,620,100.0,100.0,96.5,4,36,7,977,0,962,0,977,656,656,10,0,321,5,2010,70148.59999999999,MISSING,kory lichtensteiger
1570.0,1570.0,2010.0,Rams,OL,Adam Goldberg,00-0021637,7.0,2003.0,2003.0,MISSING,30.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Rams,-0.04,43.80%,adam goldberg,adam goldberg,adam goldberg,32,Adam Goldberg,SL,G,100.0,1,26,59.9,54.1,61.1,7,29,571,100.0,100.0,96.3,3,39,3,963,0,0,0,963,603,603,963,0,360,0,2010,57683.7,MISSING,adam goldberg
480.0,480.0,2010.0,Cardinals,OL,Deuce Lutui,00-0024256,4.0,2006.0,2006.0,Cardinals,27.0,41.0,0.436,11.0,490.0,145.59,1044.0,182.19076005237497,2010.0,Cardinals,-0.21,31.30%,deuce lutui,deuce lutui,deuce lutui,33,Deuce Lutui,ARZ,G,100.0,0,1,61.2,73.2,53.7,3,20,621,100.0,100.0,97.8,5,25,2,960,0,0,0,960,643,643,960,0,317,0,2010,58752.0,MISSING,deuce lutui
481.0,481.0,2010.0,Cardinals,OL,Alan Faneca,00-0005058,12.0,1998.0,1998.0,Steelers,33.0,26.0,0.549,13.9,700.0,222.74,1284.0,21.520776974282967,2010.0,Cardinals,-0.21,31.30%,alan faneca,alan faneca,alan faneca,34,Alan Faneca,ARZ,G,100.0,0,1,68.6,65.8,67.2,5,26,621,100.0,100.0,97.0,1,34,3,960,0,960,0,960,643,643,0,0,317,0,2010,65856.0,MISSING,alan faneca
351.0,351.0,2010.0,Browns,OL,Eric Steinbach,00-0022122,7.0,2003.0,2003.0,Bengals,30.0,33.0,0.495,12.3,580.0,179.54,1159.0,84.5296243200896,2010.0,Browns,-0.12,31.30%,eric steinbach,eric steinbach,eric steinbach,35,Eric Steinbach,CLV,G,99.9,0,8,70.7,67.5,66.2,2,21,529,99.8,99.8,97.3,0,26,3,957,0,947,0,958,557,558,0,0,400,11,2010,67730.6,MISSING,eric steinbach
1942.0,1942.0,2010.0,Titans,OL,Jake Scott,00-0022755,6.0,2004.0,2004.0,Colts,29.0,141.0,0.13,3.1,36.0,14.47,394.0,26.62977401390155,2010.0,Titans,-0.03,37.50%,jake scott,jake scott,jake scott,36,Jake Scott,TEN,G,100.0,0,31,60.7,72.2,59.8,3,19,513,100.0,100.0,97.7,10,23,1,953,0,0,0,953,545,545,953,0,408,0,2010,57847.100000000006,MISSING,jake scott
32.0,32.0,2010.0,49ers,OL,Mike Iupati,00-0027869,0.0,2010.0,2010.0,49ers,23.0,17.0,0.646,16.6,950.0,295.92,1508.0,432.8370230110429,2010.0,49ers,-0.03,37.50%,mike iupati,mike iupati,mike iupati,37,Mike Iupati,SF,G,100.0,0,28,82.1,69.0,86.3,6,20,553,100.0,100.0,97.3,4,28,2,951,0,951,0,951,582,582,0,0,369,0,2010,78077.09999999999,MISSING,mike iupati
281.0,281.0,2010.0,Broncos,OL,Zane Beadles,00-0027658,0.0,2010.0,2010.0,Broncos,23.0,45.0,0.409,10.4,450.0,131.1,995.0,254.73942485124735,2010.0,Broncos,-0.13,25.00%,zane beadles,zane beadles,zane beadles,38,Zane Beadles,DEN,G,100.0,0,10,70.2,62.3,72.1,3,30,545,100.0,100.0,96.2,2,37,4,929,0,514,0,929,574,574,0,405,355,10,2010,65215.8,MISSING,zane beadles
214.0,214.0,2010.0,Bills,OL,Andy Levitre,00-0027027,1.0,2009.0,2009.0,Bills,24.0,51.0,0.373,9.6,390.0,112.03,929.0,209.52192215027895,2010.0,Bills,-0.19,25.00%,andy levitre,andy levitre,andy levitre,39,Andy Levitre,BUF,G,100.0,0,4,70.1,75.6,68.5,3,13,562,100.0,100.0,98.2,7,18,2,927,8,919,0,927,582,582,0,0,345,0,2010,64982.7,MISSING,andy levitre
