,Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
0,Cardinals,14.0,14.0,25.0,4.0,43.0,21.0,28.0,26.0,8.0
1,Falcons,15.0,13.0,29.0,7.0,43.0,41.0,20.0,27.0,5.0
2,Ravens,27.0,22.0,19.0,20.0,70.0,22.0,27.0,48.0,11.0
3,Bills,12.0,11.0,20.0,5.0,37.0,53.0,34.0,51.0,5.0
4,Panthers,9.0,16.0,16.0,5.0,29.0,18.0,31.0,26.0,9.0
5,Bears,9.0,11.0,22.0,3.0,31.0,29.0,35.0,43.0,5.0
6,Bengals,8.0,11.0,19.0,5.0,33.0,39.0,22.0,27.0,7.0
7,Browns,11.0,17.0,25.0,1.0,42.0,37.0,22.0,33.0,6.0
8,Cowboys,15.0,14.0,28.0,7.0,60.0,42.0,28.0,32.0,4.0
9,Broncos,10.0,14.0,16.0,6.0,32.0,29.0,31.0,39.0,8.0
10,Lions,10.0,7.0,25.0,5.0,35.0,27.0,27.0,34.0,8.0
11,Packers,14.0,18.0,22.0,6.0,47.0,32.0,28.0,32.0,8.0
12,Texans,17.0,15.0,26.0,7.0,49.0,23.0,25.0,29.0,6.0
13,Colts,11.0,18.0,15.0,8.0,50.0,32.0,28.0,28.0,5.0
14,Jaguars,12.0,12.0,21.0,3.0,38.0,32.0,26.0,32.0,10.0
15,Chiefs,19.0,16.0,30.0,15.0,54.0,42.0,23.0,34.0,8.0
16,Raiders,11.0,15.0,13.0,10.0,44.0,34.0,17.0,28.0,5.0
17,Chargers,13.0,18.0,19.0,6.0,44.0,39.0,27.0,30.0,6.0
18,Rams,12.0,9.0,26.0,9.0,46.0,31.0,29.0,44.0,6.0
19,Dolphins,11.0,9.0,22.0,4.0,35.0,17.0,18.0,35.0,5.0
20,Vikings,14.0,25.0,24.0,8.0,45.0,43.0,31.0,33.0,7.0
21,Patriots,12.0,17.0,22.0,3.0,43.0,52.0,56.0,61.0,3.0
22,Saints,16.0,20.0,29.0,9.0,58.0,37.0,29.0,33.0,9.0
23,Giants,12.0,12.0,20.0,6.0,40.0,24.0,28.0,29.0,4.0
24,Jets,7.0,6.0,17.0,2.0,29.0,34.0,32.0,42.0,5.0
25,Eagles,12.0,15.0,12.0,13.0,51.0,43.0,27.0,36.0,9.0
26,Steelers,4.0,12.0,16.0,3.0,35.0,33.0,37.0,47.0,7.0
27,49ers,15.0,24.0,24.0,12.0,46.0,53.0,28.0,35.0,5.0
28,Seahawks,15.0,15.0,25.0,6.0,45.0,28.0,39.0,34.0,6.0
29,Buccaneers,15.0,13.0,27.0,6.0,45.0,25.0,28.0,30.0,5.0
30,Titans,16.0,18.0,19.0,10.0,42.0,28.0,31.0,33.0,4.0
31,Commanders,7.0,13.0,17.0,7.0,32.0,21.0,24.0,29.0,8.0
