Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year_y,weighted_grade,weighted_average_grade,merge_player_y
316.0,316.0,2010.0,Browns,CB,Sheldon Brown,00-0021186,8.0,2002.0,2002.0,Eagles,31.0,59.0,0.332,8.6,310.0,90.84,853.0,41.16963128105659,2010.0,Browns,-0.12,31.30%,sheldon brown,sheldon brown,sheldon brown,11,Sheldon Brown,CLV,CB,890,1066,16,5,0,0,8,0,65.9,71.2,89.9,61.8,2,0,11.8,8,8,3,114.2,46,776,482,9,16,55,1,72,7,657,2010,63368.0,MISSING,sheldon brown
254.0,254.0,2010.0,Broncos,CB,Andre' Goodman,00-0021194,8.0,2002.0,2002.0,Lions,32.0,68.0,0.287,7.7,250.0,72.97,778.0,35.9797142050807,2010.0,Broncos,-0.13,25.00%,andre goodman,andre goodman,andre goodman,12,Andre' Goodman,DEN,CB,367,1075,8,0,1,0,10,0,62.7,60.0,35.0,73.0,0,0,5.6,1,6,1,84.7,19,331,186,26,4,17,0,41,1,353,2010,22020.0,MISSING,andre goodman
1226.0,1226.0,2010.0,Lions,CB,Dante Wesley,00-0021224,8.0,2002.0,2002.0,Panthers,31.0,100.0,0.196,5.3,100.0,36.06,575.0,23.69967991851887,2010.0,Lions,-0.01,37.50%,dante wesley,dante wesley,dante wesley,13,Dante Wesley,DET,CB,8,1101,1,0,0,0,11,0,66.5,66.8,70.8,72.5,0,0,0.0,0,0,0,56.3,1,8,5,0,1,1,0,2,0,4,2010,534.4,MISSING,dante wesley
980.0,980.0,2010.0,Falcons,CB,Brian Williams,00-0021229,8.0,2002.0,2002.0,Vikings,31.0,105.0,0.185,5.0,84.0,32.26,549.0,22.23947747732135,2010.0,Falcons,0.1,76.50%,brian williams,brian williams,brian williams,14,Brian Williams,ATL,CB,386,1106,15,6,1,0,2,1,64.0,65.2,0.0,61.7,0,0,15.6,5,1,3,103.8,18,2,247,365,8,21,1,22,0,196,2010,25167.2,MISSING,brian williams
773.0,773.0,2010.0,Cowboys,CB,Terence Newman,00-0022045,7.0,2003.0,2003.0,Cowboys,31.0,5.0,0.991,24.3,1700.0,467.81,2152.0,181.3562757895569,2010.0,Cowboys,0.0,37.50%,terence newman,terence newman,terence newman,15,Terence Newman,DAL,CB,877,1321,16,1,1,0,9,1,60.6,62.1,63.5,73.3,5,0,5.1,4,3,3,91.1,64,796,573,46,12,74,1,98,5,914,2010,54461.7,MISSING,terence newman
1714.0,1714.0,2010.0,Seahawks,CB,Marcus Trufant,00-0022046,7.0,2003.0,2003.0,Seahawks,29.0,11.0,0.777,19.3,1250.0,357.62,1737.0,141.48060883593095,2010.0,Seahawks,-0.13,44.40%,marcus trufant,marcus trufant,marcus trufant,16,Marcus Trufant,SEA,CB,1049,1327,18,10,0,1,29,2,56.5,58.9,88.9,77.4,1,1,6.3,6,9,2,103.0,69,949,644,22,16,79,1,113,6,977,2010,61786.1,MISSING,marcus trufant
1484.0,1484.0,2010.0,Raiders,CB,Nnamdi Asomugha,00-0022077,7.0,2003.0,2003.0,Raiders,29.0,31.0,0.51,12.7,600.0,190.21,1192.0,87.42463250014954,2010.0,Raiders,0.02,50.00%,nnamdi asomugha,nnamdi asomugha,nnamdi asomugha,17,Nnamdi Asomugha,OAK,CB,767,1347,14,1,0,0,23,0,78.5,74.1,89.0,48.6,0,0,20.8,5,6,6,66.0,13,669,441,72,5,18,1,29,0,185,2010,56834.7,MISSING,nnamdi asomugha
64.0,64.0,2010.0,Bears,CB,Charles Tillman,00-0022123,7.0,2003.0,2003.0,Bears,29.0,35.0,0.48,12.0,550.0,170.37,1128.0,81.72855821666506,2010.0,Bears,0.02,66.70%,charles tillman,charles tillman,charles tillman,18,Charles Tillman,CHI,CB,1165,1351,18,9,0,3,6,3,77.6,78.1,72.0,82.3,6,0,5.5,5,8,4,72.2,67,1071,752,31,16,77,1,111,4,807,2010,90986.5,MISSING,charles tillman
1093.0,1093.0,2010.0,Jaguars,CB,Rashean Mathis,00-0022080,7.0,2003.0,2003.0,Jaguars,30.0,39.0,0.451,11.3,510.0,153.42,1071.0,76.54689989843492,2010.0,Jaguars,-0.1,50.00%,rashean mathis,rashean mathis,rashean mathis,19,Rashean Mathis,JAX,CB,964,1355,16,4,0,0,15,0,54.4,58.4,66.0,65.5,1,0,8.9,5,6,5,107.4,39,851,569,48,8,47,1,66,5,589,2010,56297.6,MISSING,rashean mathis
185.0,185.0,2010.0,Bills,CB,Drayton Florence,00-0021994,7.0,2003.0,2003.0,Chargers,29.0,46.0,0.402,10.2,440.0,127.71,984.0,68.20704292445734,2010.0,Bills,-0.19,25.00%,drayton florence,drayton florence,drayton florence,20,Drayton Florence,BUF,CB,1063,1362,16,1,1,1,4,1,60.1,55.3,28.6,53.9,3,1,11.7,7,11,10,94.0,48,802,527,166,14,52,2,77,6,559,2010,58783.899999999994,MISSING,drayton florence
