player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Curtis Riley,10109,S,NYG,16,5,0,56.5,0,0,21,0,0,63.9,58.1,86.9,68.8,37.2,29.1,1,3,1,4,32,25.6,23,1,0,39.5,13,0,0,159,4,623,1048,9,0,0,9,0,785,1039,13,412,91,6,62,0,23,4,0,165,95,12.7
Corey Moore,10117,S,IND,6,1,0,100.0,0,0,14,0,0,55.1,55.3,88.1,60.0,60.1,63.8,0,0,0,1,30,20.0,1,0,0,79.2,1,0,0,4,0,30,52,0,0,0,0,0,42,52,1,21,5,0,3,0,1,0,0,30,6,30.0
Nick Dzubnar,10127,LB,LAC,4,0,0,,0,0,27,0,0,60.0,65.2,99.9,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,4,1,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,
Daniel Brown,10144,TE,CHI,1,0,0,,0,0,6,0,0,,60.0,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
T.Y. McGill,10156,DI,LAC,6,2,0,,1,0,27,0,0,,47.2,0.0,61.7,52.3,70.3,1,1,0,0,,0.0,0,0,2,0.0,0,0,0,0,0,0,95,95,29,60,0,6,0,0,44,51,0,2,2,1,0,2,0,0,0,
Daniel Munyer,10174,G,ARZ,3,0,0,,0,0,1,0,0,,64.8,72.3,59.9,61.6,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,
Efe Obada,10235,ED,CAR,10,0,1,100.0,0,0,5,0,0,57.8,58.8,58.5,69.7,47.3,31.4,5,7,0,1,15,40.0,2,0,1,112.5,2,2,0,0,0,4,189,187,0,8,176,3,0,2,108,77,0,5,3,0,2,14,1,22,18,11.0
Brian Peters,10248,LB,HST,6,2,0,100.0,0,0,13,0,0,39.6,46.5,82.1,59.6,69.1,30.0,0,0,0,0,44,30.0,3,0,0,118.8,6,0,0,43,1,34,53,6,0,0,6,0,0,47,2,17,2,3,5,0,6,0,0,104,84,17.3
Erik Harris,10346,S,OAK,15,8,0,52.9,0,0,23,0,0,79.9,73.5,85.6,53.6,52.0,73.4,1,0,0,2,23,10.4,5,4,0,60.5,9,0,0,104,8,223,433,33,0,0,33,0,242,400,13,197,46,10,35,2,17,1,2,60,21,6.7
Joey Bosa,10637,ED,LAC,7,4,0,,0,0,27,1,0,67.1,75.8,50.8,72.7,69.2,42.7,4,19,0,0,,18.2,4,0,2,0.0,0,6,0,1,0,1,314,313,0,7,253,53,0,1,206,107,0,14,14,1,0,29,0,0,0,
Jalen Ramsey,10639,CB,JAX,16,4,0,55.1,0,0,15,0,0,71.9,72.1,27.5,,77.0,77.6,0,0,0,3,78,5.8,4,9,5,77.6,54,0,0,53,852,621,1019,9,0,0,9,0,40,1010,0,398,65,15,61,2,98,0,3,756,246,14.0
DeForest Buckner,10641,DI,SF,16,15,3,,0,0,28,1,0,67.8,79.3,52.2,73.0,72.6,49.7,9,31,0,0,,10.5,6,0,4,0.0,0,13,0,1,0,0,852,851,31,446,79,295,0,1,544,308,0,37,36,5,0,53,0,0,0,
Leonard Floyd,10643,ED,CHI,16,10,0,66.7,1,0,6,1,0,71.9,68.6,48.1,57.9,79.3,45.7,7,25,1,1,14,14.6,7,3,4,74.3,8,4,0,23,0,104,794,733,0,0,733,0,0,61,443,247,38,25,31,4,12,36,1,68,31,8.5
Eli Apple,10644,CB,NO,15,7,0,59.3,2,1,20,2,0,62.3,62.3,87.5,,56.8,43.2,0,0,0,2,58,19.8,18,10,11,86.5,64,0,0,68,773,598,905,1,0,0,1,0,2,904,0,307,61,15,66,0,108,0,3,867,256,13.5
Vernon Hargreaves III,10645,CB,TB,1,1,0,71.4,0,1,30,0,0,56.4,62.3,76.7,60.0,83.2,81.2,0,0,0,0,19,0.0,0,1,0,96.7,5,0,0,3,16,39,53,0,0,0,0,0,0,53,1,13,34,1,7,0,7,0,0,59,14,11.8
Sheldon Rankins,10646,DI,NO,16,5,0,66.7,0,1,20,0,0,67.1,79.0,87.7,70.4,68.0,71.2,6,32,0,0,18,3.1,1,1,0,92.4,2,8,0,0,0,19,642,642,38,484,3,117,0,0,446,177,0,29,26,4,3,46,0,25,7,12.5
Karl Joseph,10648,S,OAK,13,11,0,55.6,0,0,23,0,0,68.0,74.5,46.0,75.3,77.1,72.4,0,5,0,1,20,8.5,4,1,1,73.6,5,2,0,232,2,240,509,25,0,0,25,0,195,484,18,251,55,11,32,0,9,7,1,60,18,12.0
Keanu Neal,10651,S,ATL,1,0,0,50.0,0,0,2,0,0,58.0,62.4,72.7,59.1,69.1,73.3,0,0,0,0,7,0.0,0,0,0,58.3,1,0,0,14,1,24,37,1,0,0,1,0,12,36,1,12,9,1,1,0,2,0,0,7,3,7.0
Shaq Lawson,10653,ED,BUF,14,6,5,50.0,1,2,4,0,0,57.8,76.5,72.9,65.0,81.1,81.6,8,11,0,0,14,3.7,1,0,1,72.9,1,4,0,1,0,12,440,439,0,23,379,37,0,1,220,208,0,18,20,4,2,23,0,14,5,14.0
Darron Lee,10654,LB,NYJ,12,15,0,75.9,0,0,22,0,0,84.8,72.4,85.9,50.4,55.1,61.4,2,1,1,3,31,11.0,9,3,0,83.4,41,0,0,637,26,423,808,71,0,0,71,0,0,737,61,324,74,32,58,5,54,3,2,374,227,9.1
William Jackson III,10658,CB,CIN,16,4,0,55.1,2,0,7,0,0,72.9,73.4,69.4,,71.2,39.6,0,0,0,0,60,19.6,9,10,4,101.9,38,0,0,67,959,633,1063,2,0,0,2,0,2,1061,0,430,33,11,33,2,69,0,5,493,152,13.0
Artie Burns,10659,CB,PIT,9,1,0,73.1,1,1,25,0,0,57.4,58.6,28.6,60.0,70.1,61.0,0,0,0,0,51,13.6,3,1,5,149.0,19,0,1,23,270,202,308,3,0,0,3,0,0,305,1,105,12,5,18,1,26,0,4,290,55,15.3
Kenny Clark,10661,DI,GB,13,14,3,100.0,1,1,12,2,0,45.6,90.2,68.3,88.8,88.6,64.2,4,36,0,0,9,5.8,3,0,2,104.2,1,6,0,4,0,22,720,716,331,367,6,12,0,4,408,290,0,35,35,2,1,46,0,9,3,9.0
Robert Nkemdiche,10663,DI,ARZ,10,3,1,100.0,0,1,1,0,0,66.2,58.1,54.3,61.8,54.1,76.7,4,1,0,0,-1,3.8,1,0,2,79.2,1,5,0,0,0,1,426,426,22,358,1,45,0,0,232,193,0,22,22,6,1,10,0,-1,6,-1.0
Vernon Butler,10664,DI,CAR,14,5,0,,1,0,5,1,0,59.4,61.7,26.7,60.0,67.2,60.4,3,9,0,0,,7.1,1,0,4,0.0,0,1,0,0,0,1,329,329,23,179,2,125,0,0,192,136,0,6,8,2,0,13,0,0,0,
Emmanuel Ogbah,10666,ED,CLV,14,9,8,100.0,1,0,8,1,0,58.1,57.7,62.3,51.4,67.7,65.4,4,24,0,0,19,7.9,3,0,3,118.8,1,3,0,2,0,14,806,803,5,122,314,362,0,3,496,296,1,16,26,2,1,31,0,19,5,19.0
Jaylon Smith,10668,LB,DAL,16,18,0,78.9,0,2,9,2,1,79.8,84.0,85.7,84.8,73.4,61.6,4,8,0,0,28,10.3,12,3,1,102.5,45,4,0,826,5,531,978,16,0,0,16,0,22,962,77,370,108,44,86,6,57,16,1,410,260,9.1
Myles Jack,10670,LB,JAX,16,22,0,78.7,0,1,15,1,0,66.5,68.3,46.2,69.2,67.4,66.4,1,9,1,1,35,10.5,12,0,2,97.7,37,3,0,908,6,565,1024,6,0,0,6,0,8,1018,59,400,96,46,80,0,47,13,1,370,201,10.0
Chris Jones,10671,DI,KC,16,5,4,0.0,2,2,16,0,0,67.5,90.4,22.0,91.2,72.1,32.3,14,44,1,1,,22.6,7,0,7,0.0,0,16,0,0,0,4,773,773,20,487,51,215,0,0,516,253,0,27,19,6,1,74,0,0,0,
Xavien Howard,10672,CB,MIA,12,3,0,50.9,1,0,17,1,0,75.3,77.3,61.8,60.0,83.5,55.0,0,0,0,7,61,16.2,6,8,7,62.6,29,0,0,75,711,468,803,1,0,0,1,0,0,802,1,334,16,10,28,1,57,0,4,469,190,16.2
Noah Spence,10673,ED,TB,7,1,0,,0,0,30,0,0,,49.5,79.7,51.0,55.3,73.0,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,45,45,0,0,45,0,0,0,39,6,0,0,2,0,0,1,0,0,0,
Reggie Ragland,10675,LB,KC,16,20,0,77.3,0,1,16,0,0,59.1,53.6,86.3,81.1,47.2,52.5,1,3,0,1,32,14.0,14,0,0,113.4,17,1,0,573,0,252,582,3,0,0,3,0,1,579,17,313,5,23,66,3,22,5,2,188,142,11.1
Kamalei Correa,10676,ED,TEN,13,4,0,100.0,0,0,31,0,0,44.7,54.1,64.6,50.2,68.6,52.5,1,3,0,0,37,15.8,3,0,1,118.8,6,4,0,41,2,48,323,272,0,7,257,8,0,51,148,127,6,8,12,3,6,8,0,75,58,12.5
Austin Johnson,10677,DI,TEN,16,2,2,100.0,0,0,31,0,0,48.6,59.2,87.1,58.9,58.2,64.5,0,3,0,0,7,5.0,1,0,0,95.8,1,1,0,0,0,4,399,398,154,223,1,20,0,1,189,206,0,13,17,0,1,4,0,7,2,7.0
Jihad Ward,10678,DI,IND,6,0,0,,0,0,14,0,0,,75.7,81.6,69.9,69.8,40.7,3,4,0,0,,50.0,1,0,0,0.0,0,3,0,0,0,0,144,144,2,133,0,9,0,0,102,42,0,4,1,0,0,10,0,0,0,
A'Shawn Robinson,10680,DI,DET,13,9,0,,0,1,11,1,0,60.6,89.7,34.5,65.8,91.3,62.6,3,15,0,0,,5.8,3,0,3,0.0,0,1,0,0,0,0,415,415,51,322,3,39,0,0,204,211,0,26,40,2,0,19,0,0,0,
