,Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
0,Cardinals,16.0,12.0,25.0,6.0,43.0,28.0,34.0,44.0,6.0
1,Falcons,13.0,13.0,28.0,6.0,42.0,41.0,20.0,27.0,7.0
2,Ravens,19.0,27.0,22.0,9.0,50.0,28.0,32.0,43.0,7.0
3,Bills,19.0,13.0,38.0,4.0,45.0,40.0,23.0,38.0,7.0
4,Panthers,14.0,12.0,28.0,1.0,40.0,30.0,37.0,25.0,6.0
5,Bears,10.0,12.0,25.0,6.0,32.0,18.0,41.0,33.0,9.0
6,Bengals,10.0,13.0,21.0,4.0,33.0,37.0,26.0,30.0,6.0
7,Browns,14.0,19.0,25.0,8.0,59.0,41.0,22.0,27.0,5.0
8,Cowboys,13.0,11.0,27.0,6.0,41.0,37.0,20.0,28.0,6.0
9,Broncos,8.0,10.0,17.0,8.0,38.0,27.0,28.0,33.0,8.0
10,Lions,14.0,14.0,25.0,7.0,41.0,21.0,17.0,25.0,7.0
11,Packers,18.0,25.0,32.0,9.0,56.0,26.0,19.0,38.0,8.0
12,Texans,16.0,10.0,26.0,7.0,46.0,22.0,25.0,25.0,6.0
13,Colts,13.0,21.0,23.0,8.0,55.0,42.0,32.0,35.0,11.0
14,Jaguars,9.0,10.0,21.0,5.0,33.0,30.0,22.0,26.0,6.0
15,Chiefs,18.0,13.0,28.0,13.0,46.0,45.0,22.0,25.0,6.0
16,Raiders,15.0,15.0,22.0,13.0,45.0,31.0,23.0,24.0,6.0
17,Chargers,14.0,15.0,21.0,7.0,41.0,40.0,21.0,35.0,3.0
18,Rams,11.0,11.0,20.0,7.0,36.0,52.0,31.0,44.0,6.0
19,Dolphins,12.0,13.0,19.0,9.0,37.0,33.0,41.0,46.0,9.0
20,Vikings,14.0,19.0,25.0,8.0,44.0,31.0,24.0,27.0,3.0
21,Patriots,13.0,17.0,21.0,2.0,35.0,49.0,17.0,39.0,8.0
22,Saints,10.0,20.0,21.0,7.0,59.0,44.0,28.0,37.0,7.0
23,Giants,10.0,10.0,18.0,6.0,30.0,33.0,26.0,39.0,8.0
24,Jets,6.0,11.0,17.0,3.0,29.0,26.0,28.0,27.0,5.0
25,Eagles,9.0,10.0,17.0,10.0,33.0,46.0,26.0,31.0,6.0
26,Steelers,11.0,11.0,27.0,6.0,45.0,35.0,39.0,47.0,7.0
27,49ers,11.0,16.0,18.0,9.0,38.0,39.0,34.0,36.0,8.0
28,Seahawks,17.0,15.0,30.0,6.0,45.0,24.0,32.0,38.0,9.0
29,Buccaneers,16.0,15.0,31.0,10.0,54.0,28.0,45.0,32.0,5.0
30,Titans,16.0,24.0,30.0,6.0,50.0,22.0,23.0,28.0,5.0
31,Commanders,4.0,13.0,17.0,5.0,40.0,50.0,28.0,41.0,7.0
