Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,drop_rate,grades_offense,grades_pass_block,grades_pass_route,inline_rate,pass_block_rate,route_rate,slot_rate,targeted_qb_rating,wide_rate,yards_after_catch_per_reception,yards_per_reception,yprr,weighted_grade,weighted_average_grade,touchdowns,yards,receptions,first_downs,targets
49ers,2010,8.488305691056912,501.1130837809002,-0.03,37.50%,28.0,9.113026819923373,9.242656449553001,66.84597701149427,,10.622605363984674,76.17739463601532,62.13346104725415,71.57650063856961,41.50332056194125,11.089655172413794,85.91060025542784,48.5397190293742,113.1316730523627,5.8795657726692205,7.293614303959133,14.572286079182632,1.8296934865900385,34478.283397190295,,4.925925925925926,727.2822477650063,46.89655172413793,27.883780332056194,71.76117496807151
49ers,2011,7.131602076843199,339.07441831143785,0.12,77.80%,28.0,9.974308755760369,9.039170506912443,70.42799539170507,,6.869815668202765,76.48110599078342,55.65967741935484,70.89458525345623,65.7302995391705,12.126267281105989,83.15921658986174,22.099423963133646,131.19009216589862,6.780414746543778,5.248617511520737,13.211751152073733,1.7565437788018434,39864.68041474654,,7.92741935483871,832.3294930875576,60.41935483870968,31.117511520737327,83.68202764976958
49ers,2012,7.606532338308458,251.19250725216784,0.19,72.20%,28.0,12.630888429752067,7.450413223140496,64.82913223140497,,14.433057851239669,75.97706611570248,71.01869834710745,68.61229338842975,58.55857438016529,10.648760330578513,85.06797520661158,27.84090909090909,114.76064049586776,10.770247933884297,3.976446280991736,15.480888429752065,1.5122314049586778,37395.926239669425,,4.698347107438017,639.9390495867768,41.50723140495868,28.889462809917354,62.618801652892564
49ers,2013,8.125466828478963,390.6231432648885,0.09,73.70%,28.0,13.295306859205775,4.855595667870036,55.83898916967509,,13.5956678700361,66.12274368231047,64.00541516245487,62.22851985559568,55.17364620938628,8.6942238267148,87.39963898916966,29.940072202166064,101.69494584837545,11.132851985559567,5.423826714801444,15.471119133574007,1.4175451263537906,29152.47725631769,,9.63898916967509,623.0036101083033,39.498194945848375,27.55956678700361,67.67148014440433
49ers,2014,7.049954887218044,325.0500385345774,-0.03,50.00%,28.0,12.002695035460995,3.049645390070922,52.94482269503546,,19.250212765957446,57.51347517730496,76.70709219858156,48.414751773049645,55.795744680851065,10.747943262411347,82.56226950354609,35.78822695035461,68.9490780141844,6.518439716312057,3.802749638205499,10.80535455861071,0.7547659574468084,19886.538439716314,,1.3843971631205674,189.21560283687944,19.556028368794326,8.343262411347517,35.45248226950355
49ers,2015,1.656111809045226,272.8389091298582,-0.15,31.30%,28.0,7.419054242002782,1.4089012517385258,68.94840055632824,,7.3630041724617525,61.06968011126565,70.35897079276774,57.39888734353268,55.67844228094575,16.159666203059807,79.60848400556328,38.07093184979138,99.69388038942975,3.9169680111265635,5.8237830319888735,10.968289290681502,1.1941863699582753,14428.261613351877,,1.9902642559109875,235.65229485396384,21.55910987482615,10.111265646731571,31.816411682892905
49ers,2016,3.349978746699298,253.54708188072084,-0.15,12.50%,28.0,10.046761453396526,1.7393364928909953,58.22290679304897,40.0,16.049763033175356,61.74644549763033,62.68578199052133,61.03823064770932,75.0006319115324,9.655292259083728,87.28309636650869,21.950394944707742,100.62417061611374,1.4170616113744077,6.254976303317535,14.6522906793049,1.4698420221169035,16829.49431279621,,3.1484992101105846,343.5260663507109,24.71879936808847,15.01263823064771,41.89415481832543
49ers,2017,2.2799467065868266,68.64610416507516,-0.04,37.50%,28.0,8.34718954248366,5.709803921568628,67.06013071895426,39.34640522875817,8.24874651810585,67.33464052287582,54.15563093622795,67.19660130718954,61.89660130718954,18.648496732026143,78.7478431372549,23.257647058823526,105.0397385620915,9.408627450980392,6.8406685236768805,13.428969359331477,1.3570196078431371,22023.609150326796,,2.556862745098039,397.67058823529413,30.575163398692812,17.80653594771242,43.54509803921569
49ers,2018,2.043747178329571,62.113563650954134,-0.09,25.00%,28.0,8.130600292825768,14.112737920937043,68.60849194729136,22.35697151424288,7.7581259150805275,85.08857979502196,56.686237188872624,85.33997071742314,62.03631039531479,15.909077598828699,78.32005856515373,26.037774524158124,106.27423133235725,7.876427525622256,9.460175695461201,15.749926793557831,2.6045973645680816,43163.005710102494,55.80973154362416,4.443631039531478,1156.6368960468521,73.83308931185944,50.54172767203514,107.4787701317716
49ers,2019,2.394419766206164,85.33232938386755,0.216,79.00%,28.0,5.374025974025973,13.46103896103896,80.58831168831169,62.68896103896104,0.8025974025974025,82.30324675324675,59.84025974025974,82.48701298701299,60.58116883116883,17.664285714285715,77.16233766233765,21.42012987012987,108.5922077922078,11.12987012987013,6.157142857142857,10.220779220779221,2.2700649350649353,28538.080519480514,46.55532503457814,3.8376623376623376,727.577922077922,60.72077922077922,37.422077922077925,76.0
49ers,2020,4.173174066599395,127.87329336012064,0.025,37.50%,28.0,7.84060773480663,2.734806629834254,75.31353591160222,68.14364640883979,7.038121546961326,70.86381215469613,66.18701657458563,76.33950276243094,54.19116022099447,14.23149171270718,81.58204419889503,35.4414364640884,110.00055248618784,7.938397790055248,5.2381215469613265,11.911602209944752,1.8834254143646407,16098.806077348068,,2.096685082872928,371.1270718232044,30.49171270718232,19.116022099447513,41.40331491712707
49ers,2021,4.308762739726028,80.64904840492648,0.081,60.00%,28.0,8.85173501577287,13.785488958990536,77.75268138801262,46.41009463722398,2.974763406940063,83.3602523659306,68.79211356466877,81.94006309148266,59.66782334384858,14.918927444794953,80.64542586750788,29.461829652996844,108.31419558359622,8.252681388012618,5.1230283911671926,12.554574132492114,1.9142902208201895,31845.611356466878,,4.495268138801261,678.7350157728706,52.74447949526814,31.8801261829653,68.98107255520505
49ers,2022,4.969781940441882,104.1692668632569,0.196,75.00%,28.0,9.606231454005936,7.329376854599406,66.82359050445103,55.699999999999996,10.505637982195847,75.17937685459941,43.13086053412462,75.21097922848664,58.94421364985163,9.71854599406528,85.08783382789318,28.67640949554896,122.77388724035609,10.766913946587538,6.860258481421647,14.84184168012924,1.5483382789317506,30631.312908011874,,8.13946587537092,574.9718100890208,44.640949554896146,26.833827893175073,59.833827893175076
49ers,2023,5.928536921708185,184.81275256423663,0.26,70.00%,28.0,8.559640102827764,13.787917737789202,77.53380462724935,37.5,7.137275064267352,82.82493573264782,65.39820051413881,77.99370179948586,62.9289203084833,8.102185089974293,87.97724935732646,26.630334190231363,121.63984575835475,9.176735218508998,7.432904884318766,14.629820051413882,1.679922879177378,46190.82570694087,,5.677377892030848,923.5938303341902,59.717223650385606,37.4974293059126,82.426735218509
49ers,2024,5.978296789350038,45.8527863951976,0.02174647007,35.30%,28.0,8.452584933530282,5.317577548005908,81.80118168389954,64.06706056129984,3.430576070901034,80.44327917282126,54.00620384047267,80.198670605613,56.68242245199409,11.811816838995568,83.88714918759233,31.812555391432795,130.57311669128507,8.922451994091581,5.696396396396396,12.764864864864863,2.059763663220089,34905.5505169867,,6.039881831610044,824.2289512555392,59.215657311669126,37.42245199409158,70.14475627769572
Bears,2010,2.0449065040650405,286.3982716263131,0.02,66.70%,6.0,10.499212598425196,1.8464566929133859,65.21377952755907,,5.539370078740157,70.10649606299212,67.84527559055118,66.31574803149607,47.66338582677166,17.696259842519687,77.78031496062992,33.50433070866143,102.10649606299211,3.6925196850393696,5.315157480314961,12.452559055118112,1.349035433070866,30324.832480314963,,5.692913385826771,516.1515748031496,43.62204724409449,25.080708661417322,67.70275590551181
Bears,2011,2.7475123572170297,149.89859022775457,-0.07,50.00%,6.0,9.237768240343348,3.390557939914163,61.9304721030043,,6.781115879828326,78.54248927038627,68.18841201716738,66.75064377682403,75.92231759656653,41.439055793991415,55.06566523605151,13.32145922746781,79.19785407725321,2.3540772532188843,3.542489270386266,10.01587982832618,0.8956223175965665,20651.615450643778,,4.034334763948498,155.78540772532187,14.459227467811159,10.103004291845494,24.240343347639485
Bears,2012,4.033997512437811,164.61134337727236,0.09,62.50%,6.0,10.127309236947792,2.0843373493975905,48.36064257028113,,27.21927710843374,61.94538152610441,70.74016064257029,43.640562248995984,64.80763052208836,26.57309236947791,69.1156626506024,26.12008032128514,73.09959839357431,4.374698795180723,3.3289156626506027,10.47991967871486,0.546144578313253,24266.925301204818,,1.5742971887550201,169.09638554216866,14.791164658634537,8.25301204819277,33.196787148594375
Bears,2013,2.0711974110032365,120.79420108131146,0.0,50.00%,6.0,7.484637268847795,19.499288762446657,65.69416785206259,,3.7302987197724042,72.66472261735419,51.16429587482219,71.23598862019915,33.17155049786629,11.302133712660028,84.58705547652916,52.04281650071123,97.57183499288763,10.318065433854908,7.437268847795163,11.897866287339973,1.2575675675675675,38909.47012802275,,4.238975817923186,645.4551920341394,55.258890469416784,34.06401137980085,76.06258890469417
Bears,2014,5.107253383458647,89.48654511372676,-0.15,31.30%,6.0,6.1714471968709255,21.245110821382006,73.90873533246415,,6.917079530638852,76.07366362451108,57.24093872229465,74.38865710560626,38.9354628422425,12.716297262059973,81.89048239895698,39.79478487614081,89.14758800521513,12.63194263363755,4.98096479791395,9.746284224250326,1.5191916558018252,44470.47653194264,77.43571428571428,5.061277705345502,790.8370273794003,78.42242503259452,37.74185136897001,108.41590612777054
Bears,2015,5.161427973199329,187.91549598731038,-0.07,37.50%,6.0,6.925428194993413,7.978919631093544,71.18774703557312,,6.633728590250329,75.78550724637681,66.91264822134389,72.70395256916997,54.659156785243745,15.669696969696968,79.7296442687747,24.57193675889328,101.93913043478261,18.09631093544137,5.106192358366272,9.776152832674573,1.4553623188405795,23613.17707509881,,3.287220026350461,385.0711462450593,40.09090909090909,18.753623188405797,55.3201581027668
Bears,2016,2.8986906678688733,12.031801742801822,-0.11,18.80%,6.0,5.687956698240866,3.1732070365358593,69.25805142083897,85.7,11.111502029769959,63.198105548037894,58.079702300405955,59.31677943166441,63.89242219215156,16.362516914749662,79.15074424898512,30.403924221921514,79.45994587280107,3.674695534506089,3.3903924221921518,8.491880920162382,1.0539106901217863,15672.028146143439,,2.058186738836265,257.0866035182679,26.19215155615697,15.016238159675236,34.98917456021651
Bears,2017,5.929398802395209,327.5453845342252,-0.07,31.30%,6.0,8.502002861230329,1.507868383404864,62.41659513590844,56.20243204577969,10.556938483547926,60.75765379113018,72.5821173104435,60.797138769670966,52.55536480686695,11.402861230329043,82.99012875536481,39.02474964234621,78.93233190271816,6.7615164520743924,4.127324749642345,11.23090128755365,1.142274678111588,11612.276967095851,,1.246065808297568,176.21173104434908,15.532188841201716,9.165951359084406,25.632331902718168
Bears,2018,8.768136004514673,230.497763454368,0.17,70.60%,6.0,9.162005277044855,0.7242744063324539,71.0778364116095,35.91345646437995,7.880343007915567,64.01147757255937,65.21781002638524,60.49656992084434,40.394459102902374,10.184168865435357,83.044327176781,35.828891820580466,103.9339050131926,21.617018469656994,3.3225593667546174,9.905672823218998,1.011240105540897,28572.645250659632,,4.437994722955145,420.2414248021108,40.00131926121372,21.405013192612138,54.221635883905016
Bears,2019,6.608590329436769,39.390609902636434,-0.032,50.00%,6.0,5.313805970149254,0.3358208955223881,68.60671641791045,40.23674540682415,11.935447761194029,56.593843283582096,62.646455223880594,52.991604477611936,44.40951492537314,15.337313432835819,79.85167910447761,34.850559701492536,82.29160447761194,18.468470149253733,5.6052238805970145,8.908395522388059,0.7693097014925373,7534.73563432836,,0.17537313432835822,76.2481343283582,9.5,4.227611940298507,14.522388059701493
