Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,age,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_defense,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
49ers,2010,9.034552845528456,505.91481007841173,-0.03,37.50%,28.0,26.0,15.478026214340787,6.131842713955281,0.9560524286815728,1.4780262143407865,0.9560524286815728,1.5219737856592135,66.36599845797997,37.29768696993061,79.12914417887433,60.49236700077101,69.56599845797996,5.390131071703932,26.697764070932923,9.427447956823439,4.043947571318427,3.956052428681573,3.5219737856592137,1297.0,246.36237471087125,276.6538164996145,552.2467232074017,415.91210485736315,135.37856592135697,21.912104857363147,33.69236700077101,3.4780262143407863,35.609868928296066,42905.29213569776,0.0
49ers,2011,9.28694994807892,113.79782023884533,0.12,77.80%,28.0,27.0,18.0,5.0,0.0,0.0,3.0,0.0,71.0,57.0,71.5,67.3,59.5,4.0,13.0,6.1,2.0,2.0,2.0,570.0,176.0,272.0,504.0,478.0,26.0,21.0,26.0,3.0,19.0,40470.0,0.0
49ers,2012,6.160859867330017,57.42169432320507,0.19,72.20%,28.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,52.3,71.8,54.300000000000004,61.800000000000004,26.0,0.0,0.0,100.0,1.0,0.0,0.0,19.0,7.0,9.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,993.6999999999999,0.0
49ers,2013,5.290587378640777,372.991717102004,0.09,73.70%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49ers,2014,17.45155714285714,1111.2468592351113,-0.03,50.00%,28.0,25.61415414444983,12.185167232186137,4.278720310227824,1.5186621425109064,0.3732428502181289,0.8521570528356762,0.2922927775084828,64.9289869122637,46.157004362578775,65.26107610276296,64.51027629665536,57.6061076102763,4.926320891904993,16.367426078526417,17.189238972370337,4.237518177411537,3.0475036354823075,4.400387784779447,2063.0,232.23994183228308,179.95492001938925,382.8676684440136,377.3916626272419,5.476005816771692,13.49684924866699,13.365002423654872,1.303926320891905,25.694134755210857,30958.290014541926,0.0
49ers,2015,9.997753350083753,1034.931938613124,-0.15,31.30%,28.0,25.080336291452593,13.807566557683325,5.07239607659972,0.0,0.3456328818309201,0.0,0.5025688930406352,59.065763661840265,35.060392340028024,59.879775805698266,60.9823914058851,46.893134049509584,6.7389070527790755,26.764595983185426,19.204577300326953,6.720691265763662,4.921999065857076,5.015413358243811,2141.0,278.0168145726296,269.3601120971509,594.9621672115834,588.0429705744979,2.8089677720691264,18.82484820177487,20.971508640822044,4.071929005137786,38.51891639420831,38606.60831387202,0.0
49ers,2016,11.88637341405294,974.6868300254871,-0.15,12.50%,28.0,26.533985102420857,15.0,7.72998137802607,0.8547486033519553,1.282122905027933,0.7490689013035382,0.32169459962756053,58.05032588454377,37.0395251396648,57.49101489757915,61.776489757914334,42.63816651075771,3.0256052141527,19.50651769087523,19.614780168381664,7.649906890130354,5.492085661080075,3.310055865921788,2148.0,291.7523277467412,313.7271880819367,620.8361266294227,589.4650837988827,11.930633147113594,21.00465549348231,24.75372439478585,2.8058659217877095,25.842178770949722,40076.661499068905,69.11435689816257
49ers,2017,12.65888622754491,1138.7875060481974,-0.04,37.50%,28.0,25.039889958734527,12.146721687299404,2.4044016506189823,0.0,0.34800550206327374,0.6258596973865199,0.39110499770747365,61.35919303071985,35.3234754699679,62.98995873452545,63.016689591930316,49.84832645575424,5.541036221916552,18.592847317744155,16.616689591930307,4.109582760201742,3.9358092618065106,3.017423200366804,2181.0,269.65337001375514,149.6254011921137,433.84227418615313,355.42916093535075,59.488766620816136,15.227418615314075,17.1508482347547,2.6038514442916094,27.15130674002751,25726.433562585968,66.36765881830298
49ers,2018,10.795051918735892,1193.9427233632414,-0.09,25.00%,28.0,24.574354772634166,15.447767308480131,5.298648095043015,0.0,0.24907824662023761,0.22531749283080704,0.22531749283080704,64.15104465383041,57.06775911511675,61.00180253994263,66.40340024580091,56.36100082712986,7.1376485047111835,20.80540761982794,12.681306865177833,4.897173289635395,2.8627611634575993,4.413355182302335,2441.0,329.39410077836953,216.5907414993855,561.8848832445719,412.90086030315445,73.5563293732077,20.033183121671446,25.364604670217123,2.7955755837771403,32.35641130684146,36332.128922572716,0.0
49ers,2019,22.455452178533474,2231.2446941879307,0.216,79.00%,28.0,24.064818430300665,14.27176884029676,5.428348301444748,0.39125341663412727,0.6064037485357282,0.8043732916829364,0.9875048809058962,80.29718859820383,63.478680203045684,73.44599765716518,74.14615384615384,55.38250683326826,8.658727059742288,32.135493947676686,16.442366263178446,5.912924638812964,2.367434595860992,7.5497852401405705,2561.0,370.5876610698946,205.53768059351816,579.4724716907458,436.01522842639594,65.70480281140179,24.715345568137447,24.139008199921907,3.5978133541585318,48.34400624755955,48758.932643498636,0.0
