Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,declined_penalties,hits_allowed,hurries_allowed,non_spike_pass_block,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,age,block_percent,grades_offense,grades_pass_block,grades_run_block,non_spike_pass_block_percentage,pass_block_percent,pbe,weighted_average_grade
49ers,2024,10.172535630383711,168.54479452619472,0.02174647007,,28.0,1.0,11.0,59.0,1233.0,13.0,75.0,5.0,2168.0,0.0,0.0,1055.0,2169.0,1306.0,1307.0,0.0,1090.0,862.0,24.0,160834.4,30.056247118487782,99.95002305209775,74.15140617796219,74.26357768556939,70.70175195942831,99.92503457814661,99.92503457814661,96.78699861687413,0.0
Bears,2010,1.857847967479675,51.602717218426726,0.02,,6.0,2.0,7.0,88.0,1133.0,20.0,121.0,26.0,2037.0,0.0,0.0,1014.0,2044.0,1193.0,1200.0,0.0,1000.0,844.0,30.0,117857.29999999999,24.74706457925636,99.6802348336595,57.66012720156555,45.90048923679061,71.81423679060664,99.36046966731898,99.4154109589041,93.46917808219177,38.26752072157153
Bears,2011,3.0240107995846315,42.122546700485756,-0.07,,6.0,2.0,8.0,38.0,682.0,20.0,62.0,16.0,1226.0,0.0,1.0,1001.0,1227.0,717.0,718.0,2.0,217.0,509.0,6.0,69506.7,23.896495517522414,99.91792991035045,56.6476772616137,57.49462102689486,65.77506112469437,99.83585982070089,99.83585982070089,94.31312143439283,0.0
Bears,2012,1.2314701492537314,46.06892696444409,0.09,,6.0,2.0,10.0,43.0,732.0,9.0,61.0,8.0,1380.0,0.0,0.0,1046.0,1380.0,784.0,784.0,0.0,323.0,596.0,11.0,92674.59999999999,25.21014492753623,100.0,67.1555072463768,65.2613043478261,66.1159420289855,100.0,100.0,95.28855072463769,0.0
Bears,2013,3.832352750809062,295.9389852665804,0.0,,6.0,2.0,22.0,104.0,1229.0,9.0,133.0,7.0,2071.0,0.0,0.0,1058.0,2071.0,1304.0,1304.0,0.0,1012.0,767.0,1.0,135153.3,25.579430226943504,100.0,65.2599227426364,58.767793336552394,68.25325929502655,100.0,100.0,94.32269435055528,0.0
Bears,2014,1.448093984962406,205.88889067163495,-0.15,,6.0,2.0,12.0,52.0,1056.0,11.0,73.0,9.0,1665.0,0.0,377.0,137.0,1666.0,1131.0,1132.0,64.0,1059.0,534.0,29.0,105760.90000000001,24.464585834333732,99.94081632653061,63.48193277310924,65.04021608643457,66.11488595438175,99.8920768307323,99.89729891956782,96.16362545018009,0.0
Bears,2015,0.7219905080960356,56.52220054705458,-0.07,,6.0,3.0,6.0,32.0,486.0,7.0,42.0,4.0,919.0,0.0,0.0,902.0,919.0,511.0,511.0,0.0,1.0,408.0,16.0,62933.9,23.002176278563656,100.0,68.48084874863983,65.75658324265507,68.87540805223068,99.78237214363439,99.78237214363439,95.09260065288356,0.0
Bears,2016,5.039283184130868,143.55294526800526,-0.11,,6.0,2.0,15.0,56.0,1201.0,13.0,82.0,11.0,2060.0,0.0,0.0,1009.0,2060.0,1282.0,1282.0,0.0,1036.0,778.0,15.0,138966.4,25.481553398058253,100.0,67.45941747572816,73.21043689320388,59.96393203883495,100.0,100.0,96.14063106796117,0.0
Bears,2017,8.241143113772454,79.99661510786318,-0.07,,6.0,0.0,10.0,43.0,1025.0,17.0,61.0,8.0,1900.0,0.0,0.0,987.0,1900.0,1102.0,1102.0,1.0,912.0,798.0,0.0,137035.6,26.44,100.0,72.12400000000001,74.7,67.92,100.0,100.0,96.63600000000001,0.0
Bears,2018,6.884875846501128,47.66889864348663,0.17,,6.0,2.0,6.0,45.0,1177.0,10.0,57.0,6.0,2182.0,0.0,0.0,1065.0,2187.0,1280.0,1285.0,0.0,1074.0,902.0,35.0,161002.90000000002,27.536351165980797,99.77137631458619,73.61815272062186,77.91056241426612,64.60749885688156,99.23868312757202,99.28669410150891,97.36241426611797,61.52540621572779
Bears,2019,4.692879914984059,35.31398867492492,-0.032,,6.0,2.0,13.0,52.0,1308.0,16.0,73.0,8.0,2185.0,0.0,0.0,1059.0,2185.0,1392.0,1392.0,0.0,1069.0,793.0,57.0,137751.4,28.072311212814647,100.0,63.04411899313501,70.82521739130434,53.86068649885584,100.0,100.0,96.91848970251716,36.65734656596341
Bears,2020,10.301181130171544,208.02275005713955,-0.032,,6.0,1.0,10.0,43.0,1014.0,7.0,63.0,10.0,1605.0,0.0,0.0,1065.0,1606.0,1051.0,1052.0,0.0,535.0,554.0,6.0,116557.59999999999,28.790784557907845,99.9414694894147,72.57633872976338,67.32963885429639,71.42714819427148,99.91220423412204,99.91220423412204,96.38729763387298,43.99141249880467
Bears,2021,4.730319452054794,540.5892108649145,-0.119,,6.0,2.0,12.0,61.0,1289.0,19.0,91.0,18.0,2201.0,0.0,0.0,1112.0,2201.0,1374.0,1374.0,0.0,1076.0,827.0,10.0,146539.1,29.835983643798272,100.0,66.57841890049977,68.40263516583371,64.44348023625625,100.0,100.0,95.83866424352568,0.0
Bears,2022,3.5061575408261287,559.6580270852367,-0.162,,6.0,5.0,9.0,52.0,1051.0,20.0,77.0,16.0,2134.0,0.0,45.0,1029.0,2135.0,1119.0,1120.0,20.0,1027.0,1015.0,14.0,148823.60000000003,25.538641686182668,99.94922716627634,69.7066042154567,69.08688524590164,69.76281030444966,99.8984543325527,99.92384074941452,95.60768149882905,0.0
Bears,2023,2.571576067615658,638.1339913233937,0.0,,6.0,3.0,11.0,85.0,1236.0,25.0,108.0,12.0,2262.0,0.0,0.0,1123.0,2262.0,1292.0,1292.0,0.0,1121.0,970.0,18.0,139864.0,23.003536693191865,100.0,61.832007073386386,61.46516357206013,63.869672855879756,100.0,100.0,95.13297966401414,0.0
Bears,2024,4.138172278778387,739.5042868046883,-0.08766408568,,6.0,6.0,7.0,60.0,1311.0,23.0,86.0,19.0,2195.0,0.0,4.0,1132.0,2195.0,1437.0,1437.0,0.0,1053.0,758.0,6.0,159393.90000000002,23.89749430523918,100.0,72.61681093394078,72.22451025056947,72.11339407744876,100.0,100.0,96.01129840546697,0.0
Bengals,2010,6.739329268292682,803.4079750698119,-0.06,,7.0,0.0,19.0,47.0,1246.0,15.0,79.0,13.0,2250.0,0.0,0.0,1065.0,2274.0,1317.0,1341.0,0.0,1093.0,933.0,116.0,172360.3,26.64995602462621,98.93236587510994,75.79608619173264,68.12181178540017,79.74133685136324,98.20985048372911,98.14208443271768,96.24890061565523,0.0
Bengals,2011,14.78245067497404,703.0437532634329,0.0,,7.0,1.0,11.0,34.0,1257.0,17.0,51.0,6.0,2264.0,0.0,0.0,1125.0,2268.0,1341.0,1345.0,1.0,1126.0,923.0,16.0,172468.10000000003,26.57010582010582,99.81283068783068,76.04413580246916,77.68390652557319,70.32843915343915,99.67557319223987,99.68302469135803,97.76322751322752,36.30110737618375
Bengals,2012,12.477611940298507,618.4274459890119,0.06,,7.0,2.0,2.0,41.0,1297.0,14.0,55.0,12.0,2304.0,0.0,1.0,1104.0,2304.0,1369.0,1369.0,2.0,1105.0,935.0,92.0,179488.00000000003,27.46918402777778,100.0,77.90277777777779,78.384375,72.63164062499999,100.0,100.0,97.39370659722222,0.0
Bengals,2013,11.331381877022652,535.3426055340913,0.14,,7.0,2.0,6.0,60.0,1638.0,13.0,77.0,11.0,2870.0,0.0,399.0,1196.0,2870.0,1716.0,1716.0,0.0,1209.0,1154.0,65.0,238795.4,28.013937282229964,100.0,83.20397212543554,80.82508710801393,80.03491289198607,100.0,100.0,97.2995818815331,25.672726180463773
Bengals,2014,5.367757894736842,115.45234118767752,0.01,,7.0,3.0,6.0,30.0,873.0,11.0,39.0,3.0,1707.0,0.0,0.0,1098.0,1707.0,929.0,929.0,0.0,519.0,778.0,83.0,137425.7,30.162272993555945,100.0,80.50714704159344,78.82103104862331,78.52448740480374,100.0,100.0,97.506971294669,0.0
Bengals,2015,7.412084729201564,675.360827535881,0.12,,7.0,0.0,2.0,24.0,754.0,14.0,33.0,7.0,1457.0,0.0,1.0,1070.0,1468.0,801.0,812.0,2.0,179.0,656.0,165.0,114099.8,31.29972752043597,99.24986376021798,77.72465940054497,83.16021798365122,70.15776566757494,97.48351498637601,97.48351498637601,97.3358310626703,0.0
Bengals,2016,7.842818960520384,601.2590202940811,0.04,,7.0,5.0,5.0,56.0,1294.0,15.0,79.0,18.0,2293.0,0.0,69.0,1053.0,2319.0,1364.0,1390.0,0.0,1062.0,929.0,101.0,162936.0,29.433376455368695,98.88115567054766,70.26131953428202,71.98913324708926,67.45985338507977,98.02889176369125,98.11673134971971,96.23945666235446,0.0
Bengals,2017,2.533141916167664,335.3054471379861,-0.08,,7.0,2.0,5.0,40.0,718.0,6.0,58.0,13.0,1227.0,0.0,0.0,704.0,1229.0,752.0,754.0,1.0,508.0,475.0,16.0,68172.0,26.014646053702197,99.83718470301058,55.46948738812042,59.30748576078112,49.33986981285598,99.7286411716843,99.7286411716843,95.04572823433686,0.0
Bengals,2018,9.507180022573364,499.5096902383814,-0.12,,7.0,4.0,7.0,76.0,1388.0,22.0,102.0,19.0,2310.0,0.0,0.0,862.0,2310.0,1498.0,1498.0,0.0,1423.0,812.0,25.0,135136.5,26.76060606060606,100.0,58.500649350649354,62.9078354978355,55.24203463203463,100.0,100.0,95.66238095238094,0.0
Bengals,2019,10.016891604675875,118.96088200628633,-0.193,,7.0,2.0,4.0,39.0,864.0,9.0,54.0,11.0,1447.0,0.0,0.0,298.0,1448.0,925.0,926.0,0.0,1138.0,522.0,11.0,85695.6,25.656767955801104,99.93135359116023,59.182044198895035,68.54841160220995,48.7378453038674,99.86270718232045,99.87741712707182,96.15041436464088,50.50782097649186
Bengals,2020,6.1212547931382435,523.7430761641597,-0.139,,7.0,0.0,21.0,62.0,1350.0,10.0,96.0,13.0,2230.0,0.0,0.0,1077.0,2230.0,1424.0,1424.0,124.0,1012.0,806.0,16.0,138044.2,23.784304932735427,100.0,61.903228699551576,61.36188340807175,58.34735426008969,100.0,100.0,95.93937219730941,0.0
Bengals,2021,6.523171506849315,546.9075902744589,0.077,,7.0,1.0,15.0,55.0,1234.0,12.0,86.0,16.0,2228.0,0.0,0.0,1051.0,2229.0,1322.0,1323.0,20.0,1098.0,906.0,59.0,157904.7,26.083445491251684,99.94831763122475,70.84104979811573,61.854912516823674,75.77658142664872,99.91386271870795,99.93109017496634,95.80349932705249,0.0
